windows_min_Home Sweet Home : Survive,windows_min_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive
видео карта,ati radeon hd 2600 / nvidia geforce 8800 / intel hd 4000,видео карта,—
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,—
,,,
windows_min_DOOM 64,windows_min_DOOM 64,windows_req_DOOM 64,windows_req_DOOM 64
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-750,процессор,intel core i5-2400 |; amd phenom ii x6 1075t 3.0 ghz
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_Dragonia,windows_min_Dragonia
операционная система,mac os x 10.6
процессор,1.2 ghz
оперативная память,1 gb
видео карта,directx 9 compatible graphics card
,
windows_min_The Wind Road ,windows_min_The Wind Road ,windows_req_The Wind Road ,windows_req_The Wind Road 
операционная система,windows 7 x64 windows 10 x64,операционная система,windows 10 x64
процессор,intel core i5 4590,процессор,intel core i7 6700
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 760,видео карта,nvidia geforce gtx 970
диск,40 gb,диск,40 gb
,,,
windows_min_Tainted Grail: Conquest,windows_min_Tainted Grail: Conquest
операционная система,up to date ubuntu release
процессор,3.2 ghz dual core
оперативная память,8 gb
видео карта,gtx 750 2gb / equivalent radeon
,
windows_min_Metro 2033,windows_min_Metro 2033,windows_req_Metro 2033,windows_req_Metro 2033
операционная система,"windows xp, vista, or 7",операционная система,—
процессор,dual core cpu (any core 2 duo ),процессор,core i7 cpu
оперативная память,1gb,оперативная память,8gb or higher
видео карта,"directx 9, shader model 3 compliant graphics cards (geforce 8800, geforce gt220 and above)",видео карта,nvidia directx 11 compliant graphics card (geforce gtx 480 and 470)
,,,
windows_min_Titan Souls,windows_min_Titan Souls,macos_min_Titan Souls,macos_min_Titan Souls,linux_min_Titan Souls,linux_min_Titan Souls
операционная система,windows vista/7/8,операционная система,os 10.9+,операционная система,ubuntu 12.04
процессор,2.0 ghz i5,процессор,2.0 ghz i5,дополнительно,gamepad strongly recommended.
оперативная память,4 gb,оперативная память,4 gb,,
видео карта,1gb video,видео карта,1gb video,,
directx,version 10,диск,400 mb,,
диск,400 mb,дополнительно,gamepad recommended,,
,,,,,
windows_min_Gauntlet™ Slayer Edition,windows_min_Gauntlet™ Slayer Edition,windows_req_Gauntlet™ Slayer Edition,windows_req_Gauntlet™ Slayer Edition
операционная система,windows vista / windows 7,операционная система,windows vista / windows 7
процессор,2.4 ghz dual core,процессор,2.4 ghz dual core
оперативная память,4 gb,оперативная память,4 gb
видео карта,512 mb nvidia geforce 9800 / ati radeon hd 2600 xt,видео карта,1 gb nvidia 460 / amd radeon 5870
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Sniper Elite V2,windows_min_Sniper Elite V2
операционная система,microsoft windows vista (service pack 2) or windows 7 or windows 8. windows xp is not supported.
процессор,dual-core cpu with sse3 (intel pentium d 3ghz / amd athlon™ 64 x2 4200)
оперативная память,2gb system memory
диск,10gb of free drive space
видео карта,microsoft directx 10.0 compatible graphics card with 256 mb of memory (nvidia geforce 8800 series / ati radeon™ hd 3870)
звуковая карта,microsoft directx 10.0 compatible sound card
,
windows_min_Amnesia: A Machine for Pigs,windows_min_Amnesia: A Machine for Pigs,windows_req_Amnesia: A Machine for Pigs,windows_req_Amnesia: A Machine for Pigs,macos_min_Amnesia: A Machine for Pigs,macos_min_Amnesia: A Machine for Pigs,macos_req_Amnesia: A Machine for Pigs,macos_req_Amnesia: A Machine for Pigs,linux_min_Amnesia: A Machine for Pigs,linux_min_Amnesia: A Machine for Pigs,linux_req_Amnesia: A Machine for Pigs,linux_req_Amnesia: A Machine for Pigs
операционная система,windows vista,операционная система,windows 7,операционная система,os x 10.7.5 - 10.15.0,операционная система,os x 10.7.5 - 10.15.0,операционная система,major linux distribution from 2010.,операционная система,major linux distribution from 2012
процессор,high-range intel core i3 / amd a6 cpu .,процессор,high-range intel core i5 / amd fx cpu .,процессор,high-range intel core i3 / amd a6 cpu .,процессор,high-range intel core i5 / amd fx cpu .,процессор,high-range intel core i3 / amd a6 cpu .,процессор,high-range intel core i5 / amd fx cpu .
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,mid-range nvidia geforce 200 / amd radeon hd 5000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.,видео карта,high-range nvidia geforce 400 / amd radeon hd 6000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.,видео карта,mid-range nvidia geforce 200 / amd radeon hd 5000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.,видео карта,high-range nvidia geforce 400 / amd radeon hd 6000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.,видео карта,mid-range nvidia geforce 200 / amd radeon hd 5000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.,видео карта,high-range nvidia geforce 400 / amd radeon hd 6000. integrated intel hd graphics should work but is not supported; problems are generally solved with a driver update.
диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb
,,,,,,,,,,,
windows_min_E.Y.E: Divine Cybermancy,windows_min_E.Y.E: Divine Cybermancy,windows_req_E.Y.E: Divine Cybermancy,windows_req_E.Y.E: Divine Cybermancy
операционная система,windows 7 32/ / vista 32/64 / xp,операционная система,windows 7 32/ / vista 32/64 / xp
процессор,"pentium 4 3.0ghz, athlon 64 3000+",процессор,intel core 2 duo 2.4ghz or amd athlon 64 x2 4600+
оперативная память,1 gb for xp / 2gb for vista,оперативная память,1 gb for xp / 2gb for vista
диск,at least 6 gb of free space,диск,at least 6 gb of free space
видео карта,"directx 9 compatible video card with 128 mb, shader model 2.0. ati x800, nvidia 6600",видео карта,"directx 9 compatible video card with shader model 3.0. nvidia 7600, ati x1600"
directx,9.0c,directx,9.0c
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Teenage Mutant Ninja Turtles: Shredder's Revenge,windows_min_Teenage Mutant Ninja Turtles: Shredder's Revenge,windows_req_Teenage Mutant Ninja Turtles: Shredder's Revenge,windows_req_Teenage Mutant Ninja Turtles: Shredder's Revenge
операционная система,glibc 2.17+ only,операционная система,glibc 2.17+ only
процессор,intel core i3-2100 or amd fx-4300,процессор,intel core i5-2400 or amd fx-6300
оперативная память,4 gb,оперативная память,—
видео карта,"vulkan support, 2gb vram",видео карта,"vulkan support, 2gb vram"
,,,
windows_min_EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,windows_min_EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,windows_req_EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,windows_req_EARTH DEFENSE FORCE 4.1 The Shadow of New Despair
операционная система,"windows 7 64bit, windows 8.1 64bit windows 10 64bit",операционная система,"windows 7 64bit, windows 8.1 64bit windows 10 64bit"
процессор,3 ghz 2 core,процессор,3.2ghz 4core
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 7870 / nvidia geforce gtx 660 2gb model or higher,видео карта,amd radeon hd 7970 / nvidia geforce gtx 760 3gb model or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
звуковая карта,directx 11 sound device,звуковая карта,directx 11 sound device
,,,
windows_min_Yokai's Secret,windows_min_Yokai's Secret
операционная система,7/8/10 32/64bit
процессор,intel core i5
оперативная память,4 gb
видео карта,nvidia gef
,
windows_min_Medieval Engineers,windows_min_Medieval Engineers,windows_req_Medieval Engineers,windows_req_Medieval Engineers
операционная система,microsoft windows 10 (latest sp),операционная система,microsoft windows 10 (latest sp)
процессор,intel i5 @ 3.0 ghz or higher (or amd equivalent),процессор,intel quad core i7 @ 4.5 ghz or higher (or amd equivalent)
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce 750 / radeon r9 270x or higher,видео карта,geforce 1070 gtx / radeon rx vega 56 or higher
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
звуковая карта,directx compatible on-board,звуковая карта,directx compatible on-board
,,,
windows_min_Heroes of Hammerwatch,windows_min_Heroes of Hammerwatch
операционная система,ubuntu 12.04
процессор,intel core™ duo or faster
оперативная память,2 gb
видео карта,opengl 3.2+
,
windows_min_Sword With Sauce,windows_min_Sword With Sauce,windows_req_Sword With Sauce,windows_req_Sword With Sauce
операционная система,win 7 (win64),операционная система,win 10 (win64)
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,"opengl 2.1-compatible, 512 mb",видео карта,"opengl 2.1-compatible, 512 mb"
,,,
windows_min_Haydee,windows_min_Haydee,windows_req_Haydee,windows_req_Haydee
операционная система,windows vista/7/8/10,операционная система,windows vista/7/8/10
процессор,dual-core 2.3 ghz,процессор,quad-core 2.2 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gts 450 or radeon hd 6770,видео карта,geforce gtx960 or radeon rx 480
,,,
windows_min_The Surge,windows_min_The Surge,windows_req_The Surge,windows_req_The Surge
операционная система,windows 7/8/10 (),операционная система,windows 7/8/10 ()
процессор,"amd fx-8320 (3,5 ghz) / intel i5-4690k (3,5 ghz)",процессор,"amd fx-8370 (4,0 ghz) / intel core i7-3820 (3,6 ghz)"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"1 gb, amd radeon r7 360 / nvidia geforce gtx 560 ti",видео карта,"4 gb, amd radeon rx 480 / nvidia geforce gtx 970"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
windows_min_Lucius,windows_min_Lucius,windows_req_Lucius,windows_req_Lucius
операционная система,"windows xp, vista, 7",операционная система,"windows xp, vista, 7"
процессор,"pentium 4 1,5ghz or athlon xp equivalent",процессор,"pentium core 2 2,6ghz or amd equivalent"
оперативная память,1.5 gb,оперативная память,2 gb
видео карта,nvidia 8600 series or ati equivalent,видео карта,nvidia 260 gt series or ati equivalent with 512mb of graphics memory
directx,9.0c,directx,9.0c
диск,3 gb hd space,диск,3 gb hd space
,,,
windows_min_Orcs Must Die!,windows_min_Orcs Must Die!
операционная система,"windows xp, windows vista or windows 7"
процессор,2ghz dual core
оперативная память,2 gb
видео карта,nvidia geforce 6800 or ati radeon x1950 with 256mb vram
directx,dx90c
,
windows_min_Nidhogg,windows_min_Nidhogg,windows_req_Nidhogg,windows_req_Nidhogg
операционная система,10.9,операционная система,10.9
процессор,1.2ghz,процессор,1.4ghz or faster
оперативная память,512 mb,оперативная память,1 gb
видео карта,directx 8-compatible graphics card with at least 32mb of video memory,видео карта,directx 8-compatible graphics card with at least 32mb of video memory
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,200 mb,диск,200 mb
,,,
windows_min_Record of Lodoss War-Deedlit in Wonder Labyrinth-,windows_min_Record of Lodoss War-Deedlit in Wonder Labyrinth-
операционная система,windows 2000 / xp / vista / 7 / 8 / 10
процессор,intel core2 duo or higher
оперативная память,2 gb
видео карта,open gl compliant video card
,
windows_min_METAL SLUG 3,windows_min_METAL SLUG 3,windows_req_METAL SLUG 3,windows_req_METAL SLUG 3
операционная система,"windows vista, 7, 8",операционная система,"windows vista, 7, 8"
процессор,pentium 4 2.4ghz,процессор,2 ghz dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,nvidia geforce gt 640
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Planet Explorers,windows_min_Planet Explorers,windows_req_Planet Explorers,windows_req_Planet Explorers,macos_min_Planet Explorers,macos_min_Planet Explorers,macos_req_Planet Explorers,macos_req_Planet Explorers,linux_min_Planet Explorers,linux_min_Planet Explorers,linux_req_Planet Explorers,linux_req_Planet Explorers
операционная система,win 7 64bit,операционная система,win 7 + 64bit,операционная система,osx 10.7,операционная система,osx 10.7+,операционная система,linux kernal 3.2,операционная система,linux kernal 3.2+
