windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
windows_min_GUILTY GEAR -STRIVE-,windows_min_GUILTY GEAR -STRIVE-,windows_req_GUILTY GEAR -STRIVE-,windows_req_GUILTY GEAR -STRIVE-
операционна€ система,windows 8/10 ( os required),операционна€ система,windows 8/10 ( os required)
процессор,"amd fx-4350, 4.2 ghz / intel core i5-3450, 3.10 ghz",процессор,"intel core i7-3770, 3.40 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Call of DutyЃ: Advanced Warfare - Gold Edition,windows_min_Call of DutyЃ: Advanced Warfare - Gold Edition,windows_req_Call of DutyЃ: Advanced Warfare - Gold Edition,windows_req_Call of DutyЃ: Advanced Warfare - Gold Edition
операционна€ система,windows 7 / windows 8 / windows 8.1,операционна€ система,windows 7 / windows 8 / windows 8.1
процессор,intel coreЩ i3-530 @ 2.93 ghz / amd phenomЩ ii x4 810 @ 2.60 ghz,процессор,intel core i5-2500k @ 3.30ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gb,видео карта,nvidia geforce gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,55 gb,диск,55 gb
звукова€ карта,directx compatible,звукова€ карта,100% directx 9.0c compatible 16-bit
,,,
windows_min_Superflight,windows_min_Superflight,windows_req_Superflight,windows_req_Superflight
операционна€ система,"windows 7, windows 8, windows 10",операционна€ система,windows 10
процессор,intel core i3 2.00 ghz or amd equivalent,процессор,intel quadroople core i1000
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,11 gb
видео карта,nvidia geforce 650 or higher,видео карта,nvidia geforce 12000
диск,200 mb,диск,200 mb
,,,
windows_min_Mount & Blade: With Fire & Sword,windows_min_Mount & Blade: With Fire & Sword
операционна€ система,xp/vista/windows 7
процессор,2.1ghz or higher
оперативна€ пам€ть,1.2 gb
диск,900 mb
видео карта,128 mb+
звукова€ карта,directx compatible sound card
,
windows_min_Darkwood,windows_min_Darkwood,windows_req_Darkwood,windows_req_Darkwood,macos_min_Darkwood,macos_min_Darkwood,macos_req_Darkwood,macos_req_Darkwood,linux_min_Darkwood,linux_min_Darkwood,linux_req_Darkwood,linux_req_Darkwood
операционна€ система,windows vista,операционна€ система,windows 10,операционна€ система,osx 10.8,операционна€ система,osx 10.8,операционна€ система,ubuntu 12.04,операционна€ система,ubuntu 12.04
процессор,intel core 2 duo 2.8ghz,процессор,intel i3,процессор,intel core 2 duo 2.8ghz,процессор,intel i3,процессор,intel core 2 duo 2.8ghz,процессор,intel i3
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,geforce 8800gt / ati radeon hd 4850,видео карта,geforce gtx 660,видео карта,geforce 8800gt / ati radeon hd 4850,видео карта,geforce gtx 660,видео карта,geforce 8800gt / ati radeon hd 4850,видео карта,geforce gtx 660
диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb
,,,,,,,,,,,
windows_min_Deadlight,windows_min_Deadlight,windows_req_Deadlight,windows_req_Deadlight
операционна€ система,microsoft windows xp sp3 / vista / 7,операционна€ система,microsoft windows xp sp3 / vista / 7
процессор,2ghz+,процессор,intel core 2 duo 2ghz+
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,shader model 3.0 support,видео карта,512mb video card
directx,9.0c,directx,9.0c
диск,5 gb hd space,диск,5 gb hd space
звукова€ карта,directx 9 compatible sound card,звукова€ карта,100% directx 9 compatible sound card
,,,
windows_min_The Ascent,windows_min_The Ascent,windows_req_The Ascent,windows_req_The Ascent
операционна€ система,windows 10 x64,операционна€ система,windows 10 x64
процессор,intel core intel core i5-3470 (4 * 3200) / amd fx-8350 (4 * 4000),процессор,intel core i7-6700k (4 * 4000) / amd ryzen 5 2600 (6 * 3400)
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,geforce gtx 660 ( 2048 mb) / radeon r9 390x (8192 mb),видео карта,geforce gtx 1070 (8192 mb) / radeon rx 5700 (8192 mb)
диск,35 gb,диск,35 gb
,,,
windows_min_FIVE NIGHTS AT FREDDY'S: HELP WANTED,windows_min_FIVE NIGHTS AT FREDDY'S: HELP WANTED,windows_req_FIVE NIGHTS AT FREDDY'S: HELP WANTED,windows_req_FIVE NIGHTS AT FREDDY'S: HELP WANTED
операционна€ система,windows 8,операционна€ система,windows 10
процессор,intel i5-4590 / amd fx 8350,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
