windows_min_The Drone Racing League Simulator,windows_min_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator
windows_min_Evil West,windows_min_Evil West,windows_req_Evil West,windows_req_Evil West
операционная система,windows 10 (s),операционная система,windows 10 (s)
процессор,intel core i5-2500k (3.3 ghz) / amd fx-6300 x6 (3.5 ghz),процессор,intel core i5-10505 (3.2 ghz) / amd ryzen 5 1600 (3.2 ghz)
оперативная память,8 gb,оперативная память,16 gb
видео карта,"4 gb vram, geforce gtx 750 ti / radeon rx 460",видео карта,geforce gtx 1060 / radeon rx 590
диск,40 gb,диск,40 gb
,,,
windows_min_Lost Planet® 2,windows_min_Lost Planet® 2
операционная система,"windows xp, vista"
процессор,"intel core 2 duo, amd athlon x2, or faster"
оперативная память,1gb+ (windows xp); 2gb+ (vista)
видео карта,"shader model 3.0 or higher; nvidia geforce 7800 series, ati radeon hd 2400 pro, or higher"
vram,256mb or more (not guaranteed to run when shared with main memory)
directx,directx 9.0c or higher
диск,13.0gb free space
звуковая карта,directsound support (directx 9.0c or higher)
,
windows_min_Unreal Tournament 3 Black,windows_min_Unreal Tournament 3 Black
операционная система,windows xp sp2 or windows vista
процессор,2.0+ ghz single core
оперативная память,512 mb
видео карта,nvidia 6200+ or ati radeon 9600+ video card
звуковая карта,windows supported sound card
directx,directx 9.0c
,
windows_min_VCB: Why City (Beta Version),windows_min_VCB: Why City (Beta Version),windows_req_VCB: Why City (Beta Version),windows_req_VCB: Why City (Beta Version)
операционная система,microsoft windows vista,операционная система,microsoft windows 7
процессор,intel core 2 duo (),процессор,intel core i3 ()
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,nvidia geforce 9800 gt or similar amd radeon,видео карта,nvidia geforce gtx 460 or similar amd radeon
directx,version 9.0,directx,version 9.0
диск,800 mb,диск,800 mb
,,,
windows_min_Boris and the Dark Survival,windows_min_Boris and the Dark Survival
операционная система,10
процессор,i5 and up
оперативная память,8 gb
видео карта,gtx 770 and up
directx,version 11
,
windows_min_Plebby Quest: The Crusades,windows_min_Plebby Quest: The Crusades
операционная система,windows 7+
процессор,dual core 2.6 ghz +
оперативная память,2 gb
видео карта,nvidia gts 450
,
windows_min_Breach & Clear,windows_min_Breach & Clear
операционная система,osx 10.6 or higher
процессор,core 2 duo - 1.5 ghz or higher
оперативная память,2 gb
видео карта,opengl 3.0+ compatible video card
directx,version 9.0c
,
windows_min_DIRT 5,windows_min_DIRT 5,windows_req_DIRT 5,windows_req_DIRT 5
операционная система,windows 10 (18362),операционная система,windows 10 (18362)
процессор,amd fx 4300 / intel core i3 2130,процессор,amd ryzen 3600 / intel core i5 9600k
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd rx 480 (directx12 graphics card) / nvidia gtx 970,видео карта,amd radeon 5700xt / nvidia gtx 1070 ti
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,60 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_A Total War Saga: TROY,windows_min_A Total War Saga: TROY,windows_req_A Total War Saga: TROY,windows_req_A Total War Saga: TROY
операционная система,macos 11.5.1,операционная система,—
процессор,3.6ghz intel core i3 / 2ghz intel core i5,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,amd radeon r9 m290 2gb | intel iris graphics 540 1.5gb | apple m1 (requires rosetta 2),видео карта,—
directx,version 11,directx,version 11
диск,32 gb,диск,—
,,,
windows_min_Notruf 112 | Emergency Call 112,windows_min_Notruf 112 | Emergency Call 112
операционная система,windows 7/8/8.1/10 ()
процессор,"2,6 ghz"
оперативная память,8 gb
видео карта,min. 1 gb vram (no support for onboard cards)
directx,version 11
диск,6 gb
,
windows_min_Aerofly FS 2 Flight Simulator,windows_min_Aerofly FS 2 Flight Simulator,windows_req_Aerofly FS 2 Flight Simulator,windows_req_Aerofly FS 2 Flight Simulator,macos_min_Aerofly FS 2 Flight Simulator,macos_min_Aerofly FS 2 Flight Simulator,macos_req_Aerofly FS 2 Flight Simulator,macos_req_Aerofly FS 2 Flight Simulator,linux_min_Aerofly FS 2 Flight Simulator,linux_min_Aerofly FS 2 Flight Simulator,linux_req_Aerofly FS 2 Flight Simulator,linux_req_Aerofly FS 2 Flight Simulator
операционная система,"64bit versions of windows 7, windows 8, windows 10",операционная система,"64bit versions of windows 7, windows 8, windows 10",операционная система,macos 10.13,операционная система,—,операционная система,linux,операционная система,—
процессор,intel dual core cpu 2.4 ghz,процессор,intel quad core cpu 3.0 ghz,процессор,intel quad core cpu,процессор,—,процессор,intel quad core cpu 3.0 ghz,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,—
видео карта,opengl 3.0 compatible 3d graphic card with at least 1 gb of,видео карта,opengl 4.0 compatible 3d graphic card with at least 2 gb of,видео карта,a dedicated gpu by nvidia or amd,видео карта,—,видео карта,opengl 4.0 compatible 3d graphic card with at least 2 gb of,видео карта,—
диск,35 gb,диск,40 gb,диск,40 gb,диск,—,диск,40 gb,диск,—
звуковая карта,directx compatible soundcard,звуковая карта,directx compatible soundcard,,,,,,,,
,,,,,,,,,,,
windows_min_OMON Simulator,windows_min_OMON Simulator,windows_req_OMON Simulator,windows_req_OMON Simulator,macos_min_OMON Simulator,macos_min_OMON Simulator,macos_req_OMON Simulator,macos_req_OMON Simulator,linux_min_OMON Simulator,linux_min_OMON Simulator,linux_req_OMON Simulator,linux_req_OMON Simulator
операционная система,windows vista sp2,операционная система,windows vista sp2,операционная система,os x 10.6.3 leopard,операционная система,os x 10.6.3 leopard,операционная система,ubuntu 14.04 lts,операционная система,ubuntu 14.04 lts
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz,процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,gt 650m,видео карта,gtx 750ti,видео карта,gt 650m,видео карта,gtx 750ti,видео карта,gt 650m,видео карта,gtx 750ti
directx,version 9.0c,directx,version 9.0c,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any
,,,,,,,,,,,
windows_min_METAL SLUG,windows_min_METAL SLUG,windows_req_METAL SLUG,windows_req_METAL SLUG
операционная система,"windows vista, 7, 8",операционная система,"windows vista, 7, 8"
процессор,pentium 4 2.4ghz,процессор,2 ghz dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,nvidia geforce gt 640
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Penumbra: Black Plague Gold Edition,windows_min_Penumbra: Black Plague Gold Edition,macos_min_Penumbra: Black Plague Gold Edition,macos_min_Penumbra: Black Plague Gold Edition,linux_min_Penumbra: Black Plague Gold Edition,linux_min_Penumbra: Black Plague Gold Edition
операционная система,windows 2000/xp,операционная система,os x 10.7.5 - 10.15.0 this product is not compatiable with macos 10.15 catalina .,операционная система,"linux ubuntu 12.04, 32-bit libraries must be installed"
процессор,1ghz,процессор,2.0ghz,процессор,2.0ghz
оперативная память,256mb,оперативная память,1024mb,оперативная память,1024mb
видео карта,radeon 8500 / geforce 3 (geforce4mx not supported),видео карта,"radeon 9600 / geforce 4 (geforce4mx not supported, integrated graphics might not work.)",видео карта,"radeon 9600 / geforce 4 (geforce4mx not supported, integrated graphics might not work.)"
,,,,,
windows_min_Spin Rhythm XD,windows_min_Spin Rhythm XD,windows_req_Spin Rhythm XD,windows_req_Spin Rhythm XD
