процессор,1.4 ghz
оперативная память,512 mb
видео карта,512 mb
directx,version 11
,
windows_min_Fog of War,windows_min_Fog of War,windows_req_Fog of War,windows_req_Fog of War
операционная система,windows 7/8/10 32-bit,операционная система,windows 7/8/10
процессор,"two-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,2048 mb,оперативная память,8192 mb
видео карта,nvidia geforce 9600 gt or amd radeon 4850 hd series card or higher,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Mages of Mystralia,windows_min_Mages of Mystralia,windows_req_Mages of Mystralia,windows_req_Mages of Mystralia
операционная система,windows 7,операционная система,windows 7+
процессор,intel core i5 2300,процессор,intel core i7 4790
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 560 ti,видео карта,geforce gtx 760
directx,version 11,directx,version 11
,,,
windows_min_Tools Up!,windows_min_Tools Up!,windows_req_Tools Up!,windows_req_Tools Up!
операционная система,win7-,операционная система,win10 -
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510
directx,version 11,directx,version 11
,,,
windows_min_PAYDAY 2: Gage Chivalry Pack,windows_min_PAYDAY 2: Gage Chivalry Pack,windows_req_PAYDAY 2: Gage Chivalry Pack,windows_req_PAYDAY 2: Gage Chivalry Pack
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/windows 7
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,2 gb,оперативная память,3 gb
видео карта,nvidia geforce 8800 / ati radeon hd 2600 (256mb minimum),видео карта,nvidia geforce gtx460 / ati radeon hd 5850 (512mb minimum)
directx,9.0c,directx,9.0c
диск,13 gb hd space,диск,13 gb hd space
,,,
windows_min_Zanzarah: The Hidden Portal,windows_min_Zanzarah: The Hidden Portal
