windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
диск,20 gb,диск,20 gb
звуковая карта,"directx 9.0c or above & 16 bit stereo, 48khz wave file can be played",звуковая карта,"directx 9.0c or above & 16 bit stereo, 48khz wave file can be played"
,,,
windows_min_Warpips,windows_min_Warpips,windows_req_Warpips,windows_req_Warpips
операционная система,windows 8.1/10,операционная система,windows 8.1/10
процессор,intel core 2 duo e4600 @ 2.4ghz or amd athlon 64 x2 6400 @ 2.4ghz,процессор,intel core i5 4690k or amd ryzen 7 1700
оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce gt 420 or ati radeon hd 5570,видео карта,nvidia geforce gtx 660 or ati radeon hd 7850
directx,version 11,directx,version 11
,,,
windows_min_Cyberhunt,windows_min_Cyberhunt,windows_req_Cyberhunt,windows_req_Cyberhunt
операционная система,microsoft windows xp,операционная система,microsoft windows 7
процессор,dual core 2.0 ghz,процессор,dual core 3.0 ghz or higher
оперативная память,512 mb,оперативная память,2 gb
видео карта,compatible with directx 9,видео карта,compatible with directx 9
directx,version 9.0,directx,version 9.0
,,,
windows_min_The Incredible Adventures of Van Helsing III,windows_min_The Incredible Adventures of Van Helsing III,windows_req_The Incredible Adventures of Van Helsing III,windows_req_The Incredible Adventures of Van Helsing III
операционная система,osx 10.6 (snow leopard),операционная система,osx 10.6 (snow leopard)
процессор,dual core cpu 2.0 ghz,процессор,quad core cpu 2.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia 330m, intel hd4000 or amd hd4670",видео карта,nvidia 285m or nvidia 640m or amd hd4870
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Heartbound,windows_min_Heartbound
процессор,1.2ghz+
оперативная память,4 gb
видео карта,512mb
диск,500 mb
,
windows_min_Hunter's Arena: Legends,windows_min_Hunter's Arena: Legends,windows_req_Hunter's Arena: Legends,windows_req_Hunter's Arena: Legends
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i7-6600k / amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770 / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 6gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Psychonauts 2,windows_min_Psychonauts 2,windows_req_Psychonauts 2,windows_req_Psychonauts 2,macos_min_Psychonauts 2,macos_min_Psychonauts 2,macos_req_Psychonauts 2,macos_req_Psychonauts 2,linux_min_Psychonauts 2,linux_min_Psychonauts 2,linux_req_Psychonauts 2,linux_req_Psychonauts 2
операционная система,windows 7 (),операционная система,windows 10 (),операционная система,requires a and operating system,операционная система,requires a and operating system,операционная система,requires a and operating system,операционная система,requires a and operating system
процессор,"intel core i3-3225, amd phenom ii x6 1100t",процессор,"intel core i7-7700k, ryzen 5 1600",дополнительно,tbd,дополнительно,tbd,дополнительно,tbd,дополнительно,tbd
оперативная память,8 gb,оперативная память,8 gb,,,,,,,,
видео карта,"nvidia geforce gtx 1050, amd radeon rx 560",видео карта,"nvidia geforce gtx 1060, amd radeon rx 580",,,,,,,,
directx,version 11,directx,version 12,,,,,,,,
диск,30 gb,диск,30 gb,,,,,,,,
,,,,,,,,,,,
windows_min_EDEN STAR,windows_min_EDEN STAR
операционная система,"windows 8.1, windows 8, windows 7 service pack 1."
процессор,intel i5 cpu @ 2.40ghz (4 cpus) / amd x8 fx @ 3.5ghz (8 cpus)
оперативная память,8 gb
видео карта,nvidia gtx 650 / or amd equivalent
сеть,широкополосное подключение
диск,10 gb
звуковая карта,100% directx 10 compatible
,
windows_min_YUMENIKKI -DREAM DIARY-,windows_min_YUMENIKKI -DREAM DIARY-,windows_req_YUMENIKKI -DREAM DIARY-,windows_req_YUMENIKKI -DREAM DIARY-
операционная система,windows 7/8/10 ( os required),операционная система,windows 8/10 ( os required)
