видео карта,nvidia geforce gt 1030 - amd radeon rx 550,видео карта,nvidia geforce gtx 970 - amd radeon r9 390
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Yakuza 6: The Song of Life,windows_min_Yakuza 6: The Song of Life,windows_req_Yakuza 6: The Song of Life,windows_req_Yakuza 6: The Song of Life
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-3470 |; amd fx-6300,процессор,intel core i7-6700 |; amd ryzen 5 2600
оперативная память,4 gb,оперативная память,6 gb
видео карта,"nvidia geforce gtx 660, 2 gb | amd radeon hd 7870, 2 gb",видео карта,"nvidia geforce gtx 1070, 8 gb | amd radeon rx vega 56, 8 gb"
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
,,,
windows_min_UNBEATABLE [white label],windows_min_UNBEATABLE [white label],windows_req_UNBEATABLE [white label],windows_req_UNBEATABLE [white label]
операционная система,windows 8.1+,операционная система,windows 10
процессор,an okay,процессор,a good enough to run 500 instances of the game at the same time
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 650 or amd equivalent,видео карта,nvidia gtx 900 series or amd equivalent (it'll run on a lot of stuff)
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
звуковая карта,nobody buys a sound card anymore. why does steam even list this as a thing,звуковая карта,"seriously, nobody buys a sound card anymore unless you're someone who does music or are someone i never want to have a conversation with"
,,,
windows_min_Loot River,windows_min_Loot River,windows_req_Loot River,windows_req_Loot River
операционная система,windows 7 or higher,операционная система,windows 10
процессор,intel i5 or higher,процессор,intel i5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gt 650m or higher,видео карта,geforce gt 650m or higher
directx,version 10,directx,version 11
,,,
windows_min_Deadswitch 3,windows_min_Deadswitch 3,windows_req_Deadswitch 3,windows_req_Deadswitch 3
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,intel core i5-4440 (3.10ghz)/amd fx-6300 (3.50ghz),процессор,intel core i7-8700 (3.20ghz)/amd ryzen 7 2700 (3.20ghz)
оперативная память,1 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 760 / amd radeon hd 7970,видео карта,nvidia geforce gtx 980 / amd radeon r9 390x
диск,500 mb,диск,1 gb
дополнительно,highly recommended.,дополнительно,highly recommended.
,,,
windows_min_R18Plus Monster Girl You-ki chan,windows_min_R18Plus Monster Girl You-ki chan,windows_req_R18Plus Monster Girl You-ki chan,windows_req_R18Plus Monster Girl You-ki chan
операционная система,windows 8/8.1/10(64bit),операционная система,windows 8/8.1/10(64bit)/11
процессор,intel core2 duo 3.0ghz,процессор,intel core(tm) i7 3.5ghz
оперативная память,4 mb,оперативная память,8 mb
видео карта,opengl 4.1 capable gpu,видео карта,/opengl 4.1 capable gpu / nvidia geforce gtx750
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Project Elysium,windows_min_Project Elysium,windows_req_Project Elysium,windows_req_Project Elysium
операционная система,windows 7,операционная система,windows 10 home
процессор,core i3-9100,процессор,i5-7400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560,видео карта,nvidia geforce rtx 2060
directx,version 9.0,directx,version 10
,,,
windows_min_Resident Evil Re:Verse Beta,windows_min_Resident Evil Re:Verse Beta,windows_req_Resident Evil Re:Verse Beta,windows_req_Resident Evil Re:Verse Beta
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i5-7500  amd ryzen 3 1200,процессор,intel core i7 8700  amd ryzen 5 3600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1050 ti with 4gb vram  amd radeon rx 560 with 4gb vram,видео карта,nvidia geforce gtx 1070  amd radeon rx 5700
directx,version 12,directx,version 12
диск,8 gb,диск,8 gb
,,,
windows_min_GAI Stops Auto: Right Version Simulator,windows_min_GAI Stops Auto: Right Version Simulator,windows_req_GAI Stops Auto: Right Version Simulator,windows_req_GAI Stops Auto: Right Version Simulator
операционная система,windows 7,операционная система,windows 7 and later
процессор,intel core i3 4170 or amd fx-8120,процессор,intel core i5 8400 or amd ryzen 5 2600
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 460 or radeon hd 5850,видео карта,geforce gtx 960 or radeon hd 7950
,,,
windows_min_WSB GME,windows_min_WSB GME,windows_req_WSB GME,windows_req_WSB GME
операционная система,windows 10,операционная система,windows 10
процессор,i7+,процессор,i7+
оперативная память,16 gb,оперативная память,16 gb
видео карта,rx570,видео карта,rx570
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Help me please,windows_min_Help me please,windows_req_Help me please,windows_req_Help me please
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,tel core™ i5-4460 or amd,процессор,intel core™ i7-3770 or amd
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 11
,,,
windows_min_Offroad Truck Racing,windows_min_Offroad Truck Racing,windows_req_Offroad Truck Racing,windows_req_Offroad Truck Racing
операционная система,7,операционная система,10
процессор,intel core i3-2100,процессор,intel core i5-9600k
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd r7 240,видео карта,rtx 3060
диск,1 gb,диск,1 gb
,,,
windows_min_WAIFU IMPACT,windows_min_WAIFU IMPACT,windows_req_WAIFU IMPACT,windows_req_WAIFU IMPACT
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-3570k or similar,процессор,intel core i7-4790 or similar
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 780 or similar,видео карта,gtx 1060 or similar
,,,
windows_min_Phobyark,windows_min_Phobyark,windows_req_Phobyark,windows_req_Phobyark
операционная система,windows 10 ( ),операционная система,windows 10 ( )
процессор,intel core i7 4770 / amd ryzen 5 2600,процессор,intel core i7 8700k / amd ryzen 7 3700x
оперативная память,16 gb,оперативная память,24 gb
видео карта,nvidia geforce gtx 1660 ti / amd radeon rx 590,видео карта,nvidia rtx 3060 ti / amd rx 5700 xt
directx,version 12,directx,version 12
,,,
windows_min_KINGDOM of the DEAD,windows_min_KINGDOM of the DEAD
операционная система,windows 7
процессор,2.4ghz dual core or higher
оперативная память,2 gb
видео карта,geforce 9800gt () or higher
directx,version 11
,
windows_min_OUTLIER,windows_min_OUTLIER,windows_req_OUTLIER,windows_req_OUTLIER
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i5-4590,процессор,intel core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 1060,видео карта,geforce gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_KungFu Kickball,windows_min_KungFu Kickball
операционная система,high sierra 10.13+
процессор,x64 architecture with sse2
оперативная память,4 mb
видео карта,metal capable intel and amd gpus
сеть,широкополосное подключение
,
windows_min_Aztech Forgotten Gods,windows_min_Aztech Forgotten Gods,windows_req_Aztech Forgotten Gods,windows_req_Aztech Forgotten Gods
операционная система,windows 8,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,6 gb,оперативная память,8 gb
видео карта,intel iris pro graphics 580,видео карта,nvidia geforce gtx 780
directx,version 12,directx,version 12
,,,
windows_min_Archvale,windows_min_Archvale,windows_req_Archvale,windows_req_Archvale
операционная система,windows 10,операционная система,windows 10
процессор,intel core 2 duo e8400 or amd phenom ii x2 550,процессор,intel core i5-650 or amd phenom ii x4 965
оперативная память,4 gb,оперативная память,4 gb
,,,
windows_min_Tombstone,windows_min_Tombstone,windows_req_Tombstone,windows_req_Tombstone
операционная система,windows 7,операционная система,windows 10
процессор,i5-7500,процессор,i7-8700
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 660ti,видео карта,gtx 1070
,,,
