windows_min_Tiger Striker,windows_min_Tiger Striker
операционна€ система,windows xp (sp 1) / vista (sp 1) / windows 7 (sp 1),операционна€ система,windows 7 is highly-recommended
процессор,2.6 ghz intel core 2 duo amd cpu,процессор,intel core i5 3.0ghz
оперативна€ пам€ть,at least 2gb for windows xp / 3gb for windows vista and windows 7,оперативна€ пам€ть,6gb
диск,at least 30gb of free space,диск,at least 30gb of free space
видео карта,nvidia 8800 series 512 vram /radeon hd3850 512mb,видео карта,nvidia gtx 560 ti 1gb
directx,9.0c,directx,11.0
,,,
windows_min_InjusticeЩ 2 - Darkseid,windows_min_InjusticeЩ 2 - Darkseid,windows_req_InjusticeЩ 2 - Darkseid,windows_req_InjusticeЩ 2 - Darkseid
операционна€ система,windows 7 / windows 10,операционна€ система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzenЩ 3 1200, 3.1 ghz",процессор,"intel core i3-2100, 3.10 ghz / amd fx-6300, 3.5 ghz or amd ryzenЩ 5 1400, 3.2 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx 570 or nvidia geforceЩ gtx 1050/ amd radeonЩ hd 7850 or amd radeonЩ rx 550,видео карта,nvidia geforceЩ gtx 780 / amd radeonЩ r9 290 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_DayBreak Online,windows_min_DayBreak Online,windows_req_DayBreak Online,windows_req_DayBreak Online
операционна€ система,windows xp / vista / 7 / 8,операционна€ система,windows xp / vista / 7 / 8
процессор,pentium 4 1.7ghz,процессор,pentium dual core 2.0ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,radeon 9550 / geforce 5700 / intel g31,видео карта,radeon hd3650 / geforce 7600gt
directx,version 9.0,directx,version 9.0
диск,4 gb,диск,4 gb
звукова€ карта,compatvel com direct x,звукова€ карта,compatvel com direct x
,,,
windows_min_Go To Bed: Survive The Night,windows_min_Go To Bed: Survive The Night,windows_req_Go To Bed: Survive The Night,windows_req_Go To Bed: Survive The Night
операционна€ система,windows 7,операционна€ система,windows 7 or above
процессор,dual core,процессор,dual core or above
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,graphics card with 256 mb,видео карта,graphics card with 512+ mb
,,,
windows_min_Tom Clancy's Rainbow SixЃ Siege - Racer FBI SWAT Pack,windows_min_Tom Clancy's Rainbow SixЃ Siege - Racer FBI SWAT Pack,windows_req_Tom Clancy's Rainbow SixЃ Siege - Racer FBI SWAT Pack,windows_req_Tom Clancy's Rainbow SixЃ Siege - Racer FBI SWAT Pack
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
,,,
windows_min_Just Cause 2 Demo,windows_min_Just Cause 2 Demo,windows_req_Just Cause 2 Demo,windows_req_Just Cause 2 Demo
операционна€ система,microsoft windows vista (windows xp is unsupported),операционна€ система,microsoft windows vista sp1 or windows 7
процессор,dual-core cpu with sse3 (athlon 64 x2 4200 / pentium d 3ghz),процессор,intel core 2 duo 2.6 ghz or amd phenom x3 2.4ghz or equivalen
оперативна€ пам€ть,2gb system memory,оперативна€ пам€ть,3gb system memory
диск,10gb of free drive space,диск,Ч
видео карта,dx10 compatible graphics card with 256 mb of memory (nvidia geforce 8800 series/ ati radeon hd 2600 pro),видео карта,dx10 compatible graphics card with 512 mb of memory (nvidia geforce gts 250 series/ ati radeon hd 5750 series)
звукова€ карта,100% directx 10 compatible sound card,звукова€ карта,100% directx 10 compatible dolby digital 5.1 sound card
,,,
windows_min_The LEGOЃ Movie - Videogame DLC - Wild West Pack,windows_min_The LEGOЃ Movie - Videogame DLC - Wild West Pack,windows_req_The LEGOЃ Movie - Videogame DLC - Wild West Pack,windows_req_The LEGOЃ Movie - Videogame DLC - Wild West Pack
операционна€ система,mac os: 10.8.5,операционна€ система,mac os: 10.9.5
процессор,1.8 ghz,процессор,2.4 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,256 mb,видео карта,512mb
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,9 gb,диск,9 gb
,,,
windows_min_Road Rage,windows_min_Road Rage
операционна€ система,"operating systems (windows 7, windows 8.1 & windows 10)"
процессор,intel core i3-4340 / amd fx-6300
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2 gb
directx,version 11
сеть,широкополосное подключение
,
windows_min_Flaming Friday Night,windows_min_Flaming Friday Night,windows_req_Flaming Friday Night,windows_req_Flaming Friday Night
операционна€ система,windows 10 64bit,операционна€ система,windows 10 64bit
процессор,quad core (intel(r) core(tm) i5-2450m),процессор,quad core (intel(r) core(tm) i5-2450m)
оперативна€ пам€ть,8.00 gb,оперативна€ пам€ть,8.00 gb
видео карта,intel(r) hd graphics,видео карта,nvidia geforce gt 555m
,,,
windows_min_Frontline: Panzer Blitzkrieg!,windows_min_Frontline: Panzer Blitzkrieg!,windows_req_Frontline: Panzer Blitzkrieg!,windows_req_Frontline: Panzer Blitzkrieg!
операционна€ система,xp,операционна€ система,windows 10
процессор,pentium 4,процессор,dual-core intel i5 cpu @ 2ghz+
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,8 gb
видео карта,512mb,видео карта,intel 4xxx series w/ 512mb vram
диск,1500 mb,диск,2 gb
,,,
windows_min_Icarus Online,windows_min_Icarus Online,windows_req_Icarus Online,windows_req_Icarus Online
операционна€ система,windows 7/8/8.1/10 (x64),операционна€ система,windows 7/8/8.1/10 (x64)
процессор,"intel core i3-2120 @ 3,3 ггц amd a8-5500 @ 3,3 ггц",процессор,"intel core i5-2500k@ 3,3 ггц amd fx-6200@ 3,3 ггц"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 260 (1 гб); radeon hd 7670 (1 гб),видео карта,geforce gtx 460; radeon hd 6870
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_To Hell with Hell,windows_min_To Hell with Hell,windows_req_To Hell with Hell,windows_req_To Hell with Hell
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel i3 or higher,процессор,intel i5 or higher
