windows_min_The Elder ScrollsЃ Online,windows_min_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online
windows_min_Total War: WARHAMMER II,windows_min_Total War: WARHAMMER II,windows_req_Total War: WARHAMMER II,windows_req_Total War: WARHAMMER II,macos_min_Total War: WARHAMMER II,macos_min_Total War: WARHAMMER II,macos_req_Total War: WARHAMMER II,macos_req_Total War: WARHAMMER II,linux_min_Total War: WARHAMMER II,linux_min_Total War: WARHAMMER II,linux_req_Total War: WARHAMMER II,linux_req_Total War: WARHAMMER II
операционна€ система,windows 7 64bit,операционна€ система,windows 7 / 8 (8.1)/ 10 64bit,операционна€ система,macos 10.14,операционна€ система,Ч,операционна€ система,ubuntu 18.04,операционна€ система,ubuntu 18.04
процессор,intel coreЩ 2 duo 3.0ghz,процессор,intel coreЩ i5-4570 3.20ghz,процессор,2.0ghz intel core i5,процессор,Ч,процессор,3.4ghz intel core i3-4130,процессор,3.4 ghz intel core i7-4770
оперативна€ пам€ть,5 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 460 1gb |; amd radeon hd 5770 1gb |; intel hd4000 @720p,видео карта,nvidia geforce gtx 770 4gb |; amd radeon r9 290x 4gb @1080p,видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris graphics 540 (see notes for more details)",видео карта,Ч,видео карта,"2gb nvidia gtx 680, 2gb amd r9 285 (gcn 3rd gen)",видео карта,"4gb nvidia 970, 4gb amd rx 480"
directx,version 11,directx,version 11,диск,60 gb,диск,Ч,диск,60 gb,диск,60 gb
,,,,,,,,,,,
windows_min_Tom ClancyТs The DivisionЩ,windows_min_Tom ClancyТs The DivisionЩ,windows_req_Tom ClancyТs The DivisionЩ,windows_req_Tom ClancyТs The DivisionЩ
операционна€ система,"windows 7, windows 8.1, windows 10 ( versions only)",операционна€ система,"windows 7, windows 8.1, windows 10 ( versions only)"
процессор,"intel core i5-2400 |; amd fx-6100,",процессор,"intel core i7-3770 |; amd fx-8350,"
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 560 with 2 gb vram (current equivalent nvidia geforce gtx 760) |; amd radeon hd 7770 with 2 gb vram, - see supported list*",видео карта,"nvidia geforce gtx 970 |; amd radeon r9 290, - see supported list*"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Killing Floor 2,windows_min_Killing Floor 2,windows_req_Killing Floor 2,windows_req_Killing Floor 2
операционна€ система,"win7, win8/8.1",операционна€ система,windows 10
процессор,core 2 duo e8200 2.66ghz or phenom ii x2 545,процессор,core 2 quad q9550 2.83ghz or phenom ii x4 955
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,4 gb
видео карта,geforce gts 250 or radeon hd 4830,видео карта,geforce gtx 560 or radeon hd 6950
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,100 gb
,,,
windows_min_Far Cry 3,windows_min_Far Cry 3,windows_req_Far Cry 3,windows_req_Far Cry 3
операционна€ система,"windows xp, windows vista and windows 7",операционна€ система,Ч
процессор,intel core2 duo e6700 @ 2.6 ghz or amd athlon64 x2 6000+ @ 3.0ghz,процессор,Ч
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,"512mb video (1gb video), directx9c (directx11) shader model 3.0 (shader model 5.0)",видео карта,"512mb video (1gb video), directx9c (directx11) shader model 3.0 (shader model 5.0)"
directx,9.0c,directx,11
диск,15 gb hd space,диск,15 gb hd space
звукова€ карта,directx compatible (recommended surround sound 5.1 capable),звукова€ карта,directx compatible (recommended surround sound 5.1 capable)
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_Cuphead,windows_min_Cuphead
операционна€ система,os x 10.11.x
процессор,intel core i5 or higher
оперативна€ пам€ть,4 gb
видео карта,intel hd graphics 4000 or higher (requires metal)
directx,version 11
,
windows_min_NieR:AutomataЩ,windows_min_NieR:AutomataЩ,windows_req_NieR:AutomataЩ,windows_req_NieR:AutomataЩ
операционна€ система,windows 7 /8.1 /10 64bit,операционна€ система,windows 8.1 /10 64bit
процессор,intel core i3 2100 or amd a8-6500,процессор,intel core i5 4670 or amd a10-7850k
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 770 vram 2gb or amd radeon r9 270x vram 2gb,видео карта,nvidia geforce gtx 980 vram 4gb or amd radeon r9 380x vram 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
звукова€ карта,directx 11 supported,звукова€ карта,directx 11 supported
,,,
windows_min_Just Survive,windows_min_Just Survive,windows_req_Just Survive,windows_req_Just Survive
операционна€ система,"windows 7, 8, 8.1, 10 ( only)",операционна€ система,"windows 7, 8, 8.1, 10 ( only)"
процессор,intel i3 dual-core with hyper-threading (required),процессор,intel i5 quad core or higher / amd phenom ii x6 or higher
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 275 series or higher / amd radeon hd 4870 x2 series or higher,видео карта,nvidia geforce gtx 960 series or higher / amd radeon r9 280x series or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_STAR WARS Jedi: Fallen OrderЩ,windows_min_STAR WARS Jedi: Fallen OrderЩ,windows_req_STAR WARS Jedi: Fallen OrderЩ,windows_req_STAR WARS Jedi: Fallen OrderЩ
операционна€ система,windows 7/8.1/10,операционна€ система,windows 7/8.1/10
процессор,amd fx-6100 / intel i3-3220,процессор,amd ryzen 7 1700 / intel i7-6700k
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,"amd radeon hd 7750, nvidia geforce gtx 650",видео карта,"amd rx vega 56, nvidia gtx 1070 / gtx1660ti"
directx,version 11,directx,version 11
,,,
windows_min_Ori and the Will of the Wisps,windows_min_Ori and the Will of the Wisps,windows_req_Ori and the Will of the Wisps,windows_req_Ori and the Will of the Wisps
операционна€ система,windows 10 version 18362.0 or higher,операционна€ система,windows 10 version 18362.0 or higher
процессор,amd athlon x4 | intel core i5 4460,процессор,amd ryzen 3 | intel i5 skylake
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 950 |; amd r7 370,видео карта,nvidia gtx 970 |; amd rx 570
directx,version 11,directx,version 11
,,,
windows_min_Borderlands 3,windows_min_Borderlands 3,windows_req_Borderlands 3,windows_req_Borderlands 3
операционна€ система,windows 7/10 (latest service pack),операционна€ система,windows 7/10 (latest service pack)
процессор,amd fx-8350 or intel i5-3570,процессор,amd ryzenЩ 5 2600 (intel i7-4770)
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,16 gb
видео карта,amd radeonЩ hd 7970 or nvidia geforce gtx 680 2 gb,видео карта,amd radeonЩ rx 590 or nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 12
диск,75 gb,диск,75 gb
,,,
windows_min_Insurgency: Sandstorm,windows_min_Insurgency: Sandstorm,windows_req_Insurgency: Sandstorm,windows_req_Insurgency: Sandstorm
операционна€ система,windows 7/8/10 (s),операционна€ система,windows 7/8/10 (s)
процессор,intel core i5-4440 (3.10ghz)/amd fx-6300 (3.50ghz),процессор,intel core i7-8700 (3.20ghz)/amd ryzen 7 2700 (3.20ghz)
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 760 / amd radeon hd 7970,видео карта,nvidia geforce gtx 980 / amd radeon r9 390x
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
,,,
windows_min_BatmanЩ: Arkham Knight,windows_min_BatmanЩ: Arkham Knight,windows_req_BatmanЩ: Arkham Knight,windows_req_BatmanЩ: Arkham Knight
операционна€ система,"win 7 sp1, win 8.1 ( operating system required)",операционна€ система,"win 7 sp1, win 8.1 ( operating system required)"
процессор,"intel core i5-750, 2.67 ghz | amd phenom ii x4 965, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz | amd fx-8350, 4.0 ghz"
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 (2 gb memory minimum) |; amd radeon hd 7870 (2 gb memory minimum),видео карта,nvidia geforce gtx 760 - 3 gb memory recommended |; amd radeon hd 7950 - 3 gb memory recommended
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
