windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
windows_min_Bloody Trapland 2: Curiosity,windows_min_Bloody Trapland 2: Curiosity,windows_req_Bloody Trapland 2: Curiosity,windows_req_Bloody Trapland 2: Curiosity,macos_min_Bloody Trapland 2: Curiosity,macos_min_Bloody Trapland 2: Curiosity,macos_req_Bloody Trapland 2: Curiosity,macos_req_Bloody Trapland 2: Curiosity,linux_min_Bloody Trapland 2: Curiosity,linux_min_Bloody Trapland 2: Curiosity,linux_req_Bloody Trapland 2: Curiosity,linux_req_Bloody Trapland 2: Curiosity
операционная система,microsoft windows xp/vista/7/8/10,операционная система,microsoft windows xp/vista/7/8/10,операционная система,os x 10.9,операционная система,os x 10.10,операционная система,ubuntu 12.04,операционная система,ubuntu 14.10
процессор,"intel core 2 duo, 3.0ghz or amd athlon 64 x2 6400+, 3.2ghz",процессор,"intel core i5-3470, 3.20ghz or amd fx-6300, 3.5ghz",процессор,"intel core 2 duo, 3.0ghz",процессор,"intel core i5-3470, 3.20ghz",процессор,"intel core 2 duo, 3.0ghz or amd athlon 64 x2 6400+, 3.2ghz",процессор,"intel core i5-3470, 3.20ghz or amd fx-6300, 3.5ghz"
оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb,оперативная память,4 gb,оперативная память,6 gb
видео карта,"nvidia geforce gtx 260, 512 mb or ati radeon hd 5670, 512 mb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 260, 512 mb or ati radeon hd 5670, 512 mb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 260, 512 mb or ati radeon hd 5670, 512 mb (does not support intel integrated graphics cards)",видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb (does not support intel integrated graphics cards)"
directx,version 9.0c,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb,диск,4 gb,диск,4 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_PAYDAY 2: Scarface Character Pack,windows_min_PAYDAY 2: Scarface Character Pack,windows_req_PAYDAY 2: Scarface Character Pack,windows_req_PAYDAY 2: Scarface Character Pack
операционная система,windows 7,операционная система,windows 10
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia & amd (512mb vram),видео карта,nvidia & amd (1gb vram)
directx,9.0c,directx,9.0c
диск,31 gb hd space,диск,45 gb hd space
,,,
windows_min_Gun Metal,windows_min_Gun Metal
операционная система,windows 98 / 2000 / xp / vista / 7
процессор,900 mhz intel
оперативная память,256 mb
видео карта,64 mb
directx,version 8.0
,
windows_min_POLYWAR,windows_min_POLYWAR
операционная система,all versions from xp and vista
процессор,2ghz
оперативная память,2 gb
,
windows_min_DEAD DOZEN,windows_min_DEAD DOZEN
операционная система,windows 7 and up
процессор,i5 and up
оперативная память,8 gb
видео карта,gtx 770 and up
сеть,широкополосное подключение
,
windows_min_Firefighters 2014,windows_min_Firefighters 2014
операционная система,"mac os x 10.6.8, mac os x 10.7.5, mac os x 10.8.5, mac os x 10.9.3"
процессор,intel quad-core running at 2.4 ghz (intel core i5 is the oldest cpu architectures recommended)
оперативная память,4 gb
видео карта,"ati/nvidia and intel equivalent integrated or mobile graphic card, with at least 512mb of dedicated vram and with at least directx 9.0c and shader model 5.0 support. intel hd4000 or ati/amd 4670 and nvidia gt ...  330m equivalent and above are minimum required graphic cards.  еще"
directx,version 10
диск,5187 mb
,
windows_min_Serial Cleaner,windows_min_Serial Cleaner,macos_min_Serial Cleaner,macos_min_Serial Cleaner,linux_min_Serial Cleaner,linux_min_Serial Cleaner
операционная система,windows 7/8/10,операционная система,mac os x 10.7+,операционная система,"ubuntu 12.04+, steamos+"
процессор,"intel core duo 2 2,5ghz",процессор,"intel core duo 2 2,5ghz",процессор,"intel core duo 2 2,5ghz"
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
