windows_min_VALHALL Tests,windows_min_VALHALL Tests,windows_req_VALHALL Tests,windows_req_VALHALL Tests
процессор,3.0 ghz intel pentium 4 class or amd athlontm 64 3500+
оперативная память,2 gb
видео карта,"256 mb directx 9.0c-compatible (nvidia geforce 6600, ati radeon™ x800"
directx,version 9.0c
диск,3 gb
звуковая карта,16-bit directx 9.0c-compatible sound card
,
windows_min_18+ Madlab for 3D Visual Novel Maker,windows_min_18+ Madlab for 3D Visual Novel Maker
операционная система,windows 7 ( required!!!) it is not working on 32-bit systems!
процессор,intel 2 ghz like i5
оперативная память,8 gb
видео карта,directx compatible video card with at least 4gb vram like gtx 970
,
windows_min_The Sheltered,windows_min_The Sheltered,windows_req_The Sheltered,windows_req_The Sheltered
операционная система,microsoft windows xp / vista / 7 (32-bit/),операционная система,microsoft windows xp / vista / 7 (32-bit/)
процессор,intel pentium 4 2.0 ghz equivalent or faster,процессор,intel pentium 4 2.0 ghz equivalent or faster
оперативная память,512 mb,оперативная память,512 mb
,,,
windows_min_The Incredible Hulk™: The Official Video Game,windows_min_The Incredible Hulk™: The Official Video Game
операционная система,windows 2000/xp
процессор,2.0 ghz intel/amd cpu with sse instruction support
оперативная память,512mb
видео карта,"100% directx 9.0c compatible hardware accelerated video card with pixel and vertex shader version 2.0 support, 128 mb video memory with latest drivers. (intel integrated graphics chips are not officially supported.)"
directx,"directx 9.0c for microsoft windows 2000/xp, directx 9.0l for windows vista"
звуковая карта,100% directx 9.0c compatible 16-bit sound card with latest drivers
диск,1.8 gb free hard disk space
,
windows_min_Van Helsing: Veteran Multiplayer Skin,windows_min_Van Helsing: Veteran Multiplayer Skin,windows_req_Van Helsing: Veteran Multiplayer Skin,windows_req_Van Helsing: Veteran Multiplayer Skin
операционная система,osx 10.6 (snow leopard),операционная система,osx 10.6 (snow leopard)
процессор,dual core cpu 2.0 ghz,процессор,quad core cpu 2.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia 330m, intel hd4000 or amd hd4670",видео карта,nvidia 285m or nvidia 640m or amd hd4870
directx,version 9.0c,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_DC Universe Online™ - Episode 29: Riddled With Crime,windows_min_DC Universe Online™ - Episode 29: Riddled With Crime
операционная система,windows xp 32-bit
процессор,p4 3.0ghz or amd equivalent
оперативная память,1gb
диск,30 gb of free hard drive space
видео карта,nvidia 7800gtx+ or ati 1950+ video card
,
windows_min_Kung Fu Panda Showdown of Legendary Legends,windows_min_Kung Fu Panda Showdown of Legendary Legends,windows_req_Kung Fu Panda Showdown of Legendary Legends,windows_req_Kung Fu Panda Showdown of Legendary Legends
операционная система,"windows xp sp3, windows vista sp1, windows 7",операционная система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативная память,1 gb,оперативная память,2 gb
видео карта,512mb video card using shader model 3 or higher (performance equivalent to an amd radeon 4350 or nvidia geforce 7900),видео карта,1 gb video card using shader model 3 or higher (performance equivalent to an nvidia 9800 )
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Bullets And More VR - BAM VR Demo,windows_min_Bullets And More VR - BAM VR Demo
процессор,"intel i5-4590, amd fx 8350 equivalent"
видео карта,"nvidia geforce gtx 970, amd radeon r9 290 equivalent"
,
windows_min_Tales of Berseria™ - Tales of Legacy Bundle,windows_min_Tales of Berseria™ - Tales of Legacy Bundle,windows_req_Tales of Berseria™ - Tales of Legacy Bundle,windows_req_Tales of Berseria™ - Tales of Legacy Bundle
операционная система,"windows 7, 8, 10 ()",операционная система,w
процессор,"intel core 2 duo e8400 3.0ghz or amd phenom ii x2 550, 3.1ghz",процессор,"intel core i5-750, 2.66ghz or amd phenom ii x4 965, 3.2ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 9800 gtx or amd radeon hd 4850,видео карта,geforce gtx 560 or radeon hd 7870
directx,version 9.0c,directx,version 9.0c
диск,15 gb,диск,15 gb
,,,
windows_min_Monster Hunter: World - Gesture: Passionate,windows_min_Monster Hunter: World - Gesture: Passionate,windows_req_Monster Hunter: World - Gesture: Passionate,windows_req_Monster Hunter: World - Gesture: Passionate
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intel core™ i5-4460, 3.20ghz or amd fx™-6300",процессор,intel core™ i7 3770 3.4ghz or intel core™ i3 8350 4ghz or amd ryzen™ 5 1500x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x (vram 2gb),видео карта,nvidia geforce gtx 1060 (vram 3gb) or amd radeon™ rx 570 (vram 4gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_Light Fall,windows_min_Light Fall,windows_req_Light Fall,windows_req_Light Fall
операционная система,mac os 10.7 lion,операционная система,mac os 10.12 sierra
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 470,видео карта,geforce gtx 570
directx,version 10,directx,version 11
,,,
windows_min_Hellbound: Survival Mode,windows_min_Hellbound: Survival Mode,windows_req_Hellbound: Survival Mode,windows_req_Hellbound: Survival Mode
операционная система,windows 7 and later,операционная система,windows 7 and later
процессор,md phenom ii x4-945 / intel core 2 quad 6600,процессор,amd fx-8320 / intel i5-2400
оперативная память,2 gb,оперативная память,4 gb
видео карта,amd r7 240 gb / nvidia gt 730 2gb / intel hd 530,видео карта,amd r9 290 4gb / nvidia gtx 770 4gb
,,,
windows_min_Children of Colossus,windows_min_Children of Colossus
операционная система,win7
процессор,intel i5 4590
оперативная память,8 gb
видео карта,nvidia gtx 970
directx,version 11
,
windows_min_Call of Duty®: Ghosts - Circuit Pack,windows_min_Call of Duty®: Ghosts - Circuit Pack,windows_req_Call of Duty®: Ghosts - Circuit Pack,windows_req_Call of Duty®: Ghosts - Circuit Pack
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Total War: WARHAMMER - Grey Wizard,windows_min_Total War: WARHAMMER - Grey Wizard,windows_req_Total War: WARHAMMER - Grey Wizard,windows_req_Total War: WARHAMMER - Grey Wizard,macos_min_Total War: WARHAMMER - Grey Wizard,macos_min_Total War: WARHAMMER - Grey Wizard,macos_req_Total War: WARHAMMER - Grey Wizard,macos_req_Total War: WARHAMMER - Grey Wizard,linux_min_Total War: WARHAMMER - Grey Wizard,linux_min_Total War: WARHAMMER - Grey Wizard,linux_req_Total War: WARHAMMER - Grey Wizard,linux_req_Total War: WARHAMMER - Grey Wizard
операционная система,windows 7 64bit,операционная система,windows 7/8.1/10 64bit,операционная система,macos 10.12.4,операционная система,—,операционная система,"ubuntu 16.10, steamos 2.0",операционная система,"ubuntu 16.10, steamos 2.0"
процессор,intel core™ 2 duo 3.0ghz,процессор,intel core™ i5-4570 3.20ghz,процессор,2.0ghz intel core i5,процессор,—,процессор,"3.4ghz intel core i3-4130, 3.5ghz amd fx6300",процессор,3.4 ghz intel core i7-4770
оперативная память,3 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
