windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
процессор,2.0 ghz intel or equal amd-
оперативная память,2 gb
видео карта,512 mb of video memory ati radeon hd 2600 / nvidia geforce 8600 or higher
сеть,широкополосное подключение
,
windows_min_R-Type Dimensions EX,windows_min_R-Type Dimensions EX
операционная система,windows 7/ windows 10 64bit
процессор,intel core i3 2.00ghz
оперативная память,4 gb
видео карта,intel hd graphics 5000
directx,version 11
диск,300 mb
,
windows_min_Fortified,windows_min_Fortified
операционная система,windows 7 or higher
процессор,"dual-core intel or amd, 2.0 ghz cpu"
оперативная память,4 gb
видео карта,1 gb directx 10 compatible video card
directx,version 10
,
windows_min_The Chronicles of Riddick™ Assault on Dark Athena,windows_min_The Chronicles of Riddick™ Assault on Dark Athena
операционная система,"windows xp sp2, vista"
процессор,intel pentium d 805 or amd athlon x2 +3800 (intel core2duo 1.8ghz or amd athlon x2 +5200 recommended)
оперативная память,1gb (2gb vista)
видео карта,ati radeon hd 2600 xt or nvidia geforce 6800 ultra (ati radeon hd 3850 or nvidia geforce 8800gt recommended)
диск,11 gb free
звуковая карта,directx 9.0c-compatible
мультиплеер,lan with tcp/ip protocol or established internet connection (dsl or cable required)
устройства ввода,"keyboard, mouse or dual-analog gamepad"
,
windows_min_Pro Wrestling X,windows_min_Pro Wrestling X,windows_req_Pro Wrestling X,windows_req_Pro Wrestling X,macos_min_Pro Wrestling X,macos_min_Pro Wrestling X,macos_req_Pro Wrestling X,macos_req_Pro Wrestling X,linux_min_Pro Wrestling X,linux_min_Pro Wrestling X,linux_req_Pro Wrestling X,linux_req_Pro Wrestling X
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/windows 7 or 8,операционная система,mac osx 10.8 or higher,операционная система,mac osx 10.8 or higher,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core,процессор,2.4ghz intel core i5,процессор,2.66ghz intel core i7,процессор,2.4ghz intel core 2 duo,процессор,intel i5 series or equivalen
оперативная память,1 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia geforce 8800 / ati radeon hd 2600 (256mb minimum),видео карта,nvidia geforce gtx460 / ati radeon hd 5850 (512mb minimum),видео карта,nvidia geforce gt 300 series or radeon equivalent,видео карта,nvidia geforce gt 400 series or radeon equivalent,видео карта,nvidia 260 gts or radeon hd 4850 - 512 mb of vram,видео карта,nvidia 460 gtx / radeon 5770 - 1 gb of vram
directx,version 9.0c,directx,version 9.0c,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,100 mb,диск,500 mb,,,,,,,,
,,,,,,,,,,,
windows_min_LifeZ - Survival,windows_min_LifeZ - Survival
операционная система,ubuntu 12.04 lts
процессор,core 2 duo
оперативная память,1024 mb
видео карта,hd 5xxx series
directx,version 9.0c
диск,1024 mb
,
windows_min_Zombie Tycoon 2: Brainhov's Revenge,windows_min_Zombie Tycoon 2: Brainhov's Revenge,windows_req_Zombie Tycoon 2: Brainhov's Revenge,windows_req_Zombie Tycoon 2: Brainhov's Revenge
операционная система,windows xp 32 or s / win vista / win 7 / win 8,операционная система,windows xp 32 or s / win vista / win 7 / win 8
