windows_min_Hitman: Absolution™,windows_min_Hitman: Absolution™,windows_req_Hitman: Absolution™,windows_req_Hitman: Absolution™
процессор,intel core i5-6600 (3.3ghz) or amd ryzen 5 1400 (3.2ghz),процессор,intel core i7-8700 (3.2ghz) or amd ryzen 5 3600 (3.6 ghz)
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb or amd radeon rx 470 4gb,видео карта,nvidia geforce 1080 ti or amd radeon rx 5700 xt or intel arc a770
directx,version 12,directx,version 12
диск,85 gb,диск,85 gb
,,,
windows_min_Hurtworld,windows_min_Hurtworld,windows_req_Hurtworld,windows_req_Hurtworld
операционная система,os x lion 10.7,операционная система,os x mavericks
процессор,2 ghz,процессор,3 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 460 / radeon hd 5850/intel hd 4600 with at least 1024 mb video,видео карта,geforce 660 / radeon hd 6970
directx,version 9.0c,directx,version 11
диск,2 gb,диск,4 gb
,,,
windows_min_Mirror's Edge™,windows_min_Mirror's Edge™
операционная система,microsoft windows xp sp2 or vista
процессор,3.0 ghz or faster
оперативная память,1 gb or more
видео карта,"directx 9.0c compatible video card, shader model 3.0 required. video card must have 256 mb, nvidia geforce 6800"
диск,8 gb free space
,
windows_min_Battlefield 4™,windows_min_Battlefield 4™,windows_req_Battlefield 4™,windows_req_Battlefield 4™
операционная система,windows 8 32-bit,операционная система,windows 8
процессор,(amd): athlon x2 2.8 ghz (intel): core 2 duo 2.4 ghz,процессор,(amd): six-core cpu (intel): quad-core cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card (amd): amd radeon hd 3870 graphics card (nvidia): nvidia geforce 8800 gt,видео карта,graphics card (amd): amd radeon hd 7870 graphics card (nvidia): nvidia geforce gtx 660
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Call of Duty®: WWII,windows_min_Call of Duty®: WWII
операционная система,windows 7
процессор,cpu: intel core™ i3 3225 3.3 ghz or amd ryzen™ 5 1400
оперативная память,8 gb
видео карта,nvidia geforce gtx 660 @ 2 gb / gtx 1050 or ati radeon™ hd 7850 @ 2gb / amd rx 550
directx,version 11
сеть,широкополосное подключение
диск,90 gb
,
windows_min_Men of War: Assault Squad 2,windows_min_Men of War: Assault Squad 2
операционная система,"64bit - windows 7, 8, 10"
процессор,"4.0 ghz single-core, 2.0 ghz dual-core or higher"
оперативная память,4 gb
видео карта,directx 11 compatible
directx,version 11
диск,6 gb
,
windows_min_Batman: Arkham Asylum Game of the Year Edition,windows_min_Batman: Arkham Asylum Game of the Year Edition
операционная система,mac os x 10.10.3
процессор,2.4 ghz
оперативная память,8 gb
видео карта,pci express sm3 nvidia 6600/ ati 1300
directx,9
диск,10 gb
звуковая карта,any onboard sound card
video memory,1gb
,
windows_min_Resident Evil 6,windows_min_Resident Evil 6,windows_req_Resident Evil 6,windows_req_Resident Evil 6
операционная система,"windows vista/xp, windows 7, windows 8",операционная система,"windows vista/xp, windows 7, windows 8"
процессор,"intel coretm2 duo 2.4 ghz, amd athlontm x2 2.8 ghz",процессор,"intel coretm2 quad 2.7 ghz, amd phenomtm ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gts,видео карта,nvidia geforce gtx 560
directx,9.0c,directx,9.0c
диск,16 gb hd space,диск,16 gb hd space
звуковая карта,standard audio device,звуковая карта,standard audio device
,,,
windows_min_NARUTO TO BORUTO: SHINOBI STRIKER,windows_min_NARUTO TO BORUTO: SHINOBI STRIKER,windows_req_NARUTO TO BORUTO: SHINOBI STRIKER,windows_req_NARUTO TO BORUTO: SHINOBI STRIKER
операционная система,windows 7/8.1/10,операционная система,windows 7/8.1/10
процессор,intel core i3-8350k,процессор,intel core i5-2500k @ 3.30ghz / amd fx-6300 six-core
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 640,видео карта,amd radeon r9 270x / r7 265 2 gb / nvidia geforce gtx 660 2 gb
