windows_min_Retrowave Drift,windows_min_Retrowave Drift,windows_req_Retrowave Drift,windows_req_Retrowave Drift
windows_min_Rekt: Crash Test,windows_min_Rekt: Crash Test
операционная система,windows 7 / 8 / 10
процессор,"intel core 2 duo or amd, 2,4ghz or faster"
оперативная память,4 gb
видео карта,nvidia geforce gtx 560ti or amd radeon hd 7850
,
windows_min_The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-,windows_min_The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-,windows_req_The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-,windows_req_The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-
операционная система,windows 10,операционная система,windows 10
процессор,core i3-3220,процессор,ryzen 5 1400
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 650 ti,видео карта,radeon r7 370
directx,version 11,directx,version 11
диск,15 gb,диск,15 gb
,,,
windows_min_Combat Arms: Reloaded,windows_min_Combat Arms: Reloaded,windows_req_Combat Arms: Reloaded,windows_req_Combat Arms: Reloaded
операционная система,windows 10,операционная система,windows 10
процессор,pentium4 - 2.4ghz+,процессор,intel core i5 2500+
оперативная память,1 gb,оперативная память,8 gb
видео карта,geforce fx 5600,видео карта,geforce gtx 970/ amd radeon rx 480
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Stranded,windows_min_Stranded
операционная система,linux kernel
процессор,x86-64
оперативная память,200 mb
видео карта,nvidia geforce series
directx,version 11
диск,200 mb
,
windows_min_The Adventures of John Killbot,windows_min_The Adventures of John Killbot
операционная система,windows 10
процессор,i5 recommended
оперативная память,8 gb
диск,650 mb
,
windows_min_Titanfall­™,windows_min_Titanfall­™,windows_req_Titanfall­™,windows_req_Titanfall­™
операционная система,", windows 7 sp1",операционная система,windows 8
процессор,amd athlon x2 2.8ghz,процессор,intel core 2 duo 2.4ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,amd radeon hd 4770 with 512mb,видео карта,nvidia geforce 8800gt with 512mb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Happy New Hentai,windows_min_Happy New Hentai
операционная система,"windows xp, 7, 8, 10"
процессор,2.0 ghz dual core
оперативная память,1 gb
видео карта,any
диск,200 mb
,
windows_min_Pecaminosa - A Pixel Noir Game,windows_min_Pecaminosa - A Pixel Noir Game
операционная система,ubuntu
процессор,intel core i3
оперативная память,2 gb
видео карта,radeon rx 550
,
windows_min_SuchArt: Creative Space,windows_min_SuchArt: Creative Space
операционная система,windows 7/8/10
процессор,intel core i5-2400 @ 3.1 ghz or amd fx-6300 @ 3.5 ghz
оперативная память,4 gb
видео карта,geforce 9600 gt or amd hd 3870 512mb or higher
,
windows_min_Fight of Animals: Arena,windows_min_Fight of Animals: Arena,windows_req_Fight of Animals: Arena,windows_req_Fight of Animals: Arena
операционная система,windows 7 ( versions required),операционная система,windows 7 ( versions required)
процессор,i5-4460,процессор,i7-4790
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 750,видео карта,geforce gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,600 mb,диск,1 gb
,,,
windows_min_G.I. Joe: Operation Blackout,windows_min_G.I. Joe: Operation Blackout,windows_req_G.I. Joe: Operation Blackout,windows_req_G.I. Joe: Operation Blackout
операционная система,windows 7/8.1/10,операционная система,windows 10
процессор,core i5 3.5 ghz,процессор,core i7 3.5 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660,видео карта,nvidia geforce gtx 780
directx,version 12,directx,version 12
,,,
windows_min_Mad Devils,windows_min_Mad Devils,windows_req_Mad Devils,windows_req_Mad Devils
операционная система,"windows 7, 8, windows 10 ()",операционная система,"windows 7, 8, windows 10 ()"
процессор,amd fx-8320 (3.5 ghz) / intel i5-4690k (3.5 ghz),процессор,intel core i7-3930k (3.2 ghz)/amd ryzen 5 1600 (3.2 ghz)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Spellbreak,windows_min_Spellbreak,windows_req_Spellbreak,windows_req_Spellbreak
операционная система,windows 10,операционная система,windows 10
процессор,intel(r) core(tm) i5-6400 cpu @ 2.70ghz (4 cpus),процессор,intel(r) core(tm) i5-6400 cpu @ 2.70ghz (4 cpus)
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 640 / radeon r7 gpu,видео карта,nvidia geforce gt 640 / radeon r7 gpu
,,,
windows_min_Dance Waifu,windows_min_Dance Waifu
операционная система,"windows xp, 7, 8, 10"
процессор,2.0 ghz dual core
оперативная память,4 gb
видео карта,geforce gtx 460 or radeon hd 5850
диск,350 mb
,
windows_min_NOMAD,windows_min_NOMAD
операционная система,windows 7 sp1+
процессор,sse2 instruction set support
видео карта,graphics card with dx10 (shader model 4.0) capabilities
,
windows_min_Soul Dossier,windows_min_Soul Dossier,windows_req_Soul Dossier,windows_req_Soul Dossier
операционная система,"windows 7, windows 8.1,windows10",операционная система,"windows 7, windows 8.1,windows10"
