windows_min_Serious Sam VR: The First Encounter,windows_min_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter
процессор,intel core i5 4570r,процессор,intel core i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,"1280720; intel hd 5000, intel iris 5100",видео карта,nvidia geforce gt 750m
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,64 gb,диск,65 gb
звуковая карта,directx 11,звуковая карта,directx 11.1
,,,
windows_min_Blade Assault,windows_min_Blade Assault
операционная система,windows 7+
процессор,intel i5+
видео карта,nvidia gtx 460 / radeon hd 7800
directx,version 10
,
windows_min_Rabbit Burn,windows_min_Rabbit Burn
операционная система,"windows 7, 8, 8.1, 10 64bit"
процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon r9 285 series card or higher
directx,version 11
сеть,широкополосное подключение
диск,2 gb
звуковая карта,integrated sound chip
,
windows_min_River City Girls 2,windows_min_River City Girls 2,windows_req_River City Girls 2,windows_req_River City Girls 2
операционная система,windows 10,операционная система,windows 10
процессор,intel(r) core 2 duo e7500,процессор,amd phenom(tm) ii x6 1035t @3100 mhz / intel(r) core(tm) i7 3770 @3400 mhz or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750,видео карта,amd radeon hd 7800 series / nvidia gtx 950 or higher
directx,version 11,directx,version 11
,,,
windows_min_Maid of Sker,windows_min_Maid of Sker,windows_req_Maid of Sker,windows_req_Maid of Sker
операционная система,os x 10.9,операционная система,—
процессор,core i3 2.4ghz,процессор,—
оперативная память,8 mb,оперативная память,—
видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,—
directx,version 11,directx,version 11
,,,
windows_min_A-Tech Cybernetic VR,windows_min_A-Tech Cybernetic VR,windows_req_A-Tech Cybernetic VR,windows_req_A-Tech Cybernetic VR
операционная система,windows 7 -,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1070
диск,6 gb,диск,6 gb
vr support,steamvr or oculus pc. standing or room scale,vr support,—
,,,
"windows_min_Slice, Dice & Rice","windows_min_Slice, Dice & Rice","windows_req_Slice, Dice & Rice","windows_req_Slice, Dice & Rice"
операционная система,windows vista / 7 / 8 / 8.1,операционная система,windows vista / 7 / 8 / 8.1
процессор,core 2 duo 2.4 ghz,процессор,core 2 duo 2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 9800 gt with 512 mb (directx 10),видео карта,vidia geforce gtx660 with 1 gb (directx 11)
,,,
windows_min_SHOGUN: Total War™ - Collection,windows_min_SHOGUN: Total War™ - Collection,windows_req_SHOGUN: Total War™ - Collection,windows_req_SHOGUN: Total War™ - Collection
операционная система,"windows xp, vista, or windows 7",операционная система,"windows xp, vista, or windows 7, windows 8"
процессор,1 ghz or faster,процессор,1 gigahertz (ghz) or faster 32-bit (x86) or (x64)
оперативная память,512 mb,оперативная память,2 gb
видео карта,directx 9 graphic card,видео карта,directx 9 graphics device with wddm 1.0 or higher driver
directx,version 9.0,directx,version 9.0
диск,955 mb,диск,2 gb
,,,
windows_min_DARIUSBURST Chronicle Saviours,windows_min_DARIUSBURST Chronicle Saviours,windows_req_DARIUSBURST Chronicle Saviours,windows_req_DARIUSBURST Chronicle Saviours
операционная система,windows vista/7/8.1/10,операционная система,—
процессор,core 2 duo e6400,процессор,—
видео карта,"shader model 2.0 compatible, geforce 8600gt",видео карта,"shader model 2.0 compatible, geforce gt260x"
directx,version 9.0c,directx,—
диск,1800 mb,диск,—
звуковая карта,directsound-compatible sound card,звуковая карта,—
,,,
windows_min_Magicmaker,windows_min_Magicmaker
операционная система,windows 10
оперативная память,1 gb
видео карта,dedicated graphics card (does not support integrated graphics)
,
windows_min_GOAT OF DUTY,windows_min_GOAT OF DUTY,windows_req_GOAT OF DUTY,windows_req_GOAT OF DUTY
операционная система,windows 7,операционная система,windows 10
процессор,i3 2.6ghz,процессор,i7 3.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel graphics pro 580 (),видео карта,gtx 1050ti
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
