windows_min_The Godfather 2,windows_min_The Godfather 2
операционна€ система,windows xp or higher
windows_min_Call of DutyЃ: Advanced Warfare - Netherlands Exoskeleton Pack,windows_min_Call of DutyЃ: Advanced Warfare - Netherlands Exoskeleton Pack
операционна€ система,windows 7 / windows 8 / windows 8.1
процессор,intel coreЩ i3-530 @ 2.93 ghz / amd phenomЩ ii x4 810 @ 2.60 ghz
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звукова€ карта,directx compatible
,
windows_min_Ironsight - Enhanced Trinitium Pack,windows_min_Ironsight - Enhanced Trinitium Pack,windows_req_Ironsight - Enhanced Trinitium Pack,windows_req_Ironsight - Enhanced Trinitium Pack
операционна€ система,windows 7,операционна€ система,windows 7 or above
процессор,intel coreЩ2 duo e7500,процессор,intel coreЩ i5
оперативна€ пам€ть,4 mb,оперативна€ пам€ть,8 mb
видео карта,nvidia geforce 9600 gt,видео карта,nvidia geforce gtx 650
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_BLACK CLOVER: QUARTET KNIGHTS Royal Magic Knight Set - Red,windows_min_BLACK CLOVER: QUARTET KNIGHTS Royal Magic Knight Set - Red,windows_req_BLACK CLOVER: QUARTET KNIGHTS Royal Magic Knight Set - Red,windows_req_BLACK CLOVER: QUARTET KNIGHTS Royal Magic Knight Set - Red
операционна€ система,windows 7,операционна€ система,windows 10
процессор,amd phenom ii x4 945 or intel core i3-2100,процессор,amd a12-9800 or intel core i5-2300
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,radeon vega 8 or intel iris pro 580,видео карта,radeon hd 7870 or geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_FPSBois,windows_min_FPSBois
операционна€ система,windows 10
процессор,intel core i3
оперативна€ пам€ть,2 gb
видео карта,geforce gtx 460
,
windows_min_Ninja Pizza Girl,windows_min_Ninja Pizza Girl,windows_req_Ninja Pizza Girl,windows_req_Ninja Pizza Girl,macos_min_Ninja Pizza Girl,macos_min_Ninja Pizza Girl,macos_req_Ninja Pizza Girl,macos_req_Ninja Pizza Girl,linux_min_Ninja Pizza Girl,linux_min_Ninja Pizza Girl,linux_req_Ninja Pizza Girl,linux_req_Ninja Pizza Girl
операционна€ система,windows xp+,операционна€ система,windows xp+,операционна€ система,mac os x 10.7+,операционна€ система,mac os x 10.7+,операционна€ система,"ubuntu 10.10+, steamos+",операционна€ система,"ubuntu 10.10+, steamos+"
процессор,core 2 duo,процессор,core i5,процессор,core 2 duo,процессор,core i5,процессор,core 2 duo,процессор,core i5
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,dx9 compatible. anything made since 2004 should work.,видео карта,nvidia geforce gtx 460 or amd radeon hd6850,видео карта,dx9 compatible. anything made since 2004 should work.,видео карта,nvidia geforce gtx 460 or amd radeon hd6850,видео карта,dx9 compatible. anything made since 2004 should work.,видео карта,nvidia geforce gtx 460 or amd radeon hd6850
directx,version 9.0,directx,version 9.0,диск,1800 mb,диск,1800 mb,диск,1800 mb,диск,1800 mb
,,,,,,,,,,,
windows_min_Sniper Elite 4 - Deathstorm Part 3: Obliteration,windows_min_Sniper Elite 4 - Deathstorm Part 3: Obliteration,windows_req_Sniper Elite 4 - Deathstorm Part 3: Obliteration,windows_req_Sniper Elite 4 - Deathstorm Part 3: Obliteration
операционна€ система,windows 7 windows 8.1 or windows 10,операционна€ система,windows 7 windows 8.1 or windows 10
процессор,intel cpu core i3-2100 or amd equivalent,процессор,intel cpu core i7-3770 or amd equivalent
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
,,,
windows_min_AssassinТs CreedЃ IV Black FlagЩ Ц Guild of Rogues,windows_min_AssassinТs CreedЃ IV Black FlagЩ Ц Guild of Rogues,windows_req_AssassinТs CreedЃ IV Black FlagЩ Ц Guild of Rogues,windows_req_AssassinТs CreedЃ IV Black FlagЩ Ц Guild of Rogues
операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions),операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions)
процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz,процессор,intel core i5 2400s @ 2.5 ghz or amd phenom ii x4 940 @ 3.0 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 260 or amd radeon hd 4870 (512mb vram with shader model 4.0 or higher),видео карта,nvidia geforce gtx 470 or amd radeon hd 5850 (1024mb vram with shader model 5.0)
диск,30 gb,диск,30 gb
звукова€ карта,directx compatible sound card with latest drivers,звукова€ карта,directx compatible sound card with latest drivers
,,,
windows_min_Blade & Bones,windows_min_Blade & Bones,windows_req_Blade & Bones,windows_req_Blade & Bones
операционна€ система,windows 7 - s,операционна€ система,windows 7 - s
процессор,core i3 3220 / x4 945,процессор,i3-6100 / fx-8300
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,gtx 560 / ati radeon hd 6870,видео карта,gtx 960 / r9 380
directx,version 10,directx,version 11
,,,
windows_min_Devil May Cry 5 - 1 Blue Orb,windows_min_Devil May Cry 5 - 1 Blue Orb,windows_req_Devil May Cry 5 - 1 Blue Orb,windows_req_Devil May Cry 5 - 1 Blue Orb
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,"intel coreЩ i5-4460, amd fxЩ-6300,",процессор,"intel coreЩ i7-3770, amd fxЩ-9590,"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeonЩ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_War Thunder - T29 Pack,windows_min_War Thunder - T29 Pack,windows_req_War Thunder - T29 Pack,windows_req_War Thunder - T29 Pack,macos_min_War Thunder - T29 Pack,macos_min_War Thunder - T29 Pack,macos_req_War Thunder - T29 Pack,macos_req_War Thunder - T29 Pack,linux_min_War Thunder - T29 Pack,linux_min_War Thunder - T29 Pack,linux_req_War Thunder - T29 Pack,linux_req_War Thunder - T29 Pack
операционна€ система,windows vista/7/8/10,операционна€ система,windows 7 64bit / 8 64bit / 10 64bit,операционна€ система,sierra 10.12,операционна€ система,sierra 10.12,операционна€ система,"most modern 64bit linux distributions, steamos",операционна€ система,"ubuntu 14.04 64bit, steamos"
процессор,"2,2 ghz",процессор,intel core i5,процессор,dual-core 2.4 ghz (xeon s not supported),процессор,intel core i7 (xeon s not supported),процессор,dual-core 2.4 ghz,процессор,intel core i7
оперативна€ пам€ть,4gb (windows vista/7/8/10),оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,intel hd graphics 4000 / amd radeon 46xx / nvidia geforce gt 520 (the minimum supported resolution for the game is 720p),видео карта,"nvidia geforce gtx 650 or higher, amd radeon series 77xx or higher",видео карта,intel 4000 hd/radeon hd 5550 / geforce 8800,видео карта,nvidia geforce gtx 680m or higher,видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months; the minimum supported resolution for the game is 720p),видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months)
диск,8.46 gb hd space,диск,21 gb hd space,диск,8.61 gb hd space,диск,22.65 gb hd space,диск,8.6 gb hd space,диск,22.6 gb hd space
,,,,,,,,,,,
windows_min_Tannenberg - Supporter Edition Upgrade,windows_min_Tannenberg - Supporter Edition Upgrade,windows_req_Tannenberg - Supporter Edition Upgrade,windows_req_Tannenberg - Supporter Edition Upgrade,macos_min_Tannenberg - Supporter Edition Upgrade,macos_min_Tannenberg - Supporter Edition Upgrade,macos_req_Tannenberg - Supporter Edition Upgrade,macos_req_Tannenberg - Supporter Edition Upgrade,linux_min_Tannenberg - Supporter Edition Upgrade,linux_min_Tannenberg - Supporter Edition Upgrade,linux_req_Tannenberg - Supporter Edition Upgrade,linux_req_Tannenberg - Supporter Edition Upgrade
операционна€ система,windows vista/7/8/10,операционна€ система,windows 10,операционна€ система,10.8,операционна€ система,Ч,операционна€ система,ubuntu 12.04,операционна€ система,Ч
процессор,intel core2 duo 2.4ghz or higher / amd 3ghz or higher,процессор,Ч,процессор,intel core2 duo 2.4ghz or higher / amd 3ghz or higher,процессор,Ч,процессор,intel core2 duo 2.4ghz or higher / amd 3ghz or higher,процессор,Ч
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 mb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
