windows_min_The Dark Occult,windows_min_The Dark Occult,windows_req_The Dark Occult,windows_req_The Dark Occult
windows_min_Faces of War,windows_min_Faces of War,windows_req_Faces of War,windows_req_Faces of War
операционная система,windows 2000/xp/7/8,операционная система,windows 2000/xp/7/8
процессор,2 ghz pentium iv or amd athlon (3 ghz pentium iv or amd recommended),процессор,2 ghz pentium iv or amd athlon (3 ghz pentium iv or amd recommended)
оперативная память,512 mb,оперативная память,1 gb
видео карта,nvidia geforce™ 3 / 4/fx/6/7 series (geforce 4 mx not supported). laptop version of these chipsets may work but are not supported.,видео карта,nvidia geforce™ 3 / 4/fx/6/7 series (geforce 4 mx not supported). laptop version of these chipsets may work but are not supported.
диск,3 gb,диск,3 gb
звуковая карта,directx 9.0c compliant sound card,звуковая карта,directx 9.0c compliant sound card
,,,
windows_min_Frederic: Resurrection of Music,windows_min_Frederic: Resurrection of Music,macos_min_Frederic: Resurrection of Music,macos_min_Frederic: Resurrection of Music,linux_min_Frederic: Resurrection of Music,linux_min_Frederic: Resurrection of Music
операционная система,windows 7,операционная система,osx 10,операционная система,ubuntu 12.4
процессор,dual core from intel or amd at 2.8 ghz,процессор,intel dual core,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia geforce 7800, ati/amd radeaon hd2600 / 3600",видео карта,"nvidia 320m or higher, or radeon 7000 or higher, or intel hd 3000 or higher",диск,2 gb
,,,,,
windows_min_GET EVEN,windows_min_GET EVEN,windows_req_GET EVEN,windows_req_GET EVEN
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 3770 3.4 ghz / amd cpu amd fx-8350 4 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gpu geforce gtx 660 / amd gpu radeon hd 7870,видео карта,"amd radeon rx 480, nvidia geforce gtx 970"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_VCB: Why City 4k,windows_min_VCB: Why City 4k,windows_req_VCB: Why City 4k,windows_req_VCB: Why City 4k
операционная система,microsoft windows 7,операционная система,microsoft windows 7
процессор,1.9 ghz intel core 2 duo-equivalent or higher,процессор,2.4 ghz intel i3-equivalent or higher
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,nvidia geforce 9800 gt or similar amd radeon,видео карта,nvidia geforce gtx 460 or similar amd radeon
directx,version 9.0,directx,version 9.0
диск,800 mb,диск,800 mb
,,,
windows_min_FootLOL: Epic Soccer League,windows_min_FootLOL: Epic Soccer League,windows_req_FootLOL: Epic Soccer League,windows_req_FootLOL: Epic Soccer League
операционная система,windows xp/windows vista/windows 7/windows 8,операционная система,windows xp/windows vista/windows 7/windows 8
процессор,1.6 ghz,процессор,3 ghz
оперативная память,1024 mb,оперативная память,2048 mb
directx,version 9.0,directx,version 9.0
,,,
windows_min_Blood Omen 2: Legacy of Kain,windows_min_Blood Omen 2: Legacy of Kain
операционная система,windows xp / windows vista / windows 7
процессор,1.8 ghz
оперативная память,512 mb
видео карта,3d graphics card compatible with directx 7 (compatible with directx 9 recommended)
directx,version 7.0
,
windows_min_Kings and Heroes,windows_min_Kings and Heroes,windows_req_Kings and Heroes,windows_req_Kings and Heroes
операционная система,"windows 7 service pack 1, or windows 8",операционная система,windows 10
процессор,2 ghz dual-core cpu,процессор,2.5 ghz quad-core cpu
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 with 2 gb video,видео карта,nvidia gtx 770 with 2+ gb video
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Onechanbara Z2: Chaos,windows_min_Onechanbara Z2: Chaos,windows_req_Onechanbara Z2: Chaos,windows_req_Onechanbara Z2: Chaos
операционная система,windows 7 sp1 / 8 / 8.1 /10 (64bit),операционная система,windows 7 sp1 / 8 / 8.1 /10 (64bit)
процессор,intelr core i3-4130 / amd fx-4170 quad-core,процессор,intelr core i5-4670 / amd fx-8350 eight-core
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 / radeon r7 370 (1gb vram),видео карта,nvidia geforce gtx 750 / radeon r9 280 (1gb vram)
directx,version 11,directx,version 11
диск,10 gb,диск,12 gb
,,,
windows_min_Hentai Vs Furries,windows_min_Hentai Vs Furries,windows_req_Hentai Vs Furries,windows_req_Hentai Vs Furries
операционная система,"windows 7 sp1, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,2ghz,процессор,inte i3
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 or amd r9 270,видео карта,nvidia geforce gtx 750 ti or amd r9 280x
сеть,широкополосное подключение,сеть,—
,,,
windows_min_STAR WARS™ Jedi Knight - Mysteries of the Sith™,windows_min_STAR WARS™ Jedi Knight - Mysteries of the Sith™
операционная система,"windows 2000, xp or vista"
процессор,pentium 90
оперативная память,16mb
видео карта,directx
directx,directx 5.2
диск,400mb
звуковая карта,16-bit sound card
,
windows_min_Rayman Raving Rabbids™,windows_min_Rayman Raving Rabbids™
операционная система,microsoft windows xp (only)
процессор,intel pentium iv 1.0 ghz or amd athlon s (2.5 ghz recommended)
system memory,256 mb of or above (512 mb recommended)
видео карта,64 mb directx 8.1-compliant video card (128 mb video card recommended)(*see supported list)
звуковая карта,direct x 8.1-compliant sound card
directx,directx version 9.0c or higher
диск,1.5 gb available hard disk space
supported peripherals,"keyboard and mouse, windows-compatible gamepads"
,
windows_min_Ys IX: Monstrum Nox,windows_min_Ys IX: Monstrum Nox,windows_req_Ys IX: Monstrum Nox,windows_req_Ys IX: Monstrum Nox
операционная система,windows 10/8.1,операционная система,windows 10/8.1
процессор,core i3-2100 3.10 ghz,процессор,amd fx-8320 8-core
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 650 ti,видео карта,radeon r7 370
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Dark Deception,windows_min_Dark Deception,windows_req_Dark Deception,windows_req_Dark Deception
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, or windows 10"
процессор,intel core i5-4330 / amd fx-6300,процессор,intel corei5-6600k/ amd ryzen 5 1600
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 3gb/ amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 2070 8gb/ amd radeon rx 5700 xt 8gb
directx,version 11,directx,version 11
диск,1 gb,диск,1 gb
,,,
