windows_min_Bout,windows_min_Bout
,
windows_min_Bloodied Fear,windows_min_Bloodied Fear,windows_req_Bloodied Fear,windows_req_Bloodied Fear
операционная система,windows 7+
процессор,intel i3+
оперативная память,2 gb
,
windows_min_THORN DEMON HUNTER,windows_min_THORN DEMON HUNTER,windows_req_THORN DEMON HUNTER,windows_req_THORN DEMON HUNTER
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core2 duo and 2.0ghz,процессор,intel core2 duo and 2.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu
,,,
windows_min_HyperNova,windows_min_HyperNova
операционная система,macos 11.0 big sur
процессор,2.4ghz cpu quad core
оперативная память,8 gb
видео карта,geforce gtx 750
directx,version 11
,
windows_min_The Horror Story: Remastered - The Prequel,windows_min_The Horror Story: Remastered - The Prequel
операционная система,windows 10 ()
процессор,intel core™ i7-8700 cpu @ 3.70ghz or higher
оперативная память,12 mb
видео карта,nvidia geforce gtx 1060 @ 3gb or higher
диск,888.5 mb
,
windows_min_Kokoro Ultimate,windows_min_Kokoro Ultimate
операционная система,windows 7 / windows 10
процессор,amd phenom ii x4 965 or amd ryzen™ 3 1200
оперативная память,8 gb
видео карта,nvidia geforce™ gtx 760
,
windows_min_K3LVN,windows_min_K3LVN
операционная система,macos catalina
процессор,intel core i7 - 2.6ghz
оперативная память,16 gb
видео карта,radeon pro 560x
directx,version 12
,
windows_min_LettersFall 110%™ - 100% FREE Word Game!,windows_min_LettersFall 110%™ - 100% FREE Word Game!,windows_req_LettersFall 110%™ - 100% FREE Word Game!,windows_req_LettersFall 110%™ - 100% FREE Word Game!
операционная система,linux (steam play proton),операционная система,linux (steam play proton)
процессор,процессор,процессор,процессор
оперативная память,1 gb,оперативная память,1 gb
видео карта,any,видео карта,any
диск,35 mb,диск,35 mb
,,,
windows_min_Boot & Shoot,windows_min_Boot & Shoot
операционная система,windows 7
оперативная память,4 gb
видео карта,1gb
directx,version 10
,
windows_min_Orbit VR,windows_min_Orbit VR,windows_req_Orbit VR,windows_req_Orbit VR
операционная система,windows 7,операционная система,windows 10
процессор,i5 4590,процессор,ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Anna VS the A.I.maze,windows_min_Anna VS the A.I.maze,windows_req_Anna VS the A.I.maze,windows_req_Anna VS the A.I.maze
операционная система,macos 12.0 monterey,операционная система,macos 12.0 monterey
процессор,m1,процессор,m1
оперативная память,8 gb,оперативная память,8 gb
видео карта,m1,видео карта,m1
,,,
windows_min_The Night of the Scissors,windows_min_The Night of the Scissors,windows_req_The Night of the Scissors,windows_req_The Night of the Scissors,macos_min_The Night of the Scissors,macos_min_The Night of the Scissors,macos_req_The Night of the Scissors,macos_req_The Night of the Scissors,linux_min_The Night of the Scissors,linux_min_The Night of the Scissors,linux_req_The Night of the Scissors,linux_req_The Night of the Scissors
операционная система,windows 7,операционная система,windows 10,операционная система,macos,операционная система,macos,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2.4ghz dual core,процессор,2.4 ghz quad core,процессор,2.2ghz dual core,процессор,2.4 ghz intel core i3,процессор,2.4ghz dual core,процессор,2.4ghz dual core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 9800gt,видео карта,geforce gtx 460,видео карта,512mb vram,видео карта,1gb vram,видео карта,geforce 9800gt,видео карта,geforce gtx 460
,,,,,,,,,,,
