видео карта,"256mb video memory, capable of shader model 2"
,
windows_min_Princess Remedy 2: In A Heap of Trouble,windows_min_Princess Remedy 2: In A Heap of Trouble,macos_min_Princess Remedy 2: In A Heap of Trouble,macos_min_Princess Remedy 2: In A Heap of Trouble,linux_min_Princess Remedy 2: In A Heap of Trouble,linux_min_Princess Remedy 2: In A Heap of Trouble
операционная система,windows 7,операционная система,mac os x 10.8,операционная система,ubuntu 12.04
процессор,sse2 instruction set support,процессор,sse2 instruction set support,процессор,sse2 instruction set support
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,dx9 (shader model 3.0),видео карта,shader model 3.0,видео карта,shader model 3.0
,,,,,
windows_min_BLUE REVOLVER,windows_min_BLUE REVOLVER,macos_min_BLUE REVOLVER,macos_min_BLUE REVOLVER,linux_min_BLUE REVOLVER,linux_min_BLUE REVOLVER
операционная система,xp or above,операционная система,os x 10.7+ ( only),операционная система,ubuntu 14.04 – 16.04
процессор,1.6 ghz,процессор,1.6 ghz,процессор,1.6 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,opengl 2.1,видео карта,opengl 2.1,видео карта,opengl 2.1
диск,1 gb,диск,1 gb,диск,1 gb
звуковая карта,n/a,звуковая карта,n/a,звуковая карта,n/a
,,,,,
windows_min_Supraball,windows_min_Supraball
операционная система,windows 7
процессор,intel core2duo 2.66ghz
оперативная память,2 gb
видео карта,geforce gtx 500 series (does not work with intel hd graphics!!)
directx,version 9.0
диск,1000 mb
,
windows_min_Shovel Knight: Specter of Torment,windows_min_Shovel Knight: Specter of Torment,macos_min_Shovel Knight: Specter of Torment,macos_min_Shovel Knight: Specter of Torment,linux_min_Shovel Knight: Specter of Torment,linux_min_Shovel Knight: Specter of Torment
операционная система,windows 7,операционная система,compatible up to 10.15.17 catalina,операционная система,ubuntu 12.04
процессор,intel core 2 duo 2.1 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel core 2 duo 2.1 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb"
directx,version 9.0,диск,250 mb,диск,250 mb
,,,,,
windows_min_No Heroes Here,windows_min_No Heroes Here
операционная система,mac os x 10.7 - lion
процессор,2.5 ghz intel core 2 duo
оперативная память,2 mb
видео карта,512 mb
directx,version 10
диск,2 mb
,
windows_min_Darkstone,windows_min_Darkstone
операционная система,windows xp / vista™ / windows 7 /8
процессор,"2,4 ghz cpu"
оперативная память,1 gb
,
windows_min_Anomaly 2,windows_min_Anomaly 2,windows_req_Anomaly 2,windows_req_Anomaly 2,macos_min_Anomaly 2,macos_min_Anomaly 2,macos_req_Anomaly 2,macos_req_Anomaly 2,linux_min_Anomaly 2,linux_min_Anomaly 2,linux_req_Anomaly 2,linux_req_Anomaly 2
операционная система,windows xp sp3 (32 bit) / vista,операционная система,windows 7,операционная система,10.6,операционная система,10.6,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0"
directx,9.0c,directx,9.0c,диск,3 gb hd space,диск,3 gb hd space,диск,3 gb hd space,диск,3 gb hd space
диск,3 gb hd space,диск,3 gb hd space,звуковая карта,integrated,звуковая карта,integrated,other requirements,—,other requirements,широкополосное подключение
звуковая карта,directx compatible,звуковая карта,directx compatible,other requirements,—,other requirements,широкополосное подключение,,,,
,,,,,,,,,,,
windows_min_Cinderella Escape 2 Revenge,windows_min_Cinderella Escape 2 Revenge,windows_req_Cinderella Escape 2 Revenge,windows_req_Cinderella Escape 2 Revenge
операционная система,mac osx 10.6+,операционная система,mac osx 10.6+
процессор,2.0ghz,процессор,2.0ghz
оперативная память,4 mb,оперативная память,8 mb
видео карта,nvidia geforce gts 450 / ati radeon hd 5870 (1gb vram),видео карта,nvidia geforce gtx 760
directx,version 9.0,directx,version 9.0
диск,3 mb,диск,3 mb
звуковая карта,compatible with directx 9.0,звуковая карта,compatible with direct 9.0
,,,
windows_min_Project Starship,windows_min_Project Starship
операционная система,windows 7
процессор,intel i3 2 ghz
оперативная память,1 gb
видео карта,1gb dedicated
,
windows_min_Floppy Heroes,windows_min_Floppy Heroes
операционная система,windows xp sp2+
