windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack
видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600",видео карта,Ч
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Call of DutyЃ: Ghosts - Legend Pack - Soap,windows_min_Call of DutyЃ: Ghosts - Legend Pack - Soap,windows_req_Call of DutyЃ: Ghosts - Legend Pack - Soap,windows_req_Call of DutyЃ: Ghosts - Legend Pack - Soap
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Metin2,windows_min_Metin2,windows_req_Metin2,windows_req_Metin2
операционна€ система,windows 7,операционна€ система,windows 10
процессор,2nd generation intel s (intel core i3 / i5/i7-2xxx),процессор,7th generation intel s (intel core i3 / i5/i7-7xxx)
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,graphics device with 512mb,видео карта,graphics device with 1gb
directx,version 9.0c,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Batman Shadows Mode: The Enemy Within,windows_min_Batman Shadows Mode: The Enemy Within
операционна€ система,windows 7 64bit service pack 1
процессор,intel core 2 duo 2.4ghz
оперативна€ пам€ть,3 gb
видео карта,nvidia gts 450+ with 1024mb+ vram (excluding gt) - latest drivers required
directx,version 11
диск,15 gb
звукова€ карта,direct x 11 sound device
,
windows_min_Mafia III - Family Kick Back Pack,windows_min_Mafia III - Family Kick Back Pack,windows_req_Mafia III - Family Kick Back Pack,windows_req_Mafia III - Family Kick Back Pack
операционна€ система,macos 10.12.4,операционна€ система,Ч
процессор,intel core i5 (4 cores) 3.2 ghz,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,amd radeon r9 m290x 2gb vram,видео карта,Ч
directx,version 11,directx,version 11
диск,50 gb,диск,Ч
звукова€ карта,directx compliant sound card,звукова€ карта,directx compliant sound card
,,,
windows_min_Spell Fighter VR,windows_min_Spell Fighter VR,windows_req_Spell Fighter VR,windows_req_Spell Fighter VR
операционна€ система,windows 7,операционна€ система,windows 10
процессор,i5-4690 3.5ghz,процессор,i5-4690 3.5ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 970
диск,1600 mb,диск,2 gb
,,,
windows_min_Magicka: Holiday Spirit Item Pack,windows_min_Magicka: Holiday Spirit Item Pack
,
windows_min_Rocket LeagueЃ - Hot WheelsЃ Triple Threat DLC Pack,windows_min_Rocket LeagueЃ - Hot WheelsЃ Triple Threat DLC Pack,windows_req_Rocket LeagueЃ - Hot WheelsЃ Triple Threat DLC Pack,windows_req_Rocket LeagueЃ - Hot WheelsЃ Triple Threat DLC Pack
операционна€ система,macos x 10.8.5,операционна€ система,macos x 10.8.5
процессор,2.4+ ghz quad core,процессор,2.5+ ghz quad core
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Sanctum Breach,windows_min_Sanctum Breach,windows_req_Sanctum Breach,windows_req_Sanctum Breach
операционна€ система,windows 7 +,операционна€ система,windows 7 +
процессор,x86-compatible 2.6ghz,процессор,"x64-compatible, quad core, 3.2ghz"
оперативна€ пам€ть,5 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 650 ti or ati radeonЩ hd 7850,видео карта,nvidia geforce gtx 1050 ti or ati radeonЩ rx560
,,,
windows_min_Conan Exiles - The Savage Frontier Pack,windows_min_Conan Exiles - The Savage Frontier Pack,windows_req_Conan Exiles - The Savage Frontier Pack,windows_req_Conan Exiles - The Savage Frontier Pack
операционна€ система,windows 7 / windows 8 / windows 10,операционна€ система,windows 7 / windows 8 / windows 10
процессор,intel quad core i5-2300 or amd fx-6300,процессор,intel quad core i7 3770k or amd ryzen 7 1600x
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 560 (1gb) or amd radeon hd 7770 (1gb),видео карта,nvidia geforce gtx 780 ti/970 (high settings) and 1070 (ultra settings) or amd r9 290 / amd rx480 (high settings)
directx,version 11,directx,version 11
,,,
windows_min_Armor Clash 3 [RTS],windows_min_Armor Clash 3 [RTS],windows_req_Armor Clash 3 [RTS],windows_req_Armor Clash 3 [RTS],macos_min_Armor Clash 3 [RTS],macos_min_Armor Clash 3 [RTS],macos_req_Armor Clash 3 [RTS],macos_req_Armor Clash 3 [RTS],linux_min_Armor Clash 3 [RTS],linux_min_Armor Clash 3 [RTS],linux_req_Armor Clash 3 [RTS],linux_req_Armor Clash 3 [RTS]
операционна€ система,windows xp/vista/windows 7/windows 8/windows 10,операционна€ система,windows xp/vista/windows 7/windows 8/windows 10,операционна€ система,macos,операционна€ система,macos,операционна€ система,ubuntu,операционна€ система,ubuntu
процессор,2.5 ghz cpu,процессор,3 ghz cpu,процессор,intel core 2 duo 2.4 ghz,процессор,intel core 2 duo 2.4 ghz,процессор,2.5 ghz cpu,процессор,3 ghz cpu
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"dx11 compatitable graphic card, nvidia gforce 460",видео карта,"dx11 compatitable graphic card, nvidia gforce 770 / amd hd 7870",видео карта,integrated video card,видео карта,integrated video card,видео карта,dx11 compatitable graphic card,видео карта,dx11 compatitable graphic card
,,,,,,,,,,,
windows_min_Dead Rising 4 - Season Pass,windows_min_Dead Rising 4 - Season Pass,windows_req_Dead Rising 4 - Season Pass,windows_req_Dead Rising 4 - Season Pass
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel i5-2400 or amd fx 6300,процессор,intel i7-3770 or amd fx 8350
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 (2 gb) or amd radeon hd 7850 (2 gb),видео карта,nvidia geforce gtx 970 (4 gb) or amd radeon r9 290 (4 gb)
directx,version 11,directx,version 11
диск,50 gb,диск,50 gb
,,,
windows_min_Fish Duel,windows_min_Fish Duel,windows_req_Fish Duel,windows_req_Fish Duel
операционна€ система,windows xpvista7,операционна€ система,windows 7/8.1/10
процессор,dual core cpu 2.4 ghz,процессор,quad core cpu 3.0 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,geforce gts 450-class (intel hd 4000),видео карта,geforce gtx 960
directx,version 9.0,directx,version 11
,,,
windows_min_LEGOЃ DC Super-Villains Justice League Dark,windows_min_LEGOЃ DC Super-Villains Justice League Dark,windows_req_LEGOЃ DC Super-Villains Justice League Dark,windows_req_LEGOЃ DC Super-Villains Justice League Dark
операционна€ система,macos 10.14.4,операционна€ система,Ч
процессор,1.6ghz intel core i5,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,"1gb nvidia 650m, 2gb amd r9 m290, intel iris pro 5200 (see notes for more details)",видео карта,Ч
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,21 gb,диск,Ч
,,,
windows_min_Call of DutyЃ: Black Ops First Strike Content Pack,windows_min_Call of DutyЃ: Black Ops First Strike Content Pack
операционна€ система,windows vista / xp / 7
процессор,intel coreЩ2 duo e6600 or amd phenomЩ x3 8750
оперативна€ пам€ть,2gb
видео карта,shader 3.0 256mb nvidia geforce 8600gt / ati radeon x1950pro
directx,directx 9.0c
диск,600 mb
,
windows_min_River City Melee : Battle Royal Special,windows_min_River City Melee : Battle Royal Special,windows_req_River City Melee : Battle Royal Special,windows_req_River City Melee : Battle Royal Special
операционна€ система,windows 7 / 8 / 8.1 / 10,операционна€ система,windows 7 / 8 / 8.1 / 10
процессор,intel core2 duo,процессор,intel core i5 / i7
оперативна€ пам€ть,256 mb,оперативна€ пам€ть,1 gb
видео карта,nvidia geforce 7900 gt / amd radeon x1900 / nvidia geforce gt 620 (windows 8.1),видео карта,nvidia geforce 8800 gt / amd radeon hd3700 / nvidia geforce gt 650 (windows 8.1)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Red Wings: Aces of the Sky,windows_min_Red Wings: Aces of the Sky,windows_req_Red Wings: Aces of the Sky,windows_req_Red Wings: Aces of the Sky
операционна€ система,windows 10,операционна€ система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gt 1030,видео карта,nvidia geforce gtx 1060 3gb
directx,version 11,directx,version 11
,,,
windows_min_Sherlock Holmes: The Devil's Daughter Costume Pack,windows_min_Sherlock Holmes: The Devil's Daughter Costume Pack,windows_req_Sherlock Holmes: The Devil's Daughter Costume Pack,windows_req_Sherlock Holmes: The Devil's Daughter Costume Pack
операционна€ система,windows 7 / windows 8 / windows 8.1 / windows 10,операционна€ система,windows 7 / windows 8 / windows 8.1 / windows 10
процессор,intel core i3 540 2.4 ghz / amd athlon ii x3 445 3.0 ghz,процессор,intel core i5 2100 3.1 ghz / amd a8-7600 3.1 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,1024 mb 100% directx 11 compatible amd radeon hd 6750 / nvidia geforce 450 gts or higher,видео карта,2048mb 100% directx 11 compatible ati r9 270x / nvidia geforce 760 gtx or higher
directx,version 11,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_Dungeon Defenders II - Defender Pack,windows_min_Dungeon Defenders II - Defender Pack,windows_req_Dungeon Defenders II - Defender Pack,windows_req_Dungeon Defenders II - Defender Pack
операционна€ система,windows 7 (sp1),операционна€ система,windows 7 (sp1) / windows 8.1 / windows 10
процессор,2.0 ghz dual-core cpu,процессор,intel core i5 or amd quad-core
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,4 gb
видео карта,"ati radeon hd 2600 / nvidia geforce 8600, 512 mb video memory, with shader model 3 support",видео карта,nvidia geforce gtx 260 or amd radeon hd 4770 (1gb vram)
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
звукова€ карта,directsound-compatible sound device,звукова€ карта,directsound-compatible sound device
,,,
windows_min_AssassinТs CreedЃ Liberation HD - Bonus Pack,windows_min_AssassinТs CreedЃ Liberation HD - Bonus Pack
операционна€ система,"windows vista sp2, windows 7 sp1, windows 8 / 8.1 (both 32/64bit versions)"
процессор,intel core i3 2105 @ 3.1 ghz or amd phenom 2 x4 955 @ 3.2ghz
оперативна€ пам€ть,2 gb
видео карта,nvidia geforce 8800gt or amd radeon hd4870 (512mb vram & shader model 4.0)
диск,3500 mb
,
windows_min_Drying Paint Simulator VR,windows_min_Drying Paint Simulator VR,windows_req_Drying Paint Simulator VR,windows_req_Drying Paint Simulator VR
операционна€ система,windows 7,операционна€ система,Ч
процессор,intel i5-4590,процессор,intel i7 8700k
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,Ч
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1070
directx,version 5.2,directx,Ч
,,,
windows_min_LEGOЃ Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2,windows_min_LEGOЃ Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2,windows_req_LEGOЃ Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2,windows_req_LEGOЃ Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2
операционна€ система,macos 10.13.5,операционна€ система,Ч
процессор,1.8ghz intel core i3,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,Ч
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,Ч
,,,
windows_min_Highscore Hunter Hodgepodge,windows_min_Highscore Hunter Hodgepodge
операционна€ система,windows 7
процессор,1ghz
,
windows_min_WARRIORS OROCHI 4: The Ultimate Upgrade Pack,windows_min_WARRIORS OROCHI 4: The Ultimate Upgrade Pack,windows_req_WARRIORS OROCHI 4: The Ultimate Upgrade Pack,windows_req_WARRIORS OROCHI 4: The Ultimate Upgrade Pack
операционна€ система,win 8.1/10(64bit required),операционна€ система,win 8.1/10(64bit required)
процессор,intel core i5 2400 or over,процессор,intel core i7 3770 or over
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 or over,видео карта,nvidia geforce gtx 960 or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звукова€ карта,directx 11 or over,звукова€ карта,directx 11 or over
,,,
windows_min_InjusticeЩ 2 - Fighter Pack 1,windows_min_InjusticeЩ 2 - Fighter Pack 1,windows_req_InjusticeЩ 2 - Fighter Pack 1,windows_req_InjusticeЩ 2 - Fighter Pack 1
операционна€ система,windows 7 / windows 10,операционна€ система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzenЩ 3 1200, 3.1 ghz",процессор,"intel core i3-2100, 3.10 ghz / amd fx-6300, 3.5 ghz or amd ryzenЩ 5 1400, 3.2 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
