windows_min_Ring of Titans,windows_min_Ring of Titans,windows_req_Ring of Titans,windows_req_Ring of Titans
операционная система,windows 7,операционная система,windows 10
процессор,i3 / phenom ii,процессор,i7 / ryzen 5
оперативная память,2 gb,оперативная память,8 gb
видео карта,onboard,видео карта,nvidia gtx 1060
,,,
windows_min_Toziuha Night: Dracula's Revenge,windows_min_Toziuha Night: Dracula's Revenge
операционная система,any potato linux
процессор,2ghz or faster processer
оперативная память,1 gb
видео карта,512mb vram (nvidia geforce)
directx,version 9.0c
,
windows_min_Within Skerry,windows_min_Within Skerry,windows_req_Within Skerry,windows_req_Within Skerry
операционная система,windows 7 or higher at,операционная система,windows 7 or higher at
процессор,i5 + anything post 2017 should suffice,процессор,i5 + anything post 2017 should suffice
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 960 or slightly lower,видео карта,gtx 970 or slightly lower
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Hunt-or-Haunt,windows_min_Hunt-or-Haunt
операционная система,windows 7 sp1+
оперативная память,4 gb
сеть,широкополосное подключение
,
windows_min_Death By Tomato,windows_min_Death By Tomato,windows_req_Death By Tomato,windows_req_Death By Tomato
операционная система,windows 7/8.1/10 (64bit),операционная система,windows 7/8.1/10 (64bit)
процессор,intel core i7 skylake,процессор,intel core i7 skylake
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1060
,,,
windows_min_Stretchy-Man: The Video Game,windows_min_Stretchy-Man: The Video Game
операционная система,mac os x 10.6+
процессор,2.5 ghz
оперативная память,1 gb
видео карта,recommended dedicated graphics card with 128 mb of
,
windows_min_Blaster Alert,windows_min_Blaster Alert,windows_req_Blaster Alert,windows_req_Blaster Alert
операционная система,windows xp,операционная система,windows 11
процессор,pentium 3,процессор,intel pentium dual - core
оперативная память,1 gb,оперативная память,4 gb
видео карта,nvidia geforce 5500,видео карта,asus gt730-sl-2gd5-brk nvidia geforce
directx,version 7.0,directx,version 11
диск,51 mb,диск,51 mb
,,,
