windows_min_SOS Survival,windows_min_SOS Survival,windows_req_SOS Survival,windows_req_SOS Survival
,,,
windows_min_RAM Pressure,windows_min_RAM Pressure,windows_req_RAM Pressure,windows_req_RAM Pressure
операционная система,macos 10.12 sierra,операционная система,macos 10.12 sierra
процессор,intel core 2 duo e4700 2.6 ghz or amd phenom 9950 quad core 2.6 ghz,процессор,3ghz quad core
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750,видео карта,nvidia geforce gtx 1050
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Soldat,windows_min_Soldat,macos_min_Soldat,macos_min_Soldat,linux_min_Soldat,linux_min_Soldat
операционная система,windows 7+,операционная система,osx 10.7+,операционная система,ubuntu 12.04+ or steamos+
процессор,core 2 duo,процессор,core 2 duo,процессор,core 2 duo
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,opengl 2.1,видео карта,opengl 2.1,видео карта,opengl 2.1
,,,,,
windows_min_Reptiles: In Hunt,windows_min_Reptiles: In Hunt,windows_req_Reptiles: In Hunt,windows_req_Reptiles: In Hunt
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 3770 3.4 ghz / amd cpu amd fx-8350 4 ghz
оперативная память,8 gb,оперативная память,16 gb
,,,
windows_min_Recompile,windows_min_Recompile
операционная система,windows 7+
процессор,3 ghz
оперативная память,8 gb
,
windows_min_Faerie Solitaire Dire,windows_min_Faerie Solitaire Dire,macos_min_Faerie Solitaire Dire,macos_min_Faerie Solitaire Dire,linux_min_Faerie Solitaire Dire,linux_min_Faerie Solitaire Dire
операционная система,windows 7,операционная система,mac os x 10.8+,операционная система,linux
процессор,1.2 ghz,процессор,1.2 ghz,оперативная память,500 mb
видео карта,directx 9 compatible graphics card,оперативная память,500 mb,диск,200 mb
directx,version 9.0,диск,200 mb,,
,,,,,
windows_min_ZooKeeper,windows_min_ZooKeeper,windows_req_ZooKeeper,windows_req_ZooKeeper
операционная система,windows 10,операционная система,windows 10
процессор,"intel core i5 3570, amd fx-6350",процессор,"intel core i7-4790, amd fx-8350"
видео карта,"nvidia gtx 660 2gb, amd radeon 7850 2gb",видео карта,"nvidia gtx 1060 3gb, amd rx 480 4gb"
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Super Meat Boy Forever,windows_min_Super Meat Boy Forever,windows_req_Super Meat Boy Forever,windows_req_Super Meat Boy Forever
операционная система,windows 7,операционная система,windows 10
процессор,core i3 or amd equivalent,процессор,core i3 or amd equivalent
оперативная память,4 gb,оперативная память,4 gb
видео карта,"nvidia, amd, or integrated chip (within the last 5 years)",видео карта,nvidia or amd within the last 5 years.
directx,version 11,directx,version 11
,,,
windows_min_ROGUE SHIFT,windows_min_ROGUE SHIFT,windows_req_ROGUE SHIFT,windows_req_ROGUE SHIFT
операционная система,windows 7,операционная система,windows 10
процессор,intel core-i5 3.0ghz,процессор,intel core i7 3.4ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1050 4gb,видео карта,nvidia geforce gtx 1060 6gb
,,,
windows_min_Cris Tales,windows_min_Cris Tales,windows_req_Cris Tales,windows_req_Cris Tales
операционная система,os version: windows 7,операционная система,os version: windows 10
процессор,intel core at 2.5ghz or amd equivalent,процессор,intel core at 2.7ghz or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 ti (2gb),видео карта,nvidia geforce gtx 750 ti (4gb)
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_BattleBeasts,windows_min_BattleBeasts,windows_req_BattleBeasts,windows_req_BattleBeasts
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 ti 2gb / amd radeon r7 250 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Dolmen,windows_min_Dolmen,windows_req_Dolmen,windows_req_Dolmen
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx 860,видео карта,gtx 950
,,,
"windows_min_Split - manipulate time, make clones and solve cyber puzzles from the future!","windows_min_Split - manipulate time, make clones and solve cyber puzzles from the future!","windows_req_Split - manipulate time, make clones and solve cyber puzzles from the future!","windows_req_Split - manipulate time, make clones and solve cyber puzzles from the future!"
операционная система,mac osx 10.12,операционная система,mac osx 10.12
процессор,intel core i5-750,процессор,intel core i5-4440s 2.80ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gpu geforce gtx 660 / amd gpu radeon hd 7870,видео карта,nvidia gpu geforce gtx 1050 ti / amd gpu radeon r9 280x
directx,version 10,directx,version 11
диск,6 gb,диск,8 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Dieselpunk Wars,windows_min_Dieselpunk Wars,windows_req_Dieselpunk Wars,windows_req_Dieselpunk Wars
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
