windows_min_Disinfection,windows_min_Disinfection,windows_req_Disinfection,windows_req_Disinfection
операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx 970 / amd radeon r9 390,видео карта,nvidia gtx 1060 / amd radeon r9 390
directx,version 11,directx,version 11
,,,
windows_min_Galactic Explorers,windows_min_Galactic Explorers
операционная система,windows 10
процессор,core 2 duo
оперативная память,2 gb
видео карта,discreet video card
,
windows_min_Layer Section™ & Galactic Attack™ S-Tribute,windows_min_Layer Section™ & Galactic Attack™ S-Tribute
операционная система,windows 10
процессор,core i5-8500 3.0ghz
оперативная память,8 gb
видео карта,intel uhd graphics 630
,
windows_min_Void Prison,windows_min_Void Prison,windows_req_Void Prison,windows_req_Void Prison
операционная система,xp,операционная система,windows 8 / 7 / vista / xp
процессор,core 2 duo,процессор,2.4 ghz dual core 2.0 (or higher)
оперативная память,2 gb,оперативная память,8 gb
видео карта,discreet video card,видео карта,discreet video card
диск,50 mb,диск,50 mb
,,,
windows_min_Scapegoat,windows_min_Scapegoat
операционная система,windows 10
процессор,"x86, x64 architecture with sse2 instruction set support."
оперативная память,1 gb
видео карта,"dx10, dx11, and dx12-capable gpus"
,
windows_min_Signs of Birth,windows_min_Signs of Birth,windows_req_Signs of Birth,windows_req_Signs of Birth
операционная система,10,операционная система,10
процессор,"intel core i series, amd ryzen series",процессор,"intel core i series, amd ryzen series"
оперативная память,4 gb,оперативная память,—
видео карта,geforce 1060,видео карта,geforce 2070 super
,,,
windows_min_Pixel Game Maker Series Fish Tornado,windows_min_Pixel Game Maker Series Fish Tornado,windows_req_Pixel Game Maker Series Fish Tornado,windows_req_Pixel Game Maker Series Fish Tornado
операционная система,windowsr 8/8.1/10 (64bit),операционная система,windowsr 8/8.1/10 (64bit)
процессор,intel core2 duo 2.0ghz,процессор,intel core2 duo 3.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu / nvidia geforce gtx750
directx,version 9.0,directx,version 9.0
,,,
windows_min_DEAD CIDE CLUB,windows_min_DEAD CIDE CLUB,windows_req_DEAD CIDE CLUB,windows_req_DEAD CIDE CLUB
операционная система,"windows 7, windows 10, windows 11",операционная система,"windows 7, windows 10, windows 11"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Defensive Measures,windows_min_Defensive Measures,windows_req_Defensive Measures,windows_req_Defensive Measures
операционная система,- windows 10,операционная система,- windows 10
процессор,amd: fx-4350 / intel: i3-3220,процессор,amd: fx-6100 / intel: i5-3570
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd: radeon hd 7730 / nvidia: geforce gt 640,видео карта,amd: radeon r9 285 / nvidia: geforce gtx 970
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_CYBERHUNK,windows_min_CYBERHUNK,windows_req_CYBERHUNK,windows_req_CYBERHUNK
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-6100 / amd fx-8350,процессор,intel core i5-4670k / amd ryzen 5 1500x
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 580 / amd hd 7870,видео карта,gtx 680 / amd hd 7970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Nomad Survival,windows_min_Nomad Survival,windows_req_Nomad Survival,windows_req_Nomad Survival
операционная система,"windows 8, windows 10",операционная система,—
оперативная память,2 gb,оперативная память,—
видео карта,2gb vram graphics cards,видео карта,4gb or higher vram graphics cards
directx,version 11,directx,—
,,,
windows_min_HRD 3 Pegasus Island,windows_min_HRD 3 Pegasus Island,windows_req_HRD 3 Pegasus Island,windows_req_HRD 3 Pegasus Island
операционная система,microsoft windows 7 (64bit),операционная система,microsoft windows 10 (64bit)
процессор,dual core,процессор,quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"radeon hd 5830, nvidia geforce gtx 285",видео карта,"nvidia geforce 760 gtx, amd radeon hd 7950 serie"
directx,version 11,directx,version 12
,,,
windows_min_RUINSMAGUS,windows_min_RUINSMAGUS
операционная система,windows 10 -
процессор,intel i5-7500 / ryzen 5 1600
оперативная память,12 gb
видео карта,nvidia gtx 1060 / rx 580
,
windows_min_Erroneous,windows_min_Erroneous,windows_req_Erroneous,windows_req_Erroneous
операционная система,windows 10+,операционная система,windows 13
процессор,1.20ghz,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,intel uhd graphics g1,видео карта,—
диск,400 mb,диск,—
дополнительно,this game doesn't need that powerful of a computer,дополнительно,this is the recommended system requirements for maximum bots
,,,
windows_min_Breakers World,windows_min_Breakers World,windows_req_Breakers World,windows_req_Breakers World
операционная система,10,операционная система,—
оперативная память,16 gb,оперативная память,32 mb
,,,
windows_min_Deios I // Directors Cut,windows_min_Deios I // Directors Cut,windows_req_Deios I // Directors Cut,windows_req_Deios I // Directors Cut
операционная система,"windows xp, vista, 7, 8, or 10",операционная система,mac os x
процессор,2ghz+,процессор,2ghz+
оперативная память,1024 mb,оперативная память,2 gb mb
видео карта,512mb+,видео карта,512mb+
directx,version 9.0,directx,—
,,,
windows_min_Fracked,windows_min_Fracked,windows_req_Fracked,windows_req_Fracked
операционная система,windows 10,операционная система,windows 10
процессор,amd ryzen 5 1500x or intel i5 equivalent,процессор,intel i7 9700k or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1070,видео карта,gtx 2080 or amd equivalent
directx,version 11,directx,—
,,,
windows_min_Rule The World CHESS,windows_min_Rule The World CHESS,windows_req_Rule The World CHESS,windows_req_Rule The World CHESS
операционная система,windows 7,операционная система,windows 10
процессор,requires a and operating system,процессор,requires a and operating system
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 960 or amd equivalent with at least 4 gb of vram,видео карта,nvidia gtx 1060 or amd radeon 570 with at least 6gb of vram
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Lander Odyssey,windows_min_Lander Odyssey,windows_req_Lander Odyssey,windows_req_Lander Odyssey
операционная система,windows 7/10,операционная система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,6 gb
видео карта,intel graphics,видео карта,intel graphics
,,,
windows_min_TIME TO HUNT,windows_min_TIME TO HUNT,windows_req_TIME TO HUNT,windows_req_TIME TO HUNT
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-3570k or amd fx-8310,процессор,intel core i7-4790 or amd ryzen 3 3200g
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 970 or amd radeon rx 470,видео карта,gtx 1060 6gb / gtx 1660 super or radeon rx 590
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Tear of Titans,windows_min_Tear of Titans,windows_req_Tear of Titans,windows_req_Tear of Titans
операционная система,windows 10,операционная система,window 10
процессор,intel core i3,процессор,ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 650,видео карта,nvidia geforce gtx 1060
,,,
windows_min_Arobynn: The First Adventure,windows_min_Arobynn: The First Adventure
операционная система,windows 10
процессор,intel core i5-4590
оперативная память,8 gb
видео карта,nvidia gtx 970
,
windows_min_HammerBorn: Tears Of Mani,windows_min_HammerBorn: Tears Of Mani,windows_req_HammerBorn: Tears Of Mani,windows_req_HammerBorn: Tears Of Mani
операционная система,windows 7 and up,операционная система,windows 7 and up
процессор,quad core,процессор,"core i5, amd hex,"
оперативная память,4 gb,оперативная память,16 gb
видео карта,"some integrated gfx, but recommend a dedicated card",видео карта,"dedicated ati, nvidia, ."
directx,version 9.0,directx,version 11
диск,750 mb,диск,1 gb
,,,
