windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
windows_min_Omensight: Definitive Edition,windows_min_Omensight: Definitive Edition,windows_req_Omensight: Definitive Edition,windows_req_Omensight: Definitive Edition
операционная система,"windows vista, 7, 8, 10",операционная система,windows 10
процессор,intel or amd dual core 2.0 ghz+,процессор,intel or amd dual core 3.0 ghz+
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gt 640 or radeon hd 7790 (1gb vram),видео карта,geforce gtx 750 or radeon hd 7870 (2gb vram)
directx,version 10,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Gear Up,windows_min_Gear Up,windows_req_Gear Up,windows_req_Gear Up,macos_min_Gear Up,macos_min_Gear Up,macos_req_Gear Up,macos_req_Gear Up,linux_min_Gear Up,linux_min_Gear Up,linux_req_Gear Up,linux_req_Gear Up
операционная система,windows 7 sp1 / windows 8 / windows 10,операционная система,windows 7 sp1 / windows 8 / windows 10,операционная система,10.10.1 (yosemite),операционная система,10.10.1 (yosemite),операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,intel core 2 duo 2.4 ghz or athlon x2 2.7 ghz,процессор,intel core 2 duo 2.4 ghz or athlon x2 2.7 ghz,процессор,intel core 2 duo 2.4 ghz,процессор,intel core i5 2.66ghz,процессор,intel core 2 duo 2.4 ghz or athlon x2 2.7 ghz,процессор,intel core 2 duo 2.4 ghz or athlon x2 2.7 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher.",видео карта,"directx 11 compatible nvidia or amd ati card, ati radeon 6950 or higher, nvidia geforce gtx 560 or higher.",видео карта,512 mb dedicated opengl 3.0,видео карта,1024 mb dedicated opengl 3.0,видео карта,512 mb dedicated opengl 3.0,видео карта,1024 mb dedicated opengl 3.0
