процессор,intel dual core e8500 3.2ghz,процессор,intel i5 4460 3.2ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,gt 230,видео карта,gtx 660 / gtx 950
directx,version 9.0,directx,version 11
,,,
windows_min_Wanted Raccoon,windows_min_Wanted Raccoon,macos_min_Wanted Raccoon,macos_min_Wanted Raccoon,linux_min_Wanted Raccoon,linux_min_Wanted Raccoon
операционная система,windows 7,операционная система,os x 10.6,операционная система,ubuntu 12.04 lts
процессор,2.6 ghz dual core or similar,процессор,2.6 ghz dual core or similar,процессор,2.6 ghz dual core or similar
оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb
видео карта,"shader model 3.0, 512mb vram",видео карта,intel hd graphics 4000,видео карта,"shader model 3.0, 512 mb vram"
directx,version 9.0c,диск,5 gb,диск,5 gb
,,,,,
windows_min_The Nest,windows_min_The Nest,windows_req_The Nest,windows_req_The Nest
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350,процессор,intel i7-4970k / amd fx 8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290,видео карта,nvidia geforce gtx 1070 / amd radeon™ rx 480
directx,version 11,directx,version 11
,,,
windows_min_Samurai Bringer,windows_min_Samurai Bringer
операционная система,windows10 64bit
процессор,intel core i3-6100
оперативная память,4 gb
видео карта,nvidia geforce gtx 750 ti
,
windows_min_Made in Abyss: Binary Star Falling into Darkness,windows_min_Made in Abyss: Binary Star Falling into Darkness,windows_req_Made in Abyss: Binary Star Falling into Darkness,windows_req_Made in Abyss: Binary Star Falling into Darkness
операционная система,windows 8.1/windows 10,операционная система,windows 10
процессор,intel core i7-3770 / intel core i3-4170/intel celeron g1820/intel core i3-3225/intel core i7-3770/amd a10-5800k,процессор,intel core i7-3770
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia@ geforce gt 6302gb,видео карта,geforce gtx 1080
directx,version 11,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_The Deletion,windows_min_The Deletion
операционная система,mac os x: 10.7+
процессор,2 ghz dual core
оперативная память,2 gb
,
