windows_min_The Temple Of,windows_min_The Temple Of,windows_req_The Temple Of,windows_req_The Temple Of
операционная система,macos 10.14,операционная система,—
процессор,2.0ghz intel core i5,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris graphics 540 (see notes for more details)",видео карта,—
directx,version 9.0c,directx,version 11
,,,
windows_min_Dominance,windows_min_Dominance,windows_req_Dominance,windows_req_Dominance
операционная система,"windows 8.1, windows 8, windows 7 service pack 1, windows 10",операционная система,"windows 8.1, windows 8, windows 7 service pack 1, windows 10"
процессор,"intel core™ i5-4460, amd fx™-6300",процессор,"intel core™ i7-3770, amd fx™-9590,"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeon™ rx 480 with 8gb vram,"
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Volley Pals,windows_min_Volley Pals,macos_min_Volley Pals,macos_min_Volley Pals,linux_min_Volley Pals,linux_min_Volley Pals
операционная система,32/ windows,операционная система,osx,операционная система,linux
процессор,1.5 ghz core2duo,процессор,1.5 ghz core2duo,процессор,1.5 ghz core2duo
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,opengl 2 or higher,видео карта,opengl 2 or higher,видео карта,opengl 2 or higher
,,,,,
windows_min_SKY TOMB,windows_min_SKY TOMB,windows_req_SKY TOMB,windows_req_SKY TOMB
операционная система,windows 7,операционная система,windows 10
процессор,2.0 ghz dual core,процессор,2.5 ghz dual core
оперативная память,512 mb,оперативная память,8 gb
видео карта,intel uhd graphics 630,видео карта,geforce gtx 970
directx,version 11,directx,version 11
,,,
windows_min_Martian Invaders,windows_min_Martian Invaders
операционная система,windows xp / vista / 7 / 8 / 10 / 11
процессор,dual core 1.6 ghz
оперативная память,2 gb
видео карта,dx11 with feature level 9.3 capabilities
directx,version 11
,
windows_min_FrogJump,windows_min_FrogJump
операционная система,windows 7
процессор,2 ghz dual core cpu
оперативная память,2 mb
видео карта,intel hd graphics 4000
directx,version 11
,
windows_min_Perseus: Titan Slayer - Free Trial,windows_min_Perseus: Titan Slayer - Free Trial
операционная система,windows 10
процессор,core i3
оперативная память,8 gb
видео карта,geforce gtx 1050
,
windows_min_Starway: BaRaider,windows_min_Starway: BaRaider
операционная система,windows 10 -
процессор,intel i5-7500 / ryzen 5 1600
оперативная память,12 gb
видео карта,nvidia gtx 1060 / rx 580
directx,version 11
диск,2 gb
vr support,steamvr or openxr
,
windows_min_Sector Sweep,windows_min_Sector Sweep,windows_req_Sector Sweep,windows_req_Sector Sweep
операционная система,windows 7+,операционная система,windows 7+
процессор,2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,128mb,видео карта,256mb
,,,
windows_min_Turbo Cat Fight,windows_min_Turbo Cat Fight
операционная система,windows 7 and above
процессор,2.50ghz or higher
оперативная память,512 mb
directx,version 9.0c
диск,100 mb
,
windows_min_Horde Hunters,windows_min_Horde Hunters
операционная система,windows 10
процессор,i5 @ 2.00 ghz
оперативная память,4 gb
видео карта,geforce gtx 750
,
windows_min_The Legend of Gwen,windows_min_The Legend of Gwen,windows_req_The Legend of Gwen,windows_req_The Legend of Gwen
операционная система,windows 7 and above,операционная система,"microsoft windows 8, 10"
процессор,1.5 ghz core2duo,процессор,intel core i3
оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia gtx 470 de 1 gb/amd hd 7870 de 2 gb,видео карта,nvidia gtx 780 de 3 gb/amd r9 290 de 4 gb
,,,
windows_min_Angry Angus,windows_min_Angry Angus
операционная система,windows 7
процессор,intel celeron j5105
оперативная память,2 gb
видео карта,radeon rx 5000
directx,version 10
диск,900 mb
,
windows_min_WEAPONEER,windows_min_WEAPONEER
операционная система,windows 7 / 8 / 10 / 11
процессор,intel core i7-9700k |; amd ryzen™ 5 5600 6-core
оперативная память,4 gb
видео карта,nvidia geforce gtx 550
directx,version 11
диск,46 mb
,
windows_min_Bitter Belief,windows_min_Bitter Belief,windows_req_Bitter Belief,windows_req_Bitter Belief,macos_min_Bitter Belief,macos_min_Bitter Belief,macos_req_Bitter Belief,macos_req_Bitter Belief,linux_min_Bitter Belief,linux_min_Bitter Belief,linux_req_Bitter Belief,linux_req_Bitter Belief
операционная система,windows 7,операционная система,windows 7,операционная система,10.13.6,операционная система,10.13.6 or new,операционная система,20.04.5,операционная система,22.04.1
процессор,intel pentium inside,процессор,intel core i3,процессор,intel core i5,процессор,intel core i5,процессор,intel core i3,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,nvidia geforce gt 720 2gb,видео карта,intel hd graphics 4000 1536 mb,видео карта,intel hd graphics 4000 1536 mb,видео карта,intel hd graphics 400,видео карта,intel hd graphics 400
directx,version 10,directx,version 11,диск,200 mb,диск,1 gb,диск,1 gb,диск,2 gb
,,,,,,,,,,,
