видео карта,opengl 3.1 compliant video card,видео карта,nvidia geforce gtx1050
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звуковая карта,direct sound,звуковая карта,direct sound
,,,
windows_min_Party Party Time,windows_min_Party Party Time
операционная система,windows 7
процессор,2.0 ghz
оперативная память,2 mb
видео карта,nvidia gtx 260 or ati 4850
directx,version 9.0c
диск,300 mb
,
windows_min_Hyper Shapes,windows_min_Hyper Shapes,windows_req_Hyper Shapes,windows_req_Hyper Shapes
операционная система,windows 7/8/8.1/10,операционная система,windows 10 ()
процессор,2.00 ghz,процессор,3.00 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia geforce 8600 / gt, ati raedon hd 2600 xt",видео карта,"nvidia geforce 8600 / gt, ati raedon hd 2600 xt"
directx,version 11,directx,version 11
диск,200 mb,диск,200 mb
,,,
windows_min_Orc killer,windows_min_Orc killer,windows_req_Orc killer,windows_req_Orc killer
операционная система,"windows 7, windows 8.1, windows 10",операционная система,win10
процессор,intel core i3-4340 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gpu geforce gtx 470 1gb / amd hd 5800 1gb,видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,256 gb,диск,256 gb
звуковая карта,hd audio,звуковая карта,realtek alc
,,,
windows_min_2112TD: Tower Defense Survival,windows_min_2112TD: Tower Defense Survival
операционная система,windows 7
процессор,dual core cpu
оперативная память,4 gb
видео карта,opengl 3.0 compliant with 1gb of video.
directx,version 10
,
windows_min_The Rocket Jumper,windows_min_The Rocket Jumper,windows_req_The Rocket Jumper,windows_req_The Rocket Jumper
операционная система,windows 10,операционная система,windows 10
процессор,"intel i5 2300, amd fx-8300",процессор,"intel i3 10100, amd ryzen 5 2600"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"gtx960, rx460",видео карта,"gtx1650 super, rx580"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
,,,
windows_min_AgentRoy - Secure The Temple,windows_min_AgentRoy - Secure The Temple,windows_req_AgentRoy - Secure The Temple,windows_req_AgentRoy - Secure The Temple
операционная система,windows 7,операционная система,windows 11
процессор,core 2 duo,процессор,core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia / amd 1 gb gpu,видео карта,nvidia / amd 2 gb gpu
directx,version 9.0,directx,version 12
диск,1 gb,диск,1 gb
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_The Last Hike,windows_min_The Last Hike
операционная система,windows xp\vista\7\8
процессор,intel core i3
оперативная память,1024 mb
видео карта,500mb
directx,version 9.0
диск,200 mb
,
