windows_min_Buccaneers!,windows_min_Buccaneers!,windows_req_Buccaneers!,windows_req_Buccaneers!
видео карта,dx9 (shader model 3.0) or dx11 with feature level 9.3 capabilities,видео карта,intel hd graphics 4000,видео карта,dx9 (shader model 3.0) or dx11 with feature level 9.3 capabilities,видео карта,—,видео карта,dx9 (shader model 3.0) or dx11 with feature level 9.3 capabilities,видео карта,—
directx,version 9.0,directx,—,диск,500 mb,диск,—,диск,500 mb,диск,—
диск,500 mb,диск,500 mb,,,,,,,,
,,,,,,,,,,,
windows_min_World of Warships — Black Scharnhorst Pack,windows_min_World of Warships — Black Scharnhorst Pack,windows_req_World of Warships — Black Scharnhorst Pack,windows_req_World of Warships — Black Scharnhorst Pack
операционная система,macos 10.7.5,операционная система,macos 10.10
процессор,intel core i5 4570r,процессор,intel core i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,"intel hd 5000, intel iris 5100",видео карта,nvidia geforce gt 750m
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,51 gb,диск,53 gb
звуковая карта,directx 11,звуковая карта,directx 11.1
,,,
windows_min_Bully Beatdown,windows_min_Bully Beatdown,windows_req_Bully Beatdown,windows_req_Bully Beatdown
операционная система,windows xp,операционная система,windows 10
процессор,dual core,процессор,quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated video card,видео карта,geforce
диск,3500 mb,диск,—
,,,
windows_min_Pew Dew Redemption,windows_min_Pew Dew Redemption
операционная система,windows 7
процессор,intel core i5 3470 (or comparable amd )
видео карта,nvidia gtx750 ti (or comparable radeon graphics card)
directx,version 11
,
windows_min_Dark and Light - Shard of Faith,windows_min_Dark and Light - Shard of Faith,windows_req_Dark and Light - Shard of Faith,windows_req_Dark and Light - Shard of Faith
операционная система,"windows 7 service pack 1, windows 8, or windows 10",операционная система,"windows 7 service pack 1, windows 8, or windows 10"
процессор,intel core i5 2500k,процессор,intel core i7-5820k 6x 3.3 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 960 or higher,видео карта,geforce gtx 1070 or higher
directx,version 10,directx,version 10
,,,
