операционная система,windows 7; 8; 10,операционная система,windows 7; 8; 10
процессор,intel(r) celeron(r) cpu g530 @2.40 ghz,процессор,intel core i9-11980hk
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 650,видео карта,nvidia geforce rtx 3080
,,,
windows_min_Beat Invaders,windows_min_Beat Invaders,windows_req_Beat Invaders,windows_req_Beat Invaders
операционная система,"fedora 25, ubuntu 16.04, steamos, mint 18",операционная система,"fedora 25, ubuntu 16.04, steamos, mint 18"
процессор,2.6 ghz dual core or similar,процессор,2.6 ghz dual core or similar
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce 700 series or similar,видео карта,geforce 900 series or similar
,,,
windows_min_Goblin Town,windows_min_Goblin Town,windows_req_Goblin Town,windows_req_Goblin Town
операционная система,windows 7 sp1 (64bit),операционная система,windows 8 / 10 (64bit)
процессор,intel dual-core 2.4 ghz or amd dual-core athlon 2.5 ghz,процессор,intel core i5-4460 or amd fx 4300
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 9800gt / amd radeon hd 5670 / intel hd graphics 4000 with 512 mb vram,видео карта,nvidia geforce gtx 1080 / amd radeon hd 7800 series with 2 gb vram
диск,2 gb,диск,2 gb
звуковая карта,"70 gb free space, ssd / hybrid hdd / sshd storage",звуковая карта,"70 gb free space, ssd / hybrid hdd / sshd storage"
сеть,—,сеть,широкополосное подключение
,,,
windows_min_Donut Arena,windows_min_Donut Arena
операционная система,windows 7
процессор,intel i3
оперативная память,2 gb
видео карта,intel hd graphics 4000 (sony)
,
windows_min_Breaking Newton,windows_min_Breaking Newton
операционная система,windows xp sp2+
процессор,intel centrino 2
оперативная память,1000 mb
видео карта,ati radeon hd 4850 o nvidia geforce 9600 gt
directx,version 9.0c
диск,250 mb
звуковая карта,tarjeta de sonido compatible con directx
,
windows_min_Deadly Dozen Reloaded,windows_min_Deadly Dozen Reloaded,windows_req_Deadly Dozen Reloaded,windows_req_Deadly Dozen Reloaded
операционная система,windows 10,операционная система,windows 10
процессор,intel core-i5 2550k 3.4ghz / amd fx 8120 3.1 ghz,процессор,intel core-i7 3770 3.4ghz / amd fx-8350 4.2ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 / amd radeon hd 7870,видео карта,nvidia geforce gtx 1080 / amd radeon rx 5700
directx,version 11,directx,version 11
диск,30 gb,диск,30 gb
,,,
windows_min_Milo,windows_min_Milo,windows_req_Milo,windows_req_Milo
операционная система,windows 7s,операционная система,windows 10s
процессор,intel core i3-530,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 2 go or amd radeon™ r9 270x with 2gb video,видео карта,nvidia geforce gtx 970 or amd radeon™ rx 580 with 4gb video
directx,version 11,directx,version 11
диск,3.5 gb,диск,3.5 gb
,,,
windows_min_Spy Network,windows_min_Spy Network,windows_req_Spy Network,windows_req_Spy Network
операционная система,macos 10.12,операционная система,—
процессор,core 2 duo,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,intel hd graphics 4000 or other shader model 4.0,видео карта,—
,,,
windows_min_Dumb Bomb Game,windows_min_Dumb Bomb Game
операционная система,windows 7
процессор,2.0ghz
оперативная память,512 mb
видео карта,almost anything
диск,150 mb
,
windows_min_Woodcutter Deluxe Edition,windows_min_Woodcutter Deluxe Edition,windows_req_Woodcutter Deluxe Edition,windows_req_Woodcutter Deluxe Edition
операционная система,windows 7/10/11 system,операционная система,windows 7/10/11 system
процессор,intel celeron dualcore 1.10ghz,процессор,intel celeron dualcore 1.10ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,integrated graphics,видео карта,integrated graphics
диск,100 mb,диск,100 mb
,,,
windows_min_DYMENSION Prologue:Scary Horror Survival Shooter,windows_min_DYMENSION Prologue:Scary Horror Survival Shooter,windows_req_DYMENSION Prologue:Scary Horror Survival Shooter,windows_req_DYMENSION Prologue:Scary Horror Survival Shooter
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590 / amd ryzen 5 1500x,процессор,intel core™ i7 3770 3.4ghz or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 with 3gb vram
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_American Theft 80s: Prologue,windows_min_American Theft 80s: Prologue,windows_req_American Theft 80s: Prologue,windows_req_American Theft 80s: Prologue
операционная система,windows 7,операционная система,windows 10
процессор,intel core i7,процессор,intel core i9
оперативная память,12 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1050,видео карта,nvidia geforce rtx 2060
диск,10 gb,диск,10 gb
,,,
windows_min_Infinite Voyager,windows_min_Infinite Voyager
операционная система,windows 8.1
процессор,intel corei5-3210m
оперативная память,6 gb
видео карта,intel hd graphics 4000
диск,680 mb
звуковая карта,idt high definition audio codec
,
windows_min_Ninja Noboken,windows_min_Ninja Noboken,windows_req_Ninja Noboken,windows_req_Ninja Noboken
операционная система,windows 7 / windows 10,операционная система,windows 10
процессор,"intel core i5 @ 3.3 ghz, or amd ryzen 3 @ 3.1 ghz",процессор,"intel core i7-6700k, or amd ryzen 7 1800x"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 650 ti, rx 460 (4gb)",видео карта,"nvidia geforce gtx 1060 (6gb), nvidia geforce 970 (4gb), amd rx 480 (8gb)"
диск,13 gb,диск,13 gb
,,,
windows_min_Swinging-Man,windows_min_Swinging-Man,windows_req_Swinging-Man,windows_req_Swinging-Man
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx660,видео карта,nvidia geforce gtx 1060
,,,
windows_min_YUZA,windows_min_YUZA
операционная система,windows 7
процессор,"intel x86 family, 2ghz"
оперативная память,1 gb
видео карта,opengl 2.0 supported graphics card
,
windows_min_Yeah Yeah Beebiss II,windows_min_Yeah Yeah Beebiss II,windows_req_Yeah Yeah Beebiss II,windows_req_Yeah Yeah Beebiss II
операционная система,"7, 8, 10, 11",операционная система,"7, 8, 10, 11"
процессор,core 2 duo,процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris plus graphics 645,видео карта,dedicated graphic card
directx,version 11,directx,version 11
,,,
