видео карта,nvidia 9800m gts or radeon hd 6770m,видео карта,nvidia gt 650m or 750m (strongly recommended),видео карта,nvidia geforce gt 650m,видео карта,nvidia geforce gt 750m,видео карта,nvidia geforce gt 650m,видео карта,nvidia geforce gt 750m
,,,,,,,,,,,
windows_min_Unexplored,windows_min_Unexplored,windows_req_Unexplored,windows_req_Unexplored,macos_min_Unexplored,macos_min_Unexplored,macos_req_Unexplored,macos_req_Unexplored,linux_min_Unexplored,linux_min_Unexplored,linux_req_Unexplored,linux_req_Unexplored
операционная система,windows 7,операционная система,windows 10,операционная система,10.9 mavericks,операционная система,—,операционная система,"glibc 2.17+, 32/",операционная система,—
процессор,1.6 ghz,процессор,2.6 ghz,процессор,1.6 ghz,процессор,—,процессор,1.6 ghz,процессор,—
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,3d graphics card,видео карта,3d graphics card,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,—,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,—
,,,,,,,,,,,
windows_min_Tomb Raider V: Chronicles,windows_min_Tomb Raider V: Chronicles
операционная система,windows xp / windows vista / windows 7
процессор,1.8 ghz
оперативная память,512 mb
видео карта,3d graphics card compatible with directx 7
directx,9.0
,
windows_min_TY the Tasmanian Tiger 2,windows_min_TY the Tasmanian Tiger 2,windows_req_TY the Tasmanian Tiger 2,windows_req_TY the Tasmanian Tiger 2
операционная система,"windows 7 sp1, windows 8/8.1 (32bit and 64bit), windows 10 (32bit and 64bit)",операционная система,"windows 7 sp1, windows 8/8.1 (32bit and 64bit), windows 10 (32bit and 64bit)"
процессор,intel core i3 / i5/i7 1.8 ghz cpu dual-core. amd 2.0 ghz dual-core.,процессор,intel quad-core 3.0 ghz or dual-core 3.2 ghz. amd 3.4 ghz quad-core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 260 / radeon hd 4000 series / intel hd graphics 4000 with opengl 3.3 minimum.,видео карта,nvidia geforce gtx 770 2gb / radeon hd 7970 3gb with opengl 3.3 minimum.
диск,3 gb,диск,3 gb
звуковая карта,directx 9.0c-compliant,звуковая карта,directx 9.0c-compliant
,,,
windows_min_LIBERATED,windows_min_LIBERATED,windows_req_LIBERATED,windows_req_LIBERATED
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,amd ryzen 3 or intel core i3 (3.0 ghz or higher),процессор,amd ryzen 5 or intel core i5 (3.2 ghz or higher)
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 660, amd radeon r7 370 with 2 gb of vram",видео карта,"nvidia geforce gtx 970, amd radeon rx 580 with 4 gb of vram"
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Fistful of Frags,windows_min_Fistful of Frags,windows_req_Fistful of Frags,windows_req_Fistful of Frags,macos_min_Fistful of Frags,macos_min_Fistful of Frags,macos_req_Fistful of Frags,macos_req_Fistful of Frags,linux_min_Fistful of Frags,linux_min_Fistful of Frags,linux_req_Fistful of Frags,linux_req_Fistful of Frags
операционная система,windows xp,операционная система,windows 7/8/10,операционная система,macos x 10.7.x (64bit not supported!),операционная система,macos x 10.9.2 or higher,операционная система,ubuntu 12.04,операционная система,—
процессор,pentium 4 3.0ghz,процессор,intel core 2 duo 2.4ghz,оперативная память,1 gb,оперативная память,2 gb,процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,2000 mb,оперативная память,4 gb,видео карта,"nvidia geforce 8 or higher, ati x1600 or higher, or intel hd 3000 or higher",видео карта,—,оперативная память,2 gb,оперативная память,—
