операционная система,windows 7/8.1/10,операционная система,osx 10.9 or higher,операционная система,ubuntu equivalent distro
процессор,intel core i5,процессор,intel core i5,процессор,intel core i5
оперативная память,8 mb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"2gb of video memory, nvidia geforce gtx 660, amd radeon hd7870",видео карта,opengl 3 compatible gpu with 2gb video,видео карта,opengl 3 compatible gpu with 2gb video
directx,version 11,диск,6 gb,диск,6 gb
диск,6 mb,дополнительно,"required: keyboard and mouse with secondary click enabled or gamepad (such as ps3 controller, xbox 360 controller for windows or logitech gamepads).",,
звуковая карта,integrated audio interface,,,,
,,,,,
windows_min_Next Up Hero,windows_min_Next Up Hero
операционная система,"10.12, 10.13"
процессор,2.7 ghz intel core i5 (4 cores)
оперативная память,8 gb
видео карта,"radeon hd 6970m, geforce gtx 680mx, or intel iris pro (5200)"
сеть,широкополосное подключение
диск,5 gb
,
windows_min_LEGO Marvel Super Heroes DLC: Asgard Pack,windows_min_LEGO Marvel Super Heroes DLC: Asgard Pack,windows_req_LEGO Marvel Super Heroes DLC: Asgard Pack,windows_req_LEGO Marvel Super Heroes DLC: Asgard Pack
операционная система,10.8.5,операционная система,10.9.3
процессор,1.8 ghz intel core 2 duo (dual-core),процессор,2.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256mb vram,видео карта,1gb vram
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,8 gb
,,,
windows_min_Cosa Nostra,windows_min_Cosa Nostra,windows_req_Cosa Nostra,windows_req_Cosa Nostra
операционная система,windows 7,операционная система,windows 10
процессор,modern intel pentium or amd equivalent,процессор,intel core i3 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,dedicated graphics,видео карта,gtx 750ti or amd equivalent
directx,version 9.0,directx,version 12
,,,
windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Rathalos,windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Rathalos,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Rathalos,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Rathalos
