windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo
directx,version 9.0,directx,version 9.0
диск,3 gb,диск,3 gb
,,,
windows_min_Brawlhalla - Summer Championship 2018 Pack,windows_min_Brawlhalla - Summer Championship 2018 Pack
оперативная память,2 gb
,
windows_min_NosTale - Anime MMORPG,windows_min_NosTale - Anime MMORPG,windows_req_NosTale - Anime MMORPG,windows_req_NosTale - Anime MMORPG
операционная система,"windows vista, windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,pentium 3 800 mhz,процессор,intel i3
оперативная память,512 mb,оперативная память,2 gb
видео карта,geforce 2 mx,видео карта,gts 450
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Fallout New Vegas®: Gun Runners’ Arsenal™,windows_min_Fallout New Vegas®: Gun Runners’ Arsenal™
операционная система,windows 7/vista/xp
процессор,dual core 2.0ghz
оперативная память,2 gb
видео карта,"nvidia geforce 6 series, ati 1300xt series"
,
windows_min_Metal Soldiers 2,windows_min_Metal Soldiers 2
операционная система,"windows 7, 8, 10"
процессор,pentium 4 2.4ghz
оперативная память,1 gb
видео карта,intel hd graphics
directx,version 9.0c
,
windows_min_Fovos VR,windows_min_Fovos VR
операционная система,windows 7+
процессор,intel i5 4650 / amd fx-8320
оперативная память,6 gb
видео карта,nvidia 960 / amd 390
,
windows_min_Dying Light - Harran Inmate Bundle,windows_min_Dying Light - Harran Inmate Bundle,windows_req_Dying Light - Harran Inmate Bundle,windows_req_Dying Light - Harran Inmate Bundle
операционная система,windows 7 / windows 8 / windows 8.1,операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i5-2500 @3.3 ghz / amd fx-8320 @3.5 ghz,процессор,intel core™ i5-4670k @3.4 ghz / amd fx-8350 @4.0 ghz
оперативная память,4 gb ddr3,оперативная память,8 gb ddr3
диск,40 gb free space,диск,40 gb free space
видео карта,nvidia geforce gtx 560 / amd radeon™ hd 6870 (1gb vram),видео карта,nvidia geforce gtx 780 / amd radeon™ r9 290 (2gb vram)
directx,version 11,directx,version 11
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Freefall Tournament,windows_min_Freefall Tournament,windows_req_Freefall Tournament,windows_req_Freefall Tournament
операционная система,osx,операционная система,osx
процессор,minimal requirements,процессор,minimal requirements
оперативная память,2 gb,оперативная память,4 gb
видео карта,minimal requirements,видео карта,minimal requirements
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,100 mb,диск,100 mb
,,,
windows_min_Broken Spell 2,windows_min_Broken Spell 2,windows_req_Broken Spell 2,windows_req_Broken Spell 2
операционная система,windows 7 64bits,операционная система,windows 7 | windows 8 | windows 10
процессор,intel core™ duo or faster,процессор,intel core i5-2500k |; amd ryzen 5 1400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 |; amd radeon hd 7950,видео карта,nvidia geforce gtx 970 |; amd radeon rx 570
directx,version 11,directx,version 11
диск,7 gb,диск,7 gb
,,,
windows_min_Call of Duty®: Advanced Warfare - Canada Exoskeleton Pack,windows_min_Call of Duty®: Advanced Warfare - Canada Exoskeleton Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_BadRobots VR,windows_min_BadRobots VR
операционная система,windows 7/8/10 ()
процессор,intel i5-4590
оперативная память,8 gb
видео карта,"geforce gtx 980, amd radeon r9 290 or equivilent"
directx,version 11
,
windows_min_OrderVR,windows_min_OrderVR,windows_req_OrderVR,windows_req_OrderVR
операционная система,win7,операционная система,win10
процессор,intel i5-4590,процессор,intel i7
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290,видео карта,nvidia geforce gtx1070
directx,version 11,directx,version 11
,,,
windows_min_RE6 / BH6: Predator Mode,windows_min_RE6 / BH6: Predator Mode,windows_req_RE6 / BH6: Predator Mode,windows_req_RE6 / BH6: Predator Mode
операционная система,"windows vista/xp, windows 7, windows 8",операционная система,"windows vista/xp, windows 7, windows 8"
процессор,"intel coretm2 duo 2.4 ghz, amd athlontm x2 2.8 ghz",процессор,"intel coretm2 quad 2.7 ghz, amd phenomtm ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gts,видео карта,nvidia geforce gtx 560
directx,9.0c,directx,9.0c
диск,16 gb hd space,диск,16 gb hd space
звуковая карта,standard audio device,звуковая карта,standard audio device
,,,
windows_min_Overpass: Sites & Sounds Collection,windows_min_Overpass: Sites & Sounds Collection
операционная система,windows 7
процессор,dual core 2.4ghz
оперативная память,1 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10
,
windows_min_War Thunder - Sergei Dolgushin's La-7 Pack,windows_min_War Thunder - Sergei Dolgushin's La-7 Pack,windows_req_War Thunder - Sergei Dolgushin's La-7 Pack,windows_req_War Thunder - Sergei Dolgushin's La-7 Pack,macos_min_War Thunder - Sergei Dolgushin's La-7 Pack,macos_min_War Thunder - Sergei Dolgushin's La-7 Pack,macos_req_War Thunder - Sergei Dolgushin's La-7 Pack,macos_req_War Thunder - Sergei Dolgushin's La-7 Pack,linux_min_War Thunder - Sergei Dolgushin's La-7 Pack,linux_min_War Thunder - Sergei Dolgushin's La-7 Pack,linux_req_War Thunder - Sergei Dolgushin's La-7 Pack,linux_req_War Thunder - Sergei Dolgushin's La-7 Pack
операционная система,windows vista/7/8/10,операционная система,windows 7 64bit / 8 64bit / 10 64bit,операционная система,sierra 10.12,операционная система,sierra 10.12,операционная система,"most modern 64bit linux distributions, steamos",операционная система,"ubuntu 14.04 64bit, steamos"
процессор,"2,2 ghz",процессор,intel core i5,процессор,dual-core 2.4 ghz (xeon s not supported),процессор,intel core i7 (xeon s not supported),процессор,dual-core 2.4 ghz,процессор,intel core i7
оперативная память,4gb (windows vista/7/8/10),оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 4000 / amd radeon 46xx / nvidia geforce gt 520 (the minimum supported resolution for the game is 720p),видео карта,"nvidia geforce gtx 960 or higher, amd r9 280 or higher (directx 11 level video card and drivers)",видео карта,intel 4000 hd/radeon hd5550 / geforce 8800 (the minimum supported resolution for the game is 720p),видео карта,nvidia geforce gtx 680m or higher,видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months; the minimum supported resolution for the game is 720p),видео карта,nvidia 960 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months)
диск,8.46 gb hd space,диск,21 gb hd space,диск,8.61 gb hd space,диск,22.65 gb hd space,диск,8.6 gb hd space,диск,22.6 gb hd space
,,,,,,,,,,,
windows_min_Rising Storm 2: Vietnam - Sgt Joe's Support Bundle DLC,windows_min_Rising Storm 2: Vietnam - Sgt Joe's Support Bundle DLC,windows_req_Rising Storm 2: Vietnam - Sgt Joe's Support Bundle DLC,windows_req_Rising Storm 2: Vietnam - Sgt Joe's Support Bundle DLC
операционная система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)",операционная система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)"
процессор,intel core i3 @ 2.5ghz or amd phenom @ 2.5ghz,процессор,intel core i5 @ 3.2ghz or amd @ 4.0ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 460 or ati radeon hd 5850,видео карта,nvidia geforce gtx 760 or amd r9 270x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,60 gb
,,,
windows_min_Western Press - TF2 Heavy,windows_min_Western Press - TF2 Heavy,windows_req_Western Press - TF2 Heavy,windows_req_Western Press - TF2 Heavy
операционная система,osx 10.5+,операционная система,osx 10.5+
процессор,1.2 ghz or faster,процессор,1.2 ghz or faster
оперативная память,1 gb,оперативная память,1 gb
видео карта,256mb of video memory,видео карта,256mb of video memory
,,,
windows_min_Street Fighter V - Champion Edition Upgrade Kit,windows_min_Street Fighter V - Champion Edition Upgrade Kit,windows_req_Street Fighter V - Champion Edition Upgrade Kit,windows_req_Street Fighter V - Champion Edition Upgrade Kit
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, gtx 570, gtx 670,",видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
звуковая карта,directx compatible soundcard or onboard chipset,звуковая карта,directx compatible soundcard or onboard chipset
,,,
windows_min_Incoming Evil,windows_min_Incoming Evil
операционная система,"windows 7,8.1 or 10()"
процессор,i3 7100 or higher
оперативная память,4000 mb
видео карта,2 gb video or higher
directx,version 11
диск,2400 mb
,
windows_min_Heroes & Generals - GE Starter Pack,windows_min_Heroes & Generals - GE Starter Pack,windows_req_Heroes & Generals - GE Starter Pack,windows_req_Heroes & Generals - GE Starter Pack
операционная система,windows 7 and up,операционная система,windows 10 x64
процессор,2ghz cpu w. dual-core,процессор,intel i5 / amd ryzen 5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,ati hd 4810 / nvidia 9600gt or higher,видео карта,nvidia geforce gtx 560 / amd hd 6870 or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Beyond Senses,windows_min_Beyond Senses,windows_req_Beyond Senses,windows_req_Beyond Senses
операционная система,windows 7 / windows 8 / windows 10,операционная система,windows 7 / windows 8 / windows 10
процессор,dual core,процессор,quad core
оперативная память,6 gb,оперативная память,8 gb
видео карта,directx11 compatible graphic card,видео карта,directx11 compatible graphic card
directx,version 11,directx,version 11
диск,13 gb,диск,13 gb
,,,
windows_min_Call of Duty®: Advanced Warfare - Championship Premium Personalization Pack,windows_min_Call of Duty®: Advanced Warfare - Championship Premium Personalization Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,6 gb
звуковая карта,directx compatible
,
windows_min_Gun Range VR,windows_min_Gun Range VR,windows_req_Gun Range VR,windows_req_Gun Range VR
,,,
windows_min_Call of Duty®: Ghosts - Ducky Pack,windows_min_Call of Duty®: Ghosts - Ducky Pack,windows_req_Call of Duty®: Ghosts - Ducky Pack,windows_req_Call of Duty®: Ghosts - Ducky Pack
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
