оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960(4gb) or amd radeon r9 380 (4gb),видео карта,nvidia geforce rtx 2060 (high settings) or amd rx5700 (high settings)
directx,version 11,directx,version 11
,,,
windows_min_DEVOUR,windows_min_DEVOUR,windows_req_DEVOUR,windows_req_DEVOUR
операционная система,10.12.6,операционная система,10.14.x
процессор,intel i5,процессор,intel i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,3gb video,видео карта,4gb video
directx,version 11,directx,—
диск,4 gb,диск,4 gb
,,,
windows_min_The Evil Within,windows_min_The Evil Within,windows_req_The Evil Within,windows_req_The Evil Within
операционная система,windows 7 sp1/windows 8.1,операционная система,windows 7 sp1/windows 8.1
процессор,i7 or an equivalent with four plus core,процессор,i7 with four plus cores
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 460 1 gb vram card,видео карта,geforce gtx 670 with 4gbs of vram
directx,version 11,directx,version 11
диск,50 gb,диск,50 gb
,,,
windows_min_BIGFOOT,windows_min_BIGFOOT,windows_req_BIGFOOT,windows_req_BIGFOOT
операционная система,"windows 7, 8.1, 10, 11 (only 64bit)",операционная система,"windows 10, 11 (only 64bit)"
процессор,"intel i3 8130u(2cores, 2.3ghz)",процессор,intel core i7 (64bit)
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 730,видео карта,nvidia geforce gtx 980
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Warhammer: End Times - Vermintide,windows_min_Warhammer: End Times - Vermintide,windows_req_Warhammer: End Times - Vermintide,windows_req_Warhammer: End Times - Vermintide
операционная система,"windows 7, windows 8/8.1, windows 10 *",операционная система,"windows 7, windows 8/8.1, windows 10 *"
процессор,intel core2 quad q9500 @ 2.83ghz or amd phenom ii x4 940,процессор,intel core i7-4790k @ 4.00 ghz or amd fx-9590 @ 4.7 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 1gb vram,видео карта,nvidia geforce gtx 780 or amd gpu radeon r9 290
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_DRAGON BALL XENOVERSE,windows_min_DRAGON BALL XENOVERSE,windows_req_DRAGON BALL XENOVERSE,windows_req_DRAGON BALL XENOVERSE
операционная система,windows vista (x64) / windows 7 (x64),операционная система,windows vista (x64) / windows 7 (x64) / windows 8 (x64)
процессор,"intel core 2 duo 2.4ghz / amd athlon 64 x2 5200+, 2.6ghz",процессор,"intel core i3-530, 2.93 ghz / amd phenom ii x4 940, 3.0ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb nvidia geforce 8800 / ati radeon hd 3870,видео карта,1 gb nvidia geforce gtx 550ti / amd radeon hd 6790
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
