процессор,1.7 ghz,процессор,"pentium 4 (3.0ghz,"
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 mb
видео карта,directx 8.1 level graphics card (requires support for sse),видео карта,directx 9 level graphics card
directx,version 8.1,directx,version 9.0
,,,
windows_min_Rising Storm 2: Vietnam - Specialist Pack Cosmetic DLC,windows_min_Rising Storm 2: Vietnam - Specialist Pack Cosmetic DLC,windows_req_Rising Storm 2: Vietnam - Specialist Pack Cosmetic DLC,windows_req_Rising Storm 2: Vietnam - Specialist Pack Cosmetic DLC
операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)",операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)"
процессор,intel core i3 @ 2.5ghz or amd phenom @ 2.5ghz,процессор,intel core i5 @ 3.2ghz or amd @ 4.0ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gtx 460 or ati radeon hd 5850,видео карта,nvidia geforce gtx 760 or amd r9 270x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,60 gb
,,,
windows_min_HITMANЩ†2 - Himmelstein,windows_min_HITMANЩ†2 - Himmelstein,windows_req_HITMANЩ†2 - Himmelstein,windows_req_HITMANЩ†2 - Himmelstein
операционна€ система,os windows 7,операционна€ система,os windows 7 / windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 1070 / amd gpu radeon rx vega 56 8gb
directx,version 11,directx,version 11
,,,
windows_min_TITAN HUNTER,windows_min_TITAN HUNTER,windows_req_TITAN HUNTER,windows_req_TITAN HUNTER
операционна€ система,windows 7/8/10,операционна€ система,windows 7/8/10
процессор,intel core 2 duo e6320 (2*1866),процессор,intel i3 @ 2.5 ghz or amd equivalent
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb
видео карта,geforce 7600 gs (512 mb),видео карта,geforce 7600 gs (512 mb)
,,,
windows_min_Star Rogue,windows_min_Star Rogue,windows_req_Star Rogue,windows_req_Star Rogue
операционна€ система,any linux distribution,операционна€ система,any linux distribution
процессор,2.5 ghz,процессор,2.5 ghz
оперативна€ пам€ть,1 mb,оперативна€ пам€ть,2 mb
видео карта,256 mb,видео карта,1 gb
directx,version 8.0,directx,version 8.0
,,,
"windows_min_Gigantus Tank, EDF IFPS Markings","windows_min_Gigantus Tank, EDF IFPS Markings","windows_req_Gigantus Tank, EDF IFPS Markings","windows_req_Gigantus Tank, EDF IFPS Markings"
операционна€ система,"windows 7 64bit, windows 8.1 64bit windows 10 64bit",операционна€ система,"windows 7 64bit, windows 8.1 64bit windows 10 64bit"
процессор,3 ghz 2 core,процессор,3.2ghz 4core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,amd radeon hd 7870,видео карта,amd radeon hd 7970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Call of DutyЃ: Ghosts - Rorke Special Character,windows_min_Call of DutyЃ: Ghosts - Rorke Special Character,windows_req_Call of DutyЃ: Ghosts - Rorke Special Character,windows_req_Call of DutyЃ: Ghosts - Rorke Special Character
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Babel Rising,windows_min_Babel Rising,windows_req_Babel Rising,windows_req_Babel Rising
операционна€ система,mac os x lion 10.7.4,операционна€ система,mac os x lion 10.7.4
процессор,intel core 2 duo @ 2.53ghz,процессор,2.66 ghz intel core i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce 9400 256mb,видео карта,amd radeon hd 4850 512 mb
directx,9.0,directx,9.0
диск,500 mb or more,диск,1 gb supported video cards at time of release: ati radeon hd 2600xt / 3000 / 4000 / 5000 / 6000 / 7000 series nvidia geforce 7600gs / 8 / 9 / 100 / 200 ...  / 400 / 500 / 600 series laptop versions of these cards may work but are not supported. these chipsets are the only ones that will run this game.  еще
,,,
windows_min_Mega Man X8 Sound Collection,windows_min_Mega Man X8 Sound Collection,windows_req_Mega Man X8 Sound Collection,windows_req_Mega Man X8 Sound Collection
операционна€ система,windows 7 (64bit),операционна€ система,windows10 (64bit)
процессор,intel coreЩ i3 550 3.2ghz or amd equivalent,процессор,intel coreЩ i5 3570 3.4ghz or amd equivalent
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 660 or ati radeonЩ hd 7850,видео карта,nvidia geforce gtx 760
directx,version 10,directx,version 11
диск,471 mb,диск,7000 mb
storage (high-quality audio),additional 572 mb,storage (high-quality audio),Ч
звукова€ карта,directsound (directx 10.0c ),звукова€ карта,directsound (directx 10.0c )
,,,
windows_min_Call of DutyЃ: Black Ops II - Uprising,windows_min_Call of DutyЃ: Black Ops II - Uprising
операционна€ система,windows vista sp2 or windows 7
процессор,intel core 2 duo e8200 2.66 ghz or amd phenom x3 8750 2.4 ghz
оперативна€ пам€ть,2 gb
видео карта,nvidia geforce 8800gt 512 mb or ati radeon hd 3870 512 mb
directxЃ,9.0c
диск,16 gb hd space
звукова€ карта,directx 9.0c-compatible
,
windows_min_Golden AxeЩ II,windows_min_Golden AxeЩ II,windows_req_Golden AxeЩ II,windows_req_Golden AxeЩ II
операционна€ система,windows xp or higher,операционна€ система,windows xp or higher
видео карта,32mb graphics card,видео карта,Ч
directx,directx 9.0,directx,directx 9c
диск,50mb free disc space,диск,50mb free disc space
,,,
windows_min_One Piece Burning Blood Gold Pack,windows_min_One Piece Burning Blood Gold Pack,windows_req_One Piece Burning Blood Gold Pack,windows_req_One Piece Burning Blood Gold Pack
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i3-4170 @ 3.70ghz,процессор,intel core i5-4690k @3.50ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia@ geforce@ gtx 460,видео карта,intel core i5-4690k @3.50ghz
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
,,,
windows_min_Elite Battle : Rio,windows_min_Elite Battle : Rio,windows_req_Elite Battle : Rio,windows_req_Elite Battle : Rio
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i7,процессор,intel core i7
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gforce 950 or higher,видео карта,nvidia gforce 950 or higher
directx,version 11,directx,version 12
,,,
windows_min_Tom Clancy's Rainbow SixЃ Siege - Fuze Ghost Recon set,windows_min_Tom Clancy's Rainbow SixЃ Siege - Fuze Ghost Recon set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Fuze Ghost Recon set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Fuze Ghost Recon set
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
,,,
windows_min_MORTEM,windows_min_MORTEM,windows_req_MORTEM,windows_req_MORTEM
операционна€ система,windows 7 sp1,операционна€ система,windows 10
процессор,"dual-core intel or amd, 2.5 ghz or faster",процессор,"dual-core intel or amd, 2.5 ghz or faster"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,directx 11 compatible graphics card,видео карта,Ч
directx,version 11,directx,version 11
,,,
windows_min_Final Strike,windows_min_Final Strike,windows_req_Final Strike,windows_req_Final Strike
операционна€ система,"windows xp, windows vista, windows 7, 8 (32 or versions, optimized for and multicore s )",операционна€ система,"windows vista, windows 7, 8 (32 or versions, optimized for and multicore s )"
процессор,intel core 2 duo 1.8ghz or amd athlon x2 2.4 ghz,процессор,"intel core 2 quad 2.7ghz, amd phenom ii x4 3ghz"
оперативна€ пам€ть,2 gb mb,оперативна€ пам€ть,4 gb mb
видео карта,nvidia geforce 8800gt and higher ; ati radeon hd 3850 and higher,видео карта,nvidia geforce 8800gt and higher ; ati radeon hd 3850
directx,version 9.0,directx,version 11
диск,2 gb hd space mb,диск,2 gb hd space mb
,,,
windows_min_AssassinТs CreedЃIV Black FlagЩ - Illustrious Pirates Pack,windows_min_AssassinТs CreedЃIV Black FlagЩ - Illustrious Pirates Pack,windows_req_AssassinТs CreedЃIV Black FlagЩ - Illustrious Pirates Pack,windows_req_AssassinТs CreedЃIV Black FlagЩ - Illustrious Pirates Pack
операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions),операционна€ система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions)
процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz,процессор,intel core i5 2400s @ 2.5 ghz or amd phenom ii x4 940 @ 3.0 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 260 or amd radeon hd 4870 (512mb vram with shader model 4.0 or higher),видео карта,nvidia geforce gtx 470 or amd radeon hd 5850 (1024mb vram with shader model 5.0)
диск,30 gb,диск,30 gb
звукова€ карта,directx compatible sound card with latest drivers,звукова€ карта,directx compatible sound card with latest drivers
,,,
windows_min_Tom Clancy's Ghost ReconЃ Desert SiegeЩ,windows_min_Tom Clancy's Ghost ReconЃ Desert SiegeЩ
операционна€ система,microsoft windowsЃ 2000/xp
процессор,"pentiumЃ ii 450 mhz, amd k6 iii 500,"
system memory,128 mb of or above
видео карта,16 mb directxЃ 8.0-compliant 3d card; voodoo&trade; cards not supported
звукова€ карта,directx 8.0-compliant sound card
directx,directxЃ version 8.0 or higher
диск,2 gb available hard disk space
multiplay,properly configured tcp/ip connection at 56 kbps or faster
,
windows_min_Regenesis Arcade,windows_min_Regenesis Arcade,windows_req_Regenesis Arcade,windows_req_Regenesis Arcade
операционна€ система,windows 7 sp1 / 8.1 / 10 (),операционна€ система,windows 7 sp1 / 8.1 / 10 ()
процессор,"intel i5-4590, amd fx 8350 equivalent",процессор,intel i7-6700 equivalent
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,"nvidia geforce gtx 980, amd radeon r9 290 equivalent",видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_Secret World Legends: Dawn of the Morninglight CollectorТs Edition,windows_min_Secret World Legends: Dawn of the Morninglight CollectorТs Edition,windows_req_Secret World Legends: Dawn of the Morninglight CollectorТs Edition,windows_req_Secret World Legends: Dawn of the Morninglight CollectorТs Edition
операционна€ система,windows 10 / windows xp (sp 1) / vista (sp 1) / windows 7 (sp 1),операционна€ система,windows 10 is highly-recommended
процессор,2.6 ghz intel core 2 duo amd cpu,процессор,intel core i5 3.0ghz
оперативна€ пам€ть,at least 2gb for windows xp / 3gb for windows vista and windows 7,оперативна€ пам€ть,6gb
диск,6.4gb download (13.7 on disk),диск,6.4gb download (13.7 on disk)
видео карта,nvidia 8800 series 512 vram /radeon hd3850 512mb,видео карта,nvidia gtx 560 ti 1gb
directx,9.0c,directx,11.0
,,,
windows_min_SWR JST DX Selective Memory Erase Effect,windows_min_SWR JST DX Selective Memory Erase Effect
операционна€ система,windows xp
процессор,1ghz
оперативна€ пам€ть,512 mb
,
