windows_min_Zaccaria Pinball - Nautilus 2018 Table,windows_min_Zaccaria Pinball - Nautilus 2018 Table,macos_min_Zaccaria Pinball - Nautilus 2018 Table,macos_min_Zaccaria Pinball - Nautilus 2018 Table,linux_min_Zaccaria Pinball - Nautilus 2018 Table,linux_min_Zaccaria Pinball - Nautilus 2018 Table
операционная система,windows 7 / windows 8 / windows 10,операционная система,mac os x 10.12,операционная система,ubuntu 14.04 or steamos 2.0 ()
процессор,dual core 1.6 ghz,процессор,dual core 1.6 ghz,процессор,dual core 1.6 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics 3000,видео карта,intel hd graphics 3000,видео карта,intel hd graphics 3000
диск,1 gb,диск,1 gb,диск,1 gb
,,,,,
windows_min_Streets of Rage 2,windows_min_Streets of Rage 2,windows_req_Streets of Rage 2,windows_req_Streets of Rage 2
операционная система,windows xp or higher,операционная система,windows xp or higher
видео карта,32mb graphics card,видео карта,—
directx,directx 9.0,directx,directx 9c
диск,50mb free disc space,диск,50mb free disc space
,,,
windows_min_The Parallax Effect,windows_min_The Parallax Effect,windows_req_The Parallax Effect,windows_req_The Parallax Effect
операционная система,windows 7,операционная система,windows 10
процессор,core i5 2.4 ghz,процессор,core i7 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia gtx 760, amd radeon 7870 (at least 2gb of dedicated vram)",видео карта,nvidia gtx 970 / amd radeon 7950 (3gb of dedicated vram or more)
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,7 gb
,,,
windows_min_HORROR OF THE DEEP,windows_min_HORROR OF THE DEEP,windows_req_HORROR OF THE DEEP,windows_req_HORROR OF THE DEEP
операционная система,macos x,операционная система,—
процессор,i5,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,opengl 4.1 - ati radeon hd 5670,видео карта,—
directx,version 9.0,directx,version 11
диск,6 gb,диск,—
звуковая карта,"yes, please.",звуковая карта,—
,,,
windows_min_Super Neptunia RPG Swimsuit Set,windows_min_Super Neptunia RPG Swimsuit Set,windows_req_Super Neptunia RPG Swimsuit Set,windows_req_Super Neptunia RPG Swimsuit Set
операционная система,"windows 7, 32bit, 64bit (directx 12 equivalent)",операционная система,windows 10 64bit (directx 12 equivalent)
процессор,intel i5 2.3ghz or amd a9 2.9ghz equivalent,процессор,intel i5 3.3ghz or amd fx-8350 4.0ghz equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,"ati mobility radeon hd 5xxx, 1gb vram 5000",видео карта,nvidia geforce gtx 960ati mobility radeon r9 290
,,,
windows_min_Light Strike Array,windows_min_Light Strike Array
операционная система,windows 10
процессор,intel i5
оперативная память,4 gb
видео карта,nvidia gtx 1070 or similar
сеть,широкополосное подключение
,
windows_min_All Evil Night 2,windows_min_All Evil Night 2,windows_req_All Evil Night 2,windows_req_All Evil Night 2
операционная система,"ubuntu 12.04+, steamos+.",операционная система,"ubuntu 12.04+, steamos+."
процессор,2 ghz,процессор,3 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,graphics card: dx9,видео карта,graphics card: dx10
