windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
видео карта,nvidia 1060 or amd equivillant,видео карта,nvidia 20 series card or amd
directx,version 11,directx,version 12
,,,
windows_min_Tom Clancy's Ghost Recon® Island Thunder™,windows_min_Tom Clancy's Ghost Recon® Island Thunder™
операционная система,microsoft windows® 2000/xp
процессор,"pentium® ii 450 mhz, amd k6 iii 500,"
system memory,128 mb of or above
видео карта,16 mb directx® 8.0-compliant 3d card; voodoo&trade; cards not supported
звуковая карта,directx 8.0-compliant sound card
directx,directx® version 8.0 or higher
диск,2 gb available hard disk space
multiplay,properly configured tcp/ip connection at 56 kbps or faster
,
windows_min_Rumble Arena,windows_min_Rumble Arena,windows_req_Rumble Arena,windows_req_Rumble Arena,macos_min_Rumble Arena,macos_min_Rumble Arena,macos_req_Rumble Arena,macos_req_Rumble Arena,linux_min_Rumble Arena,linux_min_Rumble Arena,linux_req_Rumble Arena,linux_req_Rumble Arena
операционная система,"windows 7 sp1, 8 or 10",операционная система,"windows 7 sp1, 8 or 10",операционная система,"macos 10.12: sierra, macos 10.13: high sierra, macos 10.14: mojave or macos 10.15 catalina",операционная система,"macos 10.12: sierra, macos 10.13: high sierra, macos 10.14: mojave or macos 10.15 catalina",операционная система,"debian 9.x, ubuntu 16.x, steamos",операционная система,"debian 9.x, ubuntu 16.x, steamos"
процессор,2.5 ghz intel core i3,процессор,3.9 ghz intel core i5,процессор,2.5 ghz intel core i3,процессор,3.9 ghz intel core i5,процессор,2.5 ghz intel core i3,процессор,3.9 ghz intel core i5
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
диск,500 mb,диск,1 gb,диск,500 mb,диск,1 gb,диск,500 mb,диск,1 gb
,,,,,,,,,,,
windows_min_Professional Fishing,windows_min_Professional Fishing,windows_req_Professional Fishing,windows_req_Professional Fishing
операционная система,windows 7/8/8.1/10 (x64 x86),операционная система,windows 7/8/8.1/10 (x64 x86)
процессор,core i5 / ryzen 5,процессор,core i5 / ryzen 5
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 2gb,видео карта,geforce gtx 970 4gb
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,9 gb,диск,9 gb
,,,
windows_min_Mortal Blitz,windows_min_Mortal Blitz,windows_req_Mortal Blitz,windows_req_Mortal Blitz
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 980 ti
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_City Gangs San Andreas,windows_min_City Gangs San Andreas
процессор,2 ghz intel pentium 4 or amd athlon
оперативная память,2 gb
видео карта,intel hd graphique
диск,160 mb
,
windows_min_Block Granny Horror Survival,windows_min_Block Granny Horror Survival
операционная система,os x 10.5 - leopard
процессор,intel core 2 duo 2ghz+
оперативная память,2 gb
видео карта,128 mb video card
диск,200 mb
,
windows_min_The Perfect Sniper,windows_min_The Perfect Sniper
операционная система,10
процессор,i5-4590
оперативная память,8 gb
видео карта,nvidia gtx 970
,
windows_min_Resolutiion,windows_min_Resolutiion,windows_req_Resolutiion,windows_req_Resolutiion,macos_min_Resolutiion,macos_min_Resolutiion,macos_req_Resolutiion,macos_req_Resolutiion,linux_min_Resolutiion,linux_min_Resolutiion,linux_req_Resolutiion,linux_req_Resolutiion
