операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,3.2 ghz dual core,процессор,3.2 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 660, radeon r7 370 with 2 gb of video",видео карта,"geforce 970, radeon rx 580 with 4gb of video"
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Of Orcs And Men,windows_min_Of Orcs And Men
операционная система,windows xp sp3/windows vista sp2/windows 7
процессор,amd/intel dual-core 2 ghz
оперативная память,2048 mb
видео карта,512 mb 100% directx 9 and shaders 4.0 compatible ati radeon hd 3850 / nvidia geforce 8800 gt or higher
directx,9.0c
диск,6 gb hd space
,
windows_min_WARNO,windows_min_WARNO,windows_req_WARNO,windows_req_WARNO
операционная система,windows 11 / 10 / 8.1 / 7 with service pack 1,операционная система,windows 11 / 10 / 8.1 / 7 with service pack 1
процессор,"tbd, we aim for minimum system requirements similar to steel division 2",процессор,"4 cores intel | amd cpu (intel i3-8100, amd ryzen 3 1200)"
видео карта,"tbd, we aim for minimum system requirements similar to steel division 2",видео карта,"nvidia geforce gtx 1060 3 gb (legacy: nvidia geforce gtx 780), amd radeon rx 580 (legacy: amd radeon r9 290x)"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
"windows_min_Cook, Serve, Delicious! 3?!","windows_min_Cook, Serve, Delicious! 3?!","windows_req_Cook, Serve, Delicious! 3?!","windows_req_Cook, Serve, Delicious! 3?!"
операционная система,mac os x 10.8 and above,операционная система,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,gpu with at least 256mb of vram,видео карта,gpu with at least 512mb of vram
диск,1200 mb,диск,1200 mb
,,,
windows_min_Manhunt,windows_min_Manhunt
операционная система,microsoft windows 2000/xp only
процессор,2ghz intel pentium 4 or amd athlon xp 2000+ ()
оперативная память,512mb
видео карта,64mb 3d card
directx,microsoft directx 8.1
диск,2.3 gb uncompressed free hard disk space
,
windows_min_ONE PIECE World Seeker,windows_min_ONE PIECE World Seeker,windows_req_ONE PIECE World Seeker,windows_req_ONE PIECE World Seeker
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel core i5-2300 or amd a10-7850k,процессор,intel core i7-3770 or amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 or radeon hd 7950,видео карта,geforce gtx 1060 or radeon rx 580
directx,version 11,directx,version 11
,,,
windows_min_Deadfall Adventures,windows_min_Deadfall Adventures,windows_req_Deadfall Adventures,windows_req_Deadfall Adventures
операционная система,"windows xp sp 3, windows vista/7/8",операционная система,windows 7/8
процессор,intel core 2 duo @ 2 ghz / amd athlon 64 x2 equivalent,процессор,2.6 ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 9600gt / ati radeon hd 3830, 256 mb vram, shader model 3 support",видео карта,"nvidia geforce gtx 460 / ati radeon hd 5850, 1 gb vram, shader model 3 support"
directx,9.0c,directx,9.0c
диск,6.5 gb hd space,диск,6.5 gb hd space
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Lost Ruins,windows_min_Lost Ruins,windows_req_Lost Ruins,windows_req_Lost Ruins
операционная система,windows 7,операционная система,windows 7
процессор,1.6 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,512mb,видео карта,1gb
directx,version 11,directx,version 11
диск,600 mb,диск,1 gb
,,,
windows_min_VR Dungeon Knight,windows_min_VR Dungeon Knight,windows_req_VR Dungeon Knight,windows_req_VR Dungeon Knight
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel(r) core(tm) i7-7700hq cpu @ 2.81 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon r9 390 or nvidia geforce gtx 980,видео карта,nvidia geforce gtx 1070
диск,3 gb,диск,3 gb
,,,
windows_min_How To Survive: Third Person Standalone,windows_min_How To Survive: Third Person Standalone
операционная система,windows xp
процессор,intel core 2 duo
оперативная память,4 gb
видео карта,ati 5700 series/nvidia geforce gt240
сеть,широкополосное подключение
,
windows_min_ELDERBORN,windows_min_ELDERBORN
операционная система,"windows 7, 8.1, 10"
процессор,intel core i5-7500
оперативная память,4 gb
видео карта,nvidia geforce gtx 780m
,
windows_min_CastleStorm,windows_min_CastleStorm,windows_req_CastleStorm,windows_req_CastleStorm
операционная система,windows xp/windows vista/windows 7/windows 8,операционная система,windows xp/windows vista/windows 7/windows 8
процессор,single core cpu @ 1.6ghz,процессор,dual core cpu @ 2.00ghz
оперативная память,512 mb,оперативная память,1024 mb
видео карта,geforce 6600 / radeon 9800 / intel hd 2000,видео карта,geforce 8600 / radeon hd 3670 / intel hd 4000
directx,9.0,directx,9.0c
диск,500 mb hd space,диск,800 mb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Oddworld: Stranger's Wrath HD,windows_min_Oddworld: Stranger's Wrath HD
операционная система,windows xp/vista/7
процессор,intel core 2+
оперативная память,2 gb
видео карта,nvidia 6600 or ati x1600 (256 mb+)
directx,9
диск,4 gb
звуковая карта,any directx 9 compatible sound card
,
windows_min_MegaTagmension Blanc + Neptune VS Zombies (Neptunia),windows_min_MegaTagmension Blanc + Neptune VS Zombies (Neptunia),windows_req_MegaTagmension Blanc + Neptune VS Zombies (Neptunia),windows_req_MegaTagmension Blanc + Neptune VS Zombies (Neptunia)
операционная система,windows 7 (),операционная система,windows 10 home ()
процессор,3 ghz intel i3,процессор,intel(r) core(tm) i5-4460 cpu @ 3.20ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 10.x or opengl 3.3 graphics card with 1 gb and support for v4 shaders,видео карта,nvidia geforce gtx 960
directx,version 10,directx,version 10
диск,3 gb,диск,3 gb
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Assault Android Cactus+,windows_min_Assault Android Cactus+,windows_req_Assault Android Cactus+,windows_req_Assault Android Cactus+,macos_min_Assault Android Cactus+,macos_min_Assault Android Cactus+,macos_req_Assault Android Cactus+,macos_req_Assault Android Cactus+,linux_min_Assault Android Cactus+,linux_min_Assault Android Cactus+,linux_req_Assault Android Cactus+,linux_req_Assault Android Cactus+
операционная система,windows vista,операционная система,windows 7,операционная система,lion,операционная система,mountain lion,операционная система,ubuntu 12.04,операционная система,—
процессор,core 2 duo,процессор,core i5,процессор,intel dual core,процессор,intel quad core,процессор,core 2 duo,процессор,core i5
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,nvidia geforce gtx 460 or amd radeon hd6850,видео карта,intel hd 4000,видео карта,ati radeon hd 5870,видео карта,intel hd 4000,видео карта,nvidia gtx 460
directx,version 11,directx,version 11,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Dying Light: Bad Blood,windows_min_Dying Light: Bad Blood,windows_req_Dying Light: Bad Blood,windows_req_Dying Light: Bad Blood
операционная система,"windows 10,8,7 ()",операционная система,"windows 10,8,7 ()"
процессор,intel core™ i5-2500 @3.3 ghz / amd fx-8320 @3.5 ghz,процессор,intel core™ i5-4670k @3.4 ghz / amd fx-8350 @4.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560 / amd radeon™ hd 6870 (1gb vram),видео карта,nvidia geforce gtx 780 / amd radeon™ r9 290 (2gb vram)
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
,,,
windows_min_Fresh Body,windows_min_Fresh Body
операционная система,windows 7/windows 8/windows 10
процессор,2.00+ ghz
оперативная память,2 gb
видео карта,radeon hd5450 ; 256 mb or higher
directx,version 9.0c
диск,400 mb
,
windows_min_Divekick,windows_min_Divekick
операционная система,vista
процессор,intel or amd dual core
оперативная память,2 gb
видео карта,directx 10 / directx 11 compliant video card
directx,version 10
сеть,широкополосное подключение
диск,2 gb
звуковая карта,directx 10 compliant
,
windows_min_The District,windows_min_The District,windows_req_The District,windows_req_The District
операционная система,windows vista,операционная система,windows 7
процессор,intel core 2 quad 2ghz or higher,процессор,intel core i5 2.5 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia, amd, or intel hd graphics with opengl support, at least 1024mb graphics memory",видео карта,"nvidia or amd with opengl support, 2gb graphics memory"
directx,version 9.0,directx,version 11
,,,
windows_min_Toy Soldiers,windows_min_Toy Soldiers,windows_req_Toy Soldiers,windows_req_Toy Soldiers
операционная система,windows xp (service pack 3) *,операционная система,windows 7 (service pack 1)
процессор,2.0 ghz,процессор,2.0 ghz (dual core recommended)
оперативная память,2 gb,оперативная память,4 gb
видео карта,1 gb dedicated graphics card with shader model 3.0 or higher**,видео карта,2 gb dedicated graphics card with shader model 3.0 or higher**
directx,9.0c,directx,9.0c
звуковая карта,directx 9.0 compliant sound card,звуковая карта,—
,,,
windows_min_Chivalry: Deadliest Warrior,windows_min_Chivalry: Deadliest Warrior,macos_min_Chivalry: Deadliest Warrior,macos_min_Chivalry: Deadliest Warrior,linux_min_Chivalry: Deadliest Warrior,linux_min_Chivalry: Deadliest Warrior
операционная система,windows vista,операционная система,os x 10.9.5,операционная система,steam os
процессор,intel core 2 duo 2.4 ghz or amd athlon x2 2.7 ghz (a dual-core cpu is required),процессор,"intel core i7, 2.5 ghz",процессор,intel core 2 duo 2.6 ghz or amd athlon x2 2.8 ghz (a dual-core cpu is required)
оперативная память,2 gb,оперативная память,4 gb,видео карта,"ati radeon hd 4850, or nvidia geforce 9800 gt . (with respective proprietary drivers). 512mb vram."
видео карта,"ati radeon 3870 or higher, nvidia geforce 8800 gt or higher. 512mb vram",видео карта,nvidia geforce 750m,сеть,широкополосное подключение
directx,version 9.0c,сеть,широкополосное подключение,диск,7 gb
сеть,широкополосное подключение,диск,7 gb,дополнительно,requires steam client + runtime environment
,,,,,
windows_min_Haunt the House: Terrortown,windows_min_Haunt the House: Terrortown
операционная система,mac os x v10.6
процессор,intel core™ duo 1.83ghz or faster
оперативная память,512 mb
,
windows_min_PARTICLE MACE,windows_min_PARTICLE MACE,windows_req_PARTICLE MACE,windows_req_PARTICLE MACE
операционная система,os x,операционная система,—
оперативная память,2 gb,оперативная память,—
,,,
windows_min_Kill It With Fire,windows_min_Kill It With Fire,windows_req_Kill It With Fire,windows_req_Kill It With Fire
операционная система,windows 7,операционная система,windows 10
процессор,2.4 ghz dual core,процессор,2.4 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 760,видео карта,gtx 1060
диск,2 gb,диск,2 gb
,,,
windows_min_Path of Exile,windows_min_Path of Exile,windows_req_Path of Exile,windows_req_Path of Exile
операционная система,macos 10.13,операционная система,macos 10.15
процессор,2.6ghz quad-core intel core i7,процессор,2.6ghz hex-core intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,radeon pro 450,видео карта,radeon pro 555x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Blood: One Unit Whole Blood,windows_min_Blood: One Unit Whole Blood,windows_req_Blood: One Unit Whole Blood,windows_req_Blood: One Unit Whole Blood
операционная система,windows xp or windows vista,операционная система,—
процессор,1 ghz,процессор,1.4 ghz recommended
оперативная память,256 mb,оперативная память,512 mb
видео карта,3d graphics card compatible with directx 7,видео карта,3d graphics card compatible with directx 9 recommended
,,,
windows_min_TOKYO GHOUL:re [CALL to EXIST],windows_min_TOKYO GHOUL:re [CALL to EXIST],windows_req_TOKYO GHOUL:re [CALL to EXIST],windows_req_TOKYO GHOUL:re [CALL to EXIST]
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel core i5-2300 or amd fx-4350,процессор,intel core i5-2550 or amd fx-6300
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 1050 or radeon hd 7870,видео карта,geforce gtx 770 or radeon r9 290
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Heavy Bullets,windows_min_Heavy Bullets,macos_min_Heavy Bullets,macos_min_Heavy Bullets,linux_min_Heavy Bullets,linux_min_Heavy Bullets
операционная система,windows xp,операционная система,10.6,операционная система,ubuntu 13.04
процессор,2.0 ghz intel core 2 duo,процессор,2.0 ghz intel core 2 duo,процессор,2.0 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx9 - nvidia / ati / integrated,диск,300 mb,диск,300 mb
directx,version 9.0,,,,
,,,,,
windows_min_TAPSONIC BOLD,windows_min_TAPSONIC BOLD,windows_req_TAPSONIC BOLD,windows_req_TAPSONIC BOLD
операционная система,"windows 7, 8.1, 10 (64bit)",операционная система,windows 10 (64bit)
процессор,intel core 2 duo e8400 3.0ghz amd athlon 64 x2 6000+ 3.0ghz,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce 700 series or amd rx200 series,видео карта,—
directx,version 11,directx,version 12
диск,6 gb,диск,10 gb
звуковая карта,directx 11 compatible,звуковая карта,—
,,,
windows_min_American Fugitive,windows_min_American Fugitive,windows_req_American Fugitive,windows_req_American Fugitive
операционная система,"windows 7, 8, 8.1, 10 x64",операционная система,"windows 7, 8, 8.1, 10 x64"
процессор,intel core2 quad q9550 (4 * 2830) / amd athlon x4 740 (4 * 3200),процессор,intel core i5-760 (4 * 2800) / amd phenom ii x4 965 (4 * 3400)
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 460 (1024 mb) / radeon 7770 (1024 mb),видео карта,geforce gtx 750 (2048 mb) / radeon r7 260x (2048 mb)
,,,
windows_min_WAR DUST | 32 vs 32 Battles,windows_min_WAR DUST | 32 vs 32 Battles,windows_req_WAR DUST | 32 vs 32 Battles,windows_req_WAR DUST | 32 vs 32 Battles
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 (amd fx 8350),процессор,intel core i7-4770
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 970 (amd radeon r9 290),видео карта,geforce gtx gtx 1060
directx,version 11,directx,version 11
диск,10 gb,диск,20 gb
,,,
