windows_min_Fimbul Winter,windows_min_Fimbul Winter,windows_req_Fimbul Winter,windows_req_Fimbul Winter
видео карта,"256mb video memory, capable of opengl 2.0+ support",диск,8 gb,видео карта,"256mb video memory, capable of opengl 2.0+ support"
диск,600 mb,звуковая карта,any,звуковая карта,any
,,,,,
windows_min_Super Bomberman R Online,windows_min_Super Bomberman R Online,windows_req_Super Bomberman R Online,windows_req_Super Bomberman R Online
операционная система,windows 10 ( os required),операционная система,windows 10 ( os required)
процессор,intel core i5-4440 / amd athlon 300ge,процессор,intel core i5-6400 amd fx-8300 / amd ryzen 3 2300u
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1050 / radeon rx 560,видео карта,nvidia geforce gtx 1660 / radeon rx 580
directx,version 11,directx,version 11
,,,
windows_min_Depths Of Horror: Mushroom Day,windows_min_Depths Of Horror: Mushroom Day
операционная система,windows 7
процессор,dual core cpu 2.4 ghz
оперативная память,6 gb
видео карта,geforce gts 450-class (intel hd 4000)
directx,version 11
,
windows_min_Bluravity,windows_min_Bluravity,windows_req_Bluravity,windows_req_Bluravity
операционная система,windows 7,операционная система,windows 10
процессор,pentium 4,процессор,core 2 duo
оперативная память,2 gb,оперативная память,4 gb
directx,version 9.0c,directx,version 11
,,,
windows_min_Transiruby,windows_min_Transiruby
операционная система,windows 10
процессор,core 2 duo or above
оперативная память,2 gb
видео карта,directx 11 compatible or above
directx,version 11
диск,200 mb
,
windows_min_The Anacrusis,windows_min_The Anacrusis
операционная система,windows 10
процессор,amd fx-8350 / core i5 6600k
оперативная память,8 gb
видео карта,dx11-compatible gpu
directx,version 11
,
windows_min_Bro Falls: Ultimate Showdown,windows_min_Bro Falls: Ultimate Showdown,windows_req_Bro Falls: Ultimate Showdown,windows_req_Bro Falls: Ultimate Showdown
операционная система,windows 10,операционная система,windows 10
процессор,intel i3-3100 or amd ryzen 1200x,процессор,intel i5-3300 or amd ryzen 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 or amd radeon hd 7950,видео карта,nvidia gtx 1050ti or amd radeon rx 470
directx,version 11,directx,version 11
,,,
windows_min_Lust from Beyond: M Edition,windows_min_Lust from Beyond: M Edition,windows_req_Lust from Beyond: M Edition,windows_req_Lust from Beyond: M Edition
операционная система,windows 7 / 8 / 10 x64,операционная система,windows 7 / 8 /10 x64
процессор,intel core i5-3470 or amd phenom ii x6 1075t,процессор,"intel core i5-8400, amd ryzen 5 1600"
оперативная память,8 gb,оперативная память,16 gb
видео карта,radeon r9 280 or nvidia geforce gtx 1050ti,видео карта,radeon rx 580 or nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
диск,37 gb,диск,37 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_FAR: Changing Tides,windows_min_FAR: Changing Tides,windows_req_FAR: Changing Tides,windows_req_FAR: Changing Tides
операционная система,windows 7 or higher,операционная система,windows 10
процессор,intel pentium g4500 or amd fx-4350,процессор,intel core i3-8350k or amd ryzen 3 1300x
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 660, 2 gb or radeon r7 370, 2 gb",видео карта,"geforce gtx 1060, 6 gb or radeon rx 5500 xt, 4 gb"
,,,
windows_min_SAMURAI SHODOWN,windows_min_SAMURAI SHODOWN,windows_req_SAMURAI SHODOWN,windows_req_SAMURAI SHODOWN
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770 2gb / amd radeon r9 280 3gb,видео карта,nvidia geforce gtx 1060 6gb / amd radeon rx 480 4gb
directx,version 11,directx,version 11
,,,
windows_min_Deadly Broadcast,windows_min_Deadly Broadcast,windows_req_Deadly Broadcast,windows_req_Deadly Broadcast
операционная система,10.12.6,операционная система,10.14.x
процессор,intel i5,процессор,intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,3 gb video,видео карта,4 gb video
диск,6 gb,диск,6 gb
,,,
windows_min_Psycho Bathroom,windows_min_Psycho Bathroom,windows_req_Psycho Bathroom,windows_req_Psycho Bathroom,macos_min_Psycho Bathroom,macos_min_Psycho Bathroom,macos_req_Psycho Bathroom,macos_req_Psycho Bathroom,linux_min_Psycho Bathroom,linux_min_Psycho Bathroom,linux_req_Psycho Bathroom,linux_req_Psycho Bathroom
операционная система,win10,операционная система,win10,операционная система,mac os 10.12 sierra,операционная система,—,операционная система,ubuntu 16.04 lts (64bit),операционная система,—
процессор,intel(r) core(tm) i3,процессор,intel(r) core(tm) i5,процессор,intel core i3,процессор,—,процессор,intel core 2 duo e5200,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,intel(r) hd graphics,видео карта,nvidia grforce gtx1050ti,видео карта,geforce gtx 570,видео карта,—,видео карта,geforce 9800gtx+ (1gb),видео карта,—
directx,version 10,directx,version 10,диск,1 gb,диск,—,диск,1 gb,диск,—
,,,,,,,,,,,
windows_min_Drone Gladiator,windows_min_Drone Gladiator,windows_req_Drone Gladiator,windows_req_Drone Gladiator
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i7-3770 / amd fx-9590,процессор,intel core i7-4790k / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 670 2gb / amd r9 280,видео карта,gtx 980 / amd r9 fury
directx,version 11,directx,version 11
,,,
windows_min_Die After Sunset,windows_min_Die After Sunset,windows_req_Die After Sunset,windows_req_Die After Sunset
операционная система,"windows 7 sp1+, windows 8 and windows 10",операционная система,"windows 7 sp1+, windows 8 and windows 10"
