windows_min_War Solution - Casual Math Game,windows_min_War Solution - Casual Math Game
windows_min_WaveCrash!!,windows_min_WaveCrash!!,windows_req_WaveCrash!!,windows_req_WaveCrash!!
операционная система,mavericks (osx 10.9.x),операционная система,—
процессор,2.0 ghz intel,процессор,—
оперативная память,4 gb mb,оперативная память,—
видео карта,nvidia or ati graphics card,видео карта,—
,,,
windows_min_Sanity of Morris,windows_min_Sanity of Morris,windows_req_Sanity of Morris,windows_req_Sanity of Morris,macos_min_Sanity of Morris,macos_min_Sanity of Morris,macos_req_Sanity of Morris,macos_req_Sanity of Morris,linux_min_Sanity of Morris,linux_min_Sanity of Morris,linux_req_Sanity of Morris,linux_req_Sanity of Morris
операционная система,"windows 7, 8, 10 (32 bit or )",операционная система,"windows 7, 8, 10 (32 bit or )",операционная система,macos catalina,операционная система,macos big sur,операционная система,ubuntu 18,операционная система,ubuntu 18
процессор,intel core™ i3 or amd ryzen™ 3 1200,процессор,intel core™ i5 or amd ryzen™ 5 1500,процессор,intel core i3 @ 2.0 ghz or amd equivalent,процессор,intel core i5 @ 3.00 ghz or amd equivalent.,процессор,intel core i3 @ 2.0 ghz or amd equivalent,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,dx11 supported dedicated graphics card with atleast 2 gb vram.,видео карта,nvidia geforce gtx 1050 (vram 2 gb) or amd radeon™ rx 560 (vram 2 gb),видео карта,metal supported dedicated graphics card with atleast 2 gb vram.,видео карта,metal supported dedicated graphics card with atleast 2 gb vram.,видео карта,vulkan supported dedicated graphics card with atleast 2 gb vram.,видео карта,vulkan supported dedicated graphics card with atleast 2 gb vram.
directx,version 11,directx,version 11,диск,3 gb,диск,3 gb,диск,3 gb,диск,3 gb
диск,3 gb,диск,3 gb,звуковая карта,-,звуковая карта,-,звуковая карта,-,звуковая карта,-
,,,,,,,,,,,
windows_min_Nohra,windows_min_Nohra,windows_req_Nohra,windows_req_Nohra
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-8400,процессор,intel core i7-7700
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia gtx 860,видео карта,nvidia gtx 960
,,,
windows_min_Outside The Grid,windows_min_Outside The Grid,windows_req_Outside The Grid,windows_req_Outside The Grid
операционная система,"windows 10, 8.1, 8, 7, vista",операционная система,"windows 10, 8.1, 8, 7, vista"
процессор,intel core 2 quad cpu q6600 @ 2.40ghz / amd phenom 9850 quad-core @ 2.5ghz,процессор,intel core i5 3470 @ 3.2ghz / amd x8 fx-8350 @ 4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450 / ati radeon 6670,видео карта,nvidia gtx 660 / amd hd 7870
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_Dragon Age™ Inquisition,windows_min_Dragon Age™ Inquisition,windows_req_Dragon Age™ Inquisition,windows_req_Dragon Age™ Inquisition
операционная система,windows 7 or 8.1,операционная система,windows 7 or 8.1
процессор,amd quad core @ 2.5 ghz/intel quad core @ 2.0 ghz,процессор,amd six core @ 3.2 ghz/ix core @ 3.2 ghz (intel): quad core @ 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 4870 / nvidia geforce 8800 gt,видео карта,amd radeon hd 7870 or r9 270 / nvidia geforce gtx 660
directx,version 10,directx,version 11
,,,
windows_min_Mirror's Edge™ Catalyst,windows_min_Mirror's Edge™ Catalyst,windows_req_Mirror's Edge™ Catalyst,windows_req_Mirror's Edge™ Catalyst
операционная система,windows 7 (use the latest service pack),операционная система,windows 10 (use the latest service pack)
процессор,intel i3-3250 / amd fx-6350. (note: mirror's edge catalyst requires at least 4 logical cores to run),процессор,intel core i7-3770 at 3.4 ghz / amd fx-8350 at 4.0 ghz
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 650 ti 2gb / amd radeon™ r9 270x,видео карта,nvidia geforce gtx 970 4gb / amd radeon™ r9 280x 3gb
,,,
windows_min_Crysis® 3,windows_min_Crysis® 3,windows_req_Crysis® 3,windows_req_Crysis® 3
операционная система,windows 7 or windows 8,операционная система,windows 7 or windows 8
процессор,2.4 ghz intel core 2 duo / 2.7 ghz amd athlon 64x2,процессор,2.4 ghz intel core i5-750 / 2.7 ghz amd phenom ii x4 805
оперативная память,3 gb,оперативная память,4 gb
видео карта,1 gb video / nvidia gts 450 or amd radeon hd5770,видео карта,1 gb video / nvidia gtx560 or amd radeon hd5870
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Dragon Age II,windows_min_Dragon Age II,windows_req_Dragon Age II,windows_req_Dragon Age II
операционная система,"windows vista with sp3, sp2 or windows 7",операционная система,"windows vista with sp3, sp2 or windows 7"
процессор,intel core 2 duo () running at 1.8 ghz ; amd athlon 64 x2 () running at 1.8 ghz,процессор,intel core 2 quad 2.4 ghz ; amd phenom ii x3 triple core 2.8 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,ati radeon hd 2600 pro 256 mb; nvidia geforce 7900 gs 256 mb cards,видео карта,ati 3850 512 mb ; nvidia 8800 gts 512 mb
directx,version 9.0c,directx,version 11
диск,7 gb,диск,7 gb
звуковая карта,direct x 9.0c compatible sound card windows experience index: 4.5,звуковая карта,—
,,,
windows_min_Plants vs. Zombies: Battle for Neighborville™,windows_min_Plants vs. Zombies: Battle for Neighborville™,windows_req_Plants vs. Zombies: Battle for Neighborville™,windows_req_Plants vs. Zombies: Battle for Neighborville™
операционная система,windows 10,операционная система,windows 10
процессор,amd: fx-4350 / intel: i3-3220,процессор,amd: fx-6100 / intel: i5-3570
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd: radeon hd 7730 / nvidia: geforce gt 640,видео карта,amd: radeon r9 285 / nvidia: geforce gtx 970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Unravel,windows_min_Unravel
операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core 2 duo @ 2.4ghz or amd athlon phenom x2 @ 2.8ghz amd
оперативная память,4 gb
видео карта,"geforce 450gt or radeon hd 5750, with 512mb"
,
windows_min_Need for Speed™ Rivals,windows_min_Need for Speed™ Rivals,windows_req_Need for Speed™ Rivals,windows_req_Need for Speed™ Rivals
операционная система,windows 7 (service pack 2) 32-bit,операционная система,windows 7 (service pack 2)
процессор,intel 2.4 ghz core 2 duo or amd 2.8 ghz athlon x2,процессор,intel quad-core cpu or amd six core cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon 3870 512 mb or higher performance; nvidia geforce 8800 gt or higher performance; intel hd 4000 integrated 512 mb or higher performance,видео карта,amd radeon 7870 3gb or higher performance; nvidia geforce gt660 3gb or higher performance
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_Unravel Two,windows_min_Unravel Two,windows_req_Unravel Two,windows_req_Unravel Two
операционная система,"windows 7, 8.1 or windows 10",операционная система,"windows 7, 8.1 or windows 10"
процессор,intel i3 2120 @ 3.3ghz or amd fx 4350 @ 4.2 ghz,процессор,intel i5 2300 @ 2.8ghz or amd fx 6100 @ 3.3 ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,ati radeon r7 250x or nvidia gtx 650ti,видео карта,ati radeon r9 270 or nvidia gtx 670
directx,version 11,directx,version 11
,,,
windows_min_Dinosaur Fossil Hunter: Prologue,windows_min_Dinosaur Fossil Hunter: Prologue,windows_req_Dinosaur Fossil Hunter: Prologue,windows_req_Dinosaur Fossil Hunter: Prologue
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,rx 570 4gb vram / geforce gtx 960 4gb vram,видео карта,geforce gtx 1070 8gb vram
directx,version 11,directx,version 12
диск,8 gb,диск,10 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_COVID - 19 BIOHAZARD,windows_min_COVID - 19 BIOHAZARD,windows_req_COVID - 19 BIOHAZARD,windows_req_COVID - 19 BIOHAZARD
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,core i5,процессор,core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 1030 4gb,видео карта,nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Rubber Bandits,windows_min_Rubber Bandits,windows_req_Rubber Bandits,windows_req_Rubber Bandits
операционная система,windows 7,операционная система,windows 10
процессор,i3 or equivelant,процессор,i5 or equivelant
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated graphics card will do,видео карта,dedicated graphics card
диск,1 gb,диск,2 gb
дополнительно,broadband internet connection is required for online play. duh.,дополнительно,—
,,,
windows_min_Astrodogs,windows_min_Astrodogs
операционная система,windows 7
процессор,"3.0 ghz p4, dual core 2.0 (or higher)"
оперативная память,2 gb
видео карта,video card must be 128 mb or more and with support for pixel shader 2.0b (ati radeon x800 or higher / nvidia geforce 7600 or higher / intel hd graphics 2000 or higher).
directx,version 10
,
windows_min_Sherwood Extreme,windows_min_Sherwood Extreme,windows_req_Sherwood Extreme,windows_req_Sherwood Extreme
операционная система,mac osx sierra,операционная система,mac osx big sur
процессор,dual core 2.0 ghz,процессор,—
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 520,видео карта,—
directx,version 11,directx,version 11
,,,
windows_min_RUN! GRANDPA! RUN!,windows_min_RUN! GRANDPA! RUN!
операционная система,windows 7 or hight
процессор,more than 2.0 ghz
оперативная память,2 gb
видео карта,1 gb
диск,100 mb
звуковая карта,eny
,
windows_min_Cannibal Crossing,windows_min_Cannibal Crossing,windows_req_Cannibal Crossing,windows_req_Cannibal Crossing
операционная система,windows 7 (sp1+) and windows 10 versions only,операционная система,—
процессор,"2 ghz, cpux64 architecture with sse2 instruction set support",процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,"graphics apidx10, dx11, and dx12-capable gpus",видео карта,—
directx,version 10,directx,—
,,,
windows_min_Nongunz: Doppelganger Edition,windows_min_Nongunz: Doppelganger Edition,macos_min_Nongunz: Doppelganger Edition,macos_min_Nongunz: Doppelganger Edition,linux_min_Nongunz: Doppelganger Edition,linux_min_Nongunz: Doppelganger Edition
операционная система,windows 7,операционная система,osx mountain lion (10.8),операционная система,ubuntu 14.04 / steamos
процессор,1.5 ghz core2duo,процессор,1.5 ghz core2duo,процессор,1.5 ghz core2duo
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,opengl 1.4,видео карта,opengl 1.4,видео карта,intel iris pro graphics
,,,,,
windows_min_Steel Assault,windows_min_Steel Assault,macos_min_Steel Assault,macos_min_Steel Assault,linux_min_Steel Assault,linux_min_Steel Assault
операционная система,windows 7+ only,операционная система,yosemite 10.10.5,операционная система,glibc 2.17 only
процессор,intel core 2 duo e8400 or amd phenom ii x2 550,процессор,intel core 2 duo e8400,процессор,intel core 2 duo e8400 or amd phenom ii x2 550
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 9600 gt or radeon hd 3870,видео карта,opengl 3.0+ (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ (2.1 with arb extensions acceptable)
directx,version 11,диск,300 mb,диск,300 mb
,,,,,
windows_min_3on3 FreeStyle: Rebound,windows_min_3on3 FreeStyle: Rebound,windows_req_3on3 FreeStyle: Rebound,windows_req_3on3 FreeStyle: Rebound
операционная система,windows 10,операционная система,windows 10
процессор,core i3-4370,процессор,core i5-4430
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gt 730,видео карта,geforce gtx 750ti
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Blood Metal,windows_min_Blood Metal,windows_req_Blood Metal,windows_req_Blood Metal
операционная система,win 7,операционная система,win 10
процессор,intel core i3-6100,процессор,intel core i5-2500k cpu
оперативная память,4 mb,оперативная память,8 mb
видео карта,nvidia geforce gtx 660 / radeon x1600 @ 1gb,видео карта,nvidia geforce gtx 960m / radeon hd 7750 @ 2gb
directx,version 11,directx,version 11
,,,
