windows_min_Ortharion : The Last Battle Prologue,windows_min_Ortharion : The Last Battle Prologue,windows_req_Ortharion : The Last Battle Prologue,windows_req_Ortharion : The Last Battle Prologue
видео карта,"dx10, dx11, dx12 capable",видео карта,metal capable intel and amd gpus,видео карта,"opengl 3.2+, vulkan capable"
directx,version 10,диск,200 mb,диск,200 mb
,,,,,
windows_min_Zombie Admin,windows_min_Zombie Admin
операционная система,"ubuntu 18.04, centos 7 or steamos"
процессор,intel core i5
оперативная память,8 gb
видео карта,geforce gtx 660
directx,version 11
,
windows_min_Hide Time,windows_min_Hide Time
операционная система,windows 10
процессор,—
оперативная память,8 gb
видео карта,—
,
windows_min_CucumbeRunner,windows_min_CucumbeRunner
операционная система,windows 10
процессор,dual core 2.4 ghz
оперативная память,2 gb
видео карта,hardware accelerated graphics with dedicated memory
,
windows_min_VR Hourse Racing Sweetie,windows_min_VR Hourse Racing Sweetie,windows_req_VR Hourse Racing Sweetie,windows_req_VR Hourse Racing Sweetie
операционная система,microsoft windows 7,операционная система,microsoft windows 10
процессор,intel pentium g4560 / amd fx 8300,процессор,intel core i5-4590 / amd fx 8350 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1050 or higher
диск,3 gb,диск,3 gb
звуковая карта,nvidia high definition audio,звуковая карта,nvidia high definition audio
,,,
windows_min_Double Line ConfrontationNew World,windows_min_Double Line ConfrontationNew World,windows_req_Double Line ConfrontationNew World,windows_req_Double Line ConfrontationNew World
операционная система,ubuntu 12.04 or 14.04 or steam os,операционная система,ubuntu 12.04 or 14.04 or steam os
процессор,intel core i5 2.7 ghz ( amd),процессор,intel core i7 2.5 ghz ( amd)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 460 / amd 5850 with 2gb vram,видео карта,nvidia geforce 680 / amd 7870 with 2gb vram+
directx,version 10,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Labyrinth of Chaos,windows_min_Labyrinth of Chaos,windows_req_Labyrinth of Chaos,windows_req_Labyrinth of Chaos
операционная система,windows 10 / windows 11,операционная система,windows 10 / windows 11
процессор,intel core i3 / rizen 3,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
directx,version 11,directx,version 11
,,,
windows_min_Sudden Market,windows_min_Sudden Market,windows_req_Sudden Market,windows_req_Sudden Market
операционная система,windows 10 (64bit only),операционная система,—
процессор,intel core i3 gen 5,процессор,ryzen 3 1200
оперативная память,2 gb,оперативная память,—
видео карта,geforce gtx 680,видео карта,geforce gt 1030
directx,version 11,directx,—
,,,
windows_min_Gigantosaurus: Dino Kart,windows_min_Gigantosaurus: Dino Kart,windows_req_Gigantosaurus: Dino Kart,windows_req_Gigantosaurus: Dino Kart
операционная система,windows 10,операционная система,windows 10
процессор,amd ryzen 3 1200 /intel core i3-7100,процессор,amd ryzen 5 2500x / intel core i5-8400
оперативная память,8 gb,оперативная память,8 gb
видео карта,amd radeon rx 550 4gb / nvidia gtx 750,видео карта,amd radeon r9 280 / nvidia gtx 960
directx,version 11,directx,version 11
диск,8 gb,диск,16 gb
,,,
windows_min_Whackerball,windows_min_Whackerball
операционная система,windows 7 64bit
процессор,1.8 ghz
оперативная память,1 gb
видео карта,intel uhd 620
,
windows_min_1WEEK,windows_min_1WEEK,windows_req_1WEEK,windows_req_1WEEK
операционная система,windows 7,операционная система,windows 7 or higher ()
процессор,dual core 3.0 ghz,процессор,2.8 ghz quad core cpu or faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,2 gb dedicated memory,видео карта,3 gb dedicated memory
directx,version 11,directx,version 11
,,,
