windows_min_Ball 2D: Soccer Online,windows_min_Ball 2D: Soccer Online
windows_min_WarZone Flashpoint,windows_min_WarZone Flashpoint,windows_req_WarZone Flashpoint,windows_req_WarZone Flashpoint
операционная система,windows 10,операционная система,windows 10
процессор,3ghz intel i5 quad core,процессор,3ghz intel i5 quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,any directx 10 capable card with at least 4gb video.,видео карта,any directx 11 capable card with at least 6gb video.
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_A Juggler's Tale,windows_min_A Juggler's Tale,windows_req_A Juggler's Tale,windows_req_A Juggler's Tale
операционная система,windows 7+ ( os required),операционная система,windows 7+ ( os required)
процессор,intel core 2 quad q6600,процессор,intel core i5-6600k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / radeon hd7870,видео карта,nvidia geforce gtx 980 / radeon 5300
directx,version 11,directx,version 11
,,,
windows_min_Scrap Garden - The Day Before,windows_min_Scrap Garden - The Day Before,macos_min_Scrap Garden - The Day Before,macos_min_Scrap Garden - The Day Before,linux_min_Scrap Garden - The Day Before,linux_min_Scrap Garden - The Day Before
операционная система,windows xp+,операционная система,mac os x 10.7+,операционная система,ubuntu 10.10+ or steamos+
процессор,intel core 2 duo e4500 @ 2.2ghz or amd athlon 64 x2 5600+ @ 2.8 ghz,процессор,1.7 ghz intel core i5,процессор,2.2 ghz cpu
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,ati radeon hd 2400 or nvidia geforce 7600+,видео карта,nvidia geforce 8600m / ati radeon 2400,видео карта,ati radeon hd 2400 or nvidia geforce 7600
directx,version 9.0c,диск,2 gb,диск,2 gb
,,,,,
windows_min_Smell Of Death,windows_min_Smell Of Death
операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,8 gb
,
windows_min_METRO CONFLICT: THE ORIGIN,windows_min_METRO CONFLICT: THE ORIGIN,windows_req_METRO CONFLICT: THE ORIGIN,windows_req_METRO CONFLICT: THE ORIGIN
операционная система,"microsoft windows 32bit xp(sp3), 7, 8, 10",операционная система,"microsoft windows 64bit xp(sp3), 7, 8, 10"
процессор,dual core 2.4ghz,процессор,dual core 2.4ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd3000,видео карта,geforce 9800gt
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
