windows_min_Hat Trick Header,windows_min_Hat Trick Header
операционная система,"windows 8.1 x64, windows 10 x64"
процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290 equivalent
directx,version 11
,
windows_min_Epic Battle Simulator 2,windows_min_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2
windows_min_DungeonGOGO,windows_min_DungeonGOGO
операционная система,mac os x 10.8+
процессор,2 ghz
оперативная память,2 gb
directx,version 9.0
,
windows_min_Mech Chip,windows_min_Mech Chip,windows_req_Mech Chip,windows_req_Mech Chip
операционная система,windows 7 (64bit),операционная система,windows 7 (64bit)
процессор,1.4ghz,процессор,2ghz
оперативная память,256 mb,оперативная память,512 mb
видео карта,any,видео карта,any
,,,
windows_min_VIDEO GAME,windows_min_VIDEO GAME
операционная система,windows 7
,
windows_min_Golden Panic,windows_min_Golden Panic,windows_req_Golden Panic,windows_req_Golden Panic,macos_min_Golden Panic,macos_min_Golden Panic,macos_req_Golden Panic,macos_req_Golden Panic,linux_min_Golden Panic,linux_min_Golden Panic,linux_req_Golden Panic,linux_req_Golden Panic
операционная система,windows vista,операционная система,windows 10,операционная система,mac os x 10.8,операционная система,mac os x 10.11,операционная система,"ubuntu 12.04, steamos",операционная система,"ubuntu 16.04, steamos"
процессор,intel core i3,процессор,intel core i5 / i7,процессор,intel core i3,процессор,intel core i5 / i7,процессор,intel core i3,процессор,intel core i5 / i7
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,intel core hd graphics 3000 / 4000,видео карта,nvidia gtx 770,видео карта,intel core hd graphics 3000 / 4000,видео карта,nvidia gtx 770,видео карта,intel core hd graphics 3000 / 4000,видео карта,nvidia gtx 770
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,250 mb,диск,250 mb,диск,250 mb,диск,250 mb
,,,,,,,,,,,
windows_min_33 Rounds,windows_min_33 Rounds
операционная система,windows 7/8/10
процессор,2.0+ ghz
оперативная память,1 gb
видео карта,integrated graphics
диск,80 mb
,
windows_min_Song Beater: Quite My Tempo!,windows_min_Song Beater: Quite My Tempo!,windows_req_Song Beater: Quite My Tempo!,windows_req_Song Beater: Quite My Tempo!
операционная система,windows 7/8/10 (x64),операционная система,windows 7/8/10 (x64)
процессор,intel i5-4590 / amd fx 8350,процессор,intel i5-4590 / amd ryzen 5 1500x
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960 / 1050ti / amd radeon r9 290/rx 470,видео карта,nvidia gtx 970 / 1060 / amd radeon r9 290/rx 480
directx,version 11,directx,version 12
