видео карта,geforce gtx 750 ti (2 gb vram) or amd radeon rx 460 (2 gb vram) or higher,видео карта,geforce gtx 1070 (8 gb vram) or amd radeon rx 5600 xt (8 gb vram) or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Blockland,windows_min_Blockland
операционная система,osx 10.5 or higher
процессор,1 ghz
оперативная память,512 mb
видео карта,opengl compatible graphics chip
,
windows_min_Force of Nature,windows_min_Force of Nature,windows_req_Force of Nature,windows_req_Force of Nature
операционная система,"windows xp, vista, 7, 8/8.1, 10",операционная система,"windows xp, vista, 7, 8/8.1, 10"
оперативная память,2 gb,оперативная память,2 gb
видео карта,"256 mb video memory, shader model 3.0",видео карта,"512 mb video memory, shader model 3.0"
directx,version 9.0c,directx,version 9.0c
,,,
"windows_min_Cook, Serve, Delicious!","windows_min_Cook, Serve, Delicious!","macos_min_Cook, Serve, Delicious!","macos_min_Cook, Serve, Delicious!","linux_min_Cook, Serve, Delicious!","linux_min_Cook, Serve, Delicious!"
операционная система,"windows vista, 7/8/10",операционная система,mac os x 10.8 and above,операционная система,ubuntu 12.04 and above
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,128mb graphics card,диск,150 mb,видео карта,opengl-capable graphics card with valid driver
диск,150 mb,дополнительно,mac os x 10.6x is not supported by the newest versions of the game.,диск,150 mb
,,,,,
windows_min_Hard Reset Extended Edition,windows_min_Hard Reset Extended Edition,windows_req_Hard Reset Extended Edition,windows_req_Hard Reset Extended Edition
операционная система,windows xp/vista/7,операционная система,windows xp/vista/7
процессор,2.5 ghz intel pentium 4 / amd athlon 64,процессор,intel quad core 2.3 ghz / amd phenom ii x4 2.5 ghz
оперативная память,2 gb,оперативная память,3 gb
диск,4 gb free hard drive space,диск,4 gb free hard drive space
видео карта,512 mb nvidia geforce 8800gs / ati radeon hd 3870,видео карта,512 mb nvidia geforce 9800 gt / ati radeon hd 4870
directx,directx 9.0c,directx,directx 9.0c
,,,
