windows_min_King Arthur's Gold,windows_min_King Arthur's Gold,windows_req_King Arthur's Gold,windows_req_King Arthur's Gold,macos_min_King Arthur's Gold,macos_min_King Arthur's Gold,macos_req_King Arthur's Gold,macos_req_King Arthur's Gold,linux_min_King Arthur's Gold,linux_min_King Arthur's Gold,linux_req_King Arthur's Gold,linux_req_King Arthur's Gold
windows_min_12 is Better Than 6,windows_min_12 is Better Than 6,macos_min_12 is Better Than 6,macos_min_12 is Better Than 6,linux_min_12 is Better Than 6,linux_min_12 is Better Than 6
операционная система,windows vista / windows 7 / windows 8.1,операционная система,mac os 10.6+,операционная система,ubuntu 14.04
процессор,intel pentium 2.9 ghz,процессор,intel pentium 2.9 ghz,процессор,intel pentium 2.9 ghz
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,512 mb directx 9 compatible video card with shader model 3.0 support,видео карта,512 mb directx 9 compatible video card with shader model 3.0 support,видео карта,512 mb
directx,version 9.0c,диск,300 mb,диск,300 mb
,,,,,
windows_min_Ziggurat,windows_min_Ziggurat,windows_req_Ziggurat,windows_req_Ziggurat
операционная система,ubuntu 12.10,операционная система,—
процессор,dual core,процессор,quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,opengl 2 graphics card,видео карта,geforce 460
directx,version 9.0c,directx,—
диск,800 mb,диск,1 gb
,,,
windows_min_The Beast Inside,windows_min_The Beast Inside,windows_req_The Beast Inside,windows_req_The Beast Inside
операционная система,windows windows 7 / windows 8 / windows 10,операционная система,windows windows 7 / windows 8 / windows 10
процессор,intel core i3-4160 or amd phenom ii x4 955,процессор,intel core i7-4770k or amd ryzen 5 equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,2gb / radeon r9 200 series or nvidia geforce gtx660,видео карта,nvidia geforce gtx1060 6gb or amd radeon rx 480 8gb
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Dead Effect,windows_min_Dead Effect,windows_req_Dead Effect,windows_req_Dead Effect
операционная система,10.6,операционная система,10.9
процессор,2.4 ghz dual core cpu,процессор,3.0 ghz quad core cpu or faster
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 9800m gts |; radeon hd 6770m,видео карта,nvidia gt 650m or 750m (strongly recommended)
directx,version 9.0c,directx,version 9.0c
диск,3 gb,диск,3 gb
звуковая карта,openal compatible,звуковая карта,openal compatible
,,,
windows_min_DOKA 2 KISHKI EDITION,windows_min_DOKA 2 KISHKI EDITION
операционная система,windows xp\vista\7\8\10
процессор,1.2ghz
оперативная память,512 mb
,
windows_min_Rock of Ages,windows_min_Rock of Ages
операционная система,windows xp/vista/7
процессор,dual core 1.6 ghz
оперативная память,1.5 gb or higher
видео карта,256mb video (geforce 7 series or higher/radeon hd3000 series or higher)
directx,9.0c
диск,1.2 gb
звуковая карта,windows supported sound card
,
windows_min_Gas Guzzlers Extreme,windows_min_Gas Guzzlers Extreme,windows_req_Gas Guzzlers Extreme,windows_req_Gas Guzzlers Extreme
операционная система,vista(tm)/windows 7/windows 8/windows 10,операционная система,vista(tm)/windows 7/windows 8/windows 10
процессор,dual-core 2.0 ghz,процессор,quad-core q6600 2.4 ghz
оперативная память,3 gb,оперативная память,4 gb
видео карта,directx(r) 9 compatible graphics card with sm 3.0. (geforce(r) 8800 ultra or 4850 amd/ati) with 512 mb,видео карта,"directx(r) 9 compatible graphics card (radeon(r) 6850, geforce(r) 560) with 1 gb"
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
windows_min_Drift Streets Japan,windows_min_Drift Streets Japan,windows_req_Drift Streets Japan,windows_req_Drift Streets Japan
операционная система,windows 7,операционная система,—
процессор,"intel celeron, pentium 4",процессор,intel pentium i3+
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,nvidia geforce gtx275,видео карта,nvidia geforce gtx750
directx,version 9.0,directx,version 11
диск,1 gb,диск,1 gb
,,,
windows_min_THE KING OF FIGHTERS XIV STEAM EDITION,windows_min_THE KING OF FIGHTERS XIV STEAM EDITION,windows_req_THE KING OF FIGHTERS XIV STEAM EDITION,windows_req_THE KING OF FIGHTERS XIV STEAM EDITION
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.40ghz,процессор,intel core i5-4670 @ 3.40ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, intel hd graphics 4400, ati radeon™ hd 5000 series, . opengl 4.3 required.",видео карта,nvidia geforce gtx 950
диск,16 gb,диск,16 gb
дополнительно,"compatible with xinput and directinput usb devices including gamepads and arcade sticks based on xbox 360, xbox one, and dualshock controllers.",дополнительно,"compatible with xinput and directinput usb devices including gamepads and arcade sticks based on xbox 360, xbox one, and dualshock controllers."
,,,
windows_min_Katamari Damacy REROLL,windows_min_Katamari Damacy REROLL,windows_req_Katamari Damacy REROLL,windows_req_Katamari Damacy REROLL
операционная система,windows 7 (sp1),операционная система,windows 10
процессор,intel core i3-2125 or amd phenom ii x4 965,процессор,intel core i5-2300 or amd fx-4350
оперативная память,4 gb,оперативная память,6 gb
видео карта,integrated: intel iris pro 580 or amd radeon vega 8 dedicated: geforce gtx 750 or radeon hd 6950,видео карта,geforce gtx 660 or radeon hd 7850
directx,version 11,directx,version 11
диск,4 gb,диск,6 gb
,,,
windows_min_Mysteria ~Occult Shadows~,windows_min_Mysteria ~Occult Shadows~,windows_req_Mysteria ~Occult Shadows~,windows_req_Mysteria ~Occult Shadows~
операционная система,win7 64bit/win8 win8.1 64bit/win10 64bit,операционная система,win7 64bit/win8 win8.1 64bit/win10 64bit
процессор,intel g620 or amd x2 280 /amd (apu) a6 9500,процессор,intel core i5 6500 / amd cpu fx8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx750 or amd gpu radeon hd 6850,видео карта,nvidia geforce gtx970 / 1060 or amd gpu radeonr9 290
directx,version 11,directx,—
,,,
windows_min_The Fall,windows_min_The Fall,macos_min_The Fall,macos_min_The Fall,linux_min_The Fall,linux_min_The Fall
операционная система,windows xp sp3,операционная система,10.6 snow leopard or above.,операционная система,ubuntu 10.04
процессор,2.5 ghz dual core,процессор,dual core 2.3 ghz,процессор,2.5 ghz dual core
оперативная память,3 gb,оперативная память,3 gb,оперативная память,2 gb
видео карта,"geforce 8600, 256 mb memory",видео карта,intel hd 3000,видео карта,"geforce 8600, 256 mb memory"
диск,530 mb,диск,530 mb,диск,530 mb
,,,,,
windows_min_Robocraft,windows_min_Robocraft,macos_min_Robocraft,macos_min_Robocraft,linux_min_Robocraft,linux_min_Robocraft
операционная система,vista/7/8/8.1/10,операционная система,mac os x 10.7+,операционная система,ubuntu 16.04
процессор,intel dual core with sse2 support amd family,процессор,intel dual core with sse2 support amd family,процессор,intel dual core with sse2 support amd family
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"shader model 3.0 compatible gpu, directx 9.0c",видео карта,shader model 3.0 compatible gpu,видео карта,shader model 3.0 compatible gpu
directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,2 gb,диск,2 gb
диск,2 gb,дополнительно,min resolution 1024x768,дополнительно,min resolution 1024x768
звуковая карта,directx compatible,,,,
,,,,,
windows_min_RUSSIA BATTLEGROUNDS,windows_min_RUSSIA BATTLEGROUNDS,windows_req_RUSSIA BATTLEGROUNDS,windows_req_RUSSIA BATTLEGROUNDS
операционная система,microsoft windows xp / vista,операционная система,microsoft windows 7
процессор,pentium dual core 1.3 ghz,процессор,dual core 3.0+ ghz or higher
оперативная память,512 mb,оперативная память,1 gb
видео карта,compatible with directx 9,видео карта,compatible with directx 9
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_EmergeNYC,windows_min_EmergeNYC,windows_req_EmergeNYC,windows_req_EmergeNYC
операционная система,operating system,операционная система,testing in progress
процессор,intel core i7-3770 / amd fx-9590,процессор,intel core i7-3770 / amd fx-9590
оперативная память,16 gb,оперативная память,32 gb
видео карта,gtx 640 / ati 7750,видео карта,gtx 1070 4gbs
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
звуковая карта,—,звуковая карта,testing in progress
,,,
windows_min_Half Dead,windows_min_Half Dead,windows_req_Half Dead,windows_req_Half Dead
операционная система,32-bit windows 7,операционная система,windows 7
процессор,intel core 2 quad/ core i3 amd,процессор,intel core i5/ core i7 amd
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,nvidia geforce 8800 / amd radeon hd 4850 videocard,видео карта,nvidia geforce 480 gtx / amd radeon hd 5850 videocard
directx,version 10,directx,version 12
диск,1 gb,диск,2 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
"windows_min_STAR WARS™ Battlefront (Classic, 2004)","windows_min_STAR WARS™ Battlefront (Classic, 2004)"
операционная система,windows xp/vista/7/8/10
процессор,1.8 ghz
оперативная память,1 gb
