windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition
операционная система,windows xp sp2,операционная система,windows 7 sp 1
процессор,2ghz dual core,процессор,quad core 2.66ghz cpu intel or amd
оперативная память,2 gb,оперативная память,4 gb
видео карта,directx 9.0c compatible graphics card,видео карта,"geforce 500 series or radeon 7000 series, 1 gb graphics memory"
directx,version 9.0c,directx,version 9.0c
диск,4 gb,диск,4 gb
,,,
windows_min_theHunter: Primal,windows_min_theHunter: Primal
операционная система,windows 8/7/vista/xp
процессор,intel 3 ghz or amd dual core
оперативная память,4 gb
видео карта,"nvidia geforce 8800, ati/amd radeon hd 2400 (nvidia geforce 8800, ati/amd radeon hd 2400)"
directx,version 9.0
сеть,широкополосное подключение
диск,3 gb
,
windows_min_Void Bastards,windows_min_Void Bastards,windows_req_Void Bastards,windows_req_Void Bastards
операционная система,mojave,операционная система,—
процессор,"quad core, 1.8ghz",процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"gtx 660 2gb, amd radeon 7850 2gb",видео карта,"gtx 970 4gb, amd r9 290 4gb"
,,,
windows_min_Volcanoids,windows_min_Volcanoids,windows_req_Volcanoids,windows_req_Volcanoids
операционная система,ubuntu 19.04 distribution,операционная система,ubuntu 20.04 lts or higher
процессор,intel core i5-2500k / amd fx-6300,процессор,intel core i7-7700 / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia gtx 660 / amd radeonhd 7850, opengl 4.5 or vulkan driver",видео карта,"nvidia gtx 1070 / amd radeon rx 580, vulkan driver"
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Alpha Protocol™,windows_min_Alpha Protocol™
операционная система,microsoft windows xp or windows vista
процессор,2.4+ ghz intel or 2.0+ ghz amd™
оперативная память,"1 gb (windows xp,) 2 gb (windows vista)"
видео карта,"nvidia geforce 6 series (6800gt ,) ati™ 1300xt series (x1550, x1600 pro and hd2400 are below minimum system requirements)"
диск,at least 12 gb of free space
звуковая карта,directx 9.0c compatible sound card and drivers
,
windows_min_Tom Clancy's Ghost Recon® Breakpoint,windows_min_Tom Clancy's Ghost Recon® Breakpoint,windows_req_Tom Clancy's Ghost Recon® Breakpoint,windows_req_Tom Clancy's Ghost Recon® Breakpoint
операционная система,"windows 7, windows 8.1, windows 10 ( versions only)",операционная система,"windows 7, windows 8.1, windows 10 ( versions only)"
процессор,"amd ryzen 3 1200 @3.1 ghz, intel core i5 4460 @ 3.2 ghz,",процессор,"amd ryzen 5 1600 @3.2 ghz, intel core i7 6700k @4.0 ghz,"
оперативная память,8 gb,оперативная память,8 gb
видео карта,amd radeon r9 280x or nvidia geforce gtx 960 (4 gb vram with shader model 5.0 ),видео карта,amd radeon rx 480 or nvidia geforce gtx 1060 (6 gb vram with shader model 5.0 )
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
