windows_min_Warplanes: WW2 Dogfight,windows_min_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight
directx,version 11,,,диск,500 mb
,,,,,
windows_min_Evil Hazard,windows_min_Evil Hazard
процессор,core™2 duo 2 ghz or above
оперативная память,2 gb
,
windows_min_Skyous,windows_min_Skyous,windows_req_Skyous,windows_req_Skyous
операционная система,windows 8,операционная система,windows 10
процессор,1.5 ghz ( intel celeron / amd athlon 64 x2),процессор,2.4 ghz ( intel core i5 / amd phenom ii)
оперативная память,4 gb,оперативная память,8 mb
видео карта,intel hd graphics or amd radeon,видео карта,geforce 8000+ / radeon hd 5000+
диск,100 mb,диск,150 mb
,,,
windows_min_The Maestros,windows_min_The Maestros,windows_req_The Maestros,windows_req_The Maestros
операционная система,windows 7,операционная система,windows 7
оперативная память,3 gb,оперативная память,6 gb
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
дополнительно,requires a strong (1mbit+) broadband internet connection,дополнительно,recommend a strong (10mbit+) broadband internet connection
процессор,—,процессор,2.2+ ghz dual core
,,,
windows_min_The Bad Gravedigger,windows_min_The Bad Gravedigger,windows_req_The Bad Gravedigger,windows_req_The Bad Gravedigger
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-530,процессор,intel core i5
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 400 series / amd radeon hd 4000 series 1 gb vram,видео карта,nvidia geforce 500 series / amd radeon hd 6000 series 1 gb vram.
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Pinball Parlor,windows_min_Pinball Parlor,windows_req_Pinball Parlor,windows_req_Pinball Parlor
операционная система,windows 7,операционная система,windows 7
процессор,dual-core (intel dual core 2.0 ghz or amd athlon x2 5200+ 2.6 ghz),процессор,dual-core (intel dual core 2.0 ghz or amd athlon x2 5200+ 2.6 ghz)
оперативная память,2 gb,оперативная память,4 gb
видео карта,directx 11 compatible graphic card,видео карта,nvidia geforce gtx 680 or higher. ati hd 7750 or higher.
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_R.O.V.E.R.,windows_min_R.O.V.E.R.
операционная система,"windows 7, 8, 10"
процессор,core i3 6100
оперативная память,4 gb
видео карта,nvidia gtx 1050 ti 4gb
directx,version 11
диск,14 gb
,
windows_min_JungleShoot,windows_min_JungleShoot,windows_req_JungleShoot,windows_req_JungleShoot
операционная система,"xp, vista, 7, 8, 10",операционная система,"xp, vista, 7, 8, 10 - ()"
процессор,intel dual-core 2ghz or amd dual-core 2ghz,процессор,intel quad-core (i5 2300) or amd octo-core (fx 8150)
оперативная память,4 gb,оперативная память,6 gb
видео карта,"nvidia geforce 400 series or amd radeon hd 6000 series, 1gb video card (minimum shader model 2.0)",видео карта,"nvidia geforce 660ti, amd radeon hd 7950, 2gb video card (minimum shader model 2.0)"
диск,4 gb,диск,6 gb
,,,
