windows_min_EVAN QUEST 2,windows_min_EVAN QUEST 2,windows_req_EVAN QUEST 2,windows_req_EVAN QUEST 2
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Parapsychology,windows_min_Parapsychology,windows_req_Parapsychology,windows_req_Parapsychology
операционная система,windows 10,операционная система,windows 10
процессор,intel i3 or amd equivalent,процессор,intel i7 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_DungeonSlime,windows_min_DungeonSlime
операционная система,windows 7; 8; 10
процессор,intel(r) celeron(r) cpu g530 @2.40 ghz
оперативная память,4 gb
видео карта,nvidia geforce 9600 gso 512
,
windows_min_DopeMine Arena,windows_min_DopeMine Arena
операционная система,windows 7
процессор,"yes, have one."
оперативная память,4 gb
,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,"windows 7,8,10 - (32 bit not supported)",операционная система,"windows 7,8,10 - (32 bit not supported)"
процессор,intel core i5-3230m @ 2.60ghz amd and above,процессор,intel i5 3.2 ghz amd and above
оперативная память,2 gb,оперативная память,4 gb
видео карта,"256 mb dx 9 compliant videocard with pixel shader 3,0",видео карта,"512 mb dx 9 compliant videocard with pixel shader 3,0"
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,4 gb
звуковая карта,directx 9 compatible audio,звуковая карта,directx 9 compatible audio
,,,
windows_min_Woodle Tree 2: Deluxe Plus,windows_min_Woodle Tree 2: Deluxe Plus,windows_req_Woodle Tree 2: Deluxe Plus,windows_req_Woodle Tree 2: Deluxe Plus,macos_min_Woodle Tree 2: Deluxe Plus,macos_min_Woodle Tree 2: Deluxe Plus,macos_req_Woodle Tree 2: Deluxe Plus,macos_req_Woodle Tree 2: Deluxe Plus,linux_min_Woodle Tree 2: Deluxe Plus,linux_min_Woodle Tree 2: Deluxe Plus,linux_req_Woodle Tree 2: Deluxe Plus,linux_req_Woodle Tree 2: Deluxe Plus
операционная система,windows xp service pack 3 32-bit,операционная система,windows 7 or higher,операционная система,mac os x 10.6 snow leopard,операционная система,mac os x 10.9 mavericks or higher,операционная система,ubuntu 12.10 lts,операционная система,ubuntu 13.10
процессор,intel dual-core 2.6 ghz / amd dual-core athlon 3.0 ghz,процессор,quad-core,процессор,intel dual-core 2.4 ghz,процессор,quad-core,процессор,intel dual-core 2.9 ghz / amd dual-core 3.5 ghz,процессор,quad-core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,sm 3.0 con 512mb vram; nvidia geforce 8500 gt / amd radeon hd 4650 or higher,видео карта,sm 3.0 with 1gb vram; nvidia geforce gtx 280 / amd radeon hd 4830,видео карта,nvidia geforce 640m / ati radeon hd 5750 with at least 512mb vram,видео карта,nvidia geforce 640m / ati radeon hd 6750m with at least 1gb vram,видео карта,sm 3.0 with 512mb vram; nvidia geforce gtx 550 ti / amd radeon hd 6670,видео карта,sm 3.0 with 1gb vram; nvidia geforce gtx 770 / amd radeon hd 7970
directx,version 9.0,directx,version 10,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,дополнительно,play with the gamepad for the best experience!,дополнительно,play with the gamepad for the best experience!,дополнительно,play with the gamepad for the best experience!,дополнительно,play with the gamepad for the best experience!
,,,,,,,,,,,
windows_min_Pop Top Adventure,windows_min_Pop Top Adventure
операционная система,windows 10
процессор,2.6+ ghz
оперативная память,8 gb
видео карта,"opengl 2.0 support, graphics card with latest drivers, at least 2gb of dedicated video memory"
directx,version 10
,
windows_min_Contrablade: Stadium Rush,windows_min_Contrablade: Stadium Rush
операционная система,windows 10 or higher .
процессор,intel core i3 2.00 ghz or amd equivalent
оперативная память,4 gb
видео карта,nvidia geforce 650 or higher
directx,version 11
,
windows_min_Under Iron Water,windows_min_Under Iron Water,windows_req_Under Iron Water,windows_req_Under Iron Water
операционная система,windows 7,операционная система,windows 10
процессор,amd fx-8350,процессор,ryzen 9 3900x cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 670,видео карта,nvidia geforce gtx 1070
диск,250 mb,диск,250 mb
,,,
windows_min_Andro Dunos II,windows_min_Andro Dunos II
операционная система,windows 7/8/10
процессор,i3
оперативная память,512 mb
видео карта,gtx 660
directx,version 10
,
