windows_min_Contort Effect,windows_min_Contort Effect,windows_req_Contort Effect,windows_req_Contort Effect
windows_min_Warfare 1944,windows_min_Warfare 1944,windows_req_Warfare 1944,windows_req_Warfare 1944
операционная система,"windows 7 sp1, windows 8.1, or windows 10",операционная система,windows 10
процессор,intel core i3-6100 / amd fx-8320,процессор,intel core i7-7700 / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 / amd radeon r9 270x ( with at least 2 gb of vram),видео карта,nvidia geforce gtx 1070 / amd radeon rx vega 56
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Darksiders III - The Crucible,windows_min_Darksiders III - The Crucible,windows_req_Darksiders III - The Crucible,windows_req_Darksiders III - The Crucible
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10
процессор,"amd fx-8320 (3,5 ghz) / intel i5-4690k (3,5 ghz)",процессор,intel core i7-3930k (3.2 ghz)/amd ryzen 5 1600 (3.2 ghz)
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 660 / radeon r7 370 with 2 gb vram,видео карта,amd radeon rx 480 / nvidia geforce gtx 970 with 4 gb vram
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
,,,
windows_min_Deadly Hunter VR,windows_min_Deadly Hunter VR,windows_req_Deadly Hunter VR,windows_req_Deadly Hunter VR
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 3.3 ghz,процессор,intel i7-4770 3.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_War Thunder - Plagis' Spitfire LF Mk. IX,windows_min_War Thunder - Plagis' Spitfire LF Mk. IX,windows_req_War Thunder - Plagis' Spitfire LF Mk. IX,windows_req_War Thunder - Plagis' Spitfire LF Mk. IX,macos_min_War Thunder - Plagis' Spitfire LF Mk. IX,macos_min_War Thunder - Plagis' Spitfire LF Mk. IX,macos_req_War Thunder - Plagis' Spitfire LF Mk. IX,macos_req_War Thunder - Plagis' Spitfire LF Mk. IX,linux_min_War Thunder - Plagis' Spitfire LF Mk. IX,linux_min_War Thunder - Plagis' Spitfire LF Mk. IX,linux_req_War Thunder - Plagis' Spitfire LF Mk. IX,linux_req_War Thunder - Plagis' Spitfire LF Mk. IX
операционная система,windows vista/7/8/10,операционная система,windows 7 64bit / 8 64bit / 10 64bit,операционная система,sierra 10.12,операционная система,sierra 10.12,операционная система,"most modern 64bit linux distributions, steamos",операционная система,"ubuntu 14.04 64bit, steamos"
процессор,"2,2 ghz",процессор,intel core i5,процессор,dual-core 2.4 ghz (xeon s not supported),процессор,intel core i7 (xeon s not supported),процессор,dual-core 2.4 ghz,процессор,intel core i7
оперативная память,4gb (windows vista/7/8/10),оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 4000 / amd radeon 46xx / nvidia geforce gt 520 (the minimum supported resolution for the game is 720p),видео карта,"nvidia geforce gtx 960 or higher, amd r9 280 or higher (directx 11 level video card and drivers)",видео карта,intel 4000 hd/radeon hd5550 / geforce 8800 (the minimum supported resolution for the game is 720p),видео карта,nvidia geforce gtx 680m or higher,видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months; the minimum supported resolution for the game is 720p),видео карта,nvidia 960 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months)
диск,8.46 gb hd space,диск,21 gb hd space,диск,8.61 gb hd space,диск,22.65 gb hd space,диск,8.6 gb hd space,диск,22.6 gb hd space
,,,,,,,,,,,
windows_min_Man of Honor,windows_min_Man of Honor
операционная система,mac os 10.10 yosemite
процессор,intel core i7-6700
оперативная память,4 gb
видео карта,amd radeon r7 350x
,
windows_min_LEGO® Marvel Super Heroes 2 - Marvel's Avengers: Infinity War Movie Level Pack,windows_min_LEGO® Marvel Super Heroes 2 - Marvel's Avengers: Infinity War Movie Level Pack,windows_req_LEGO® Marvel Super Heroes 2 - Marvel's Avengers: Infinity War Movie Level Pack,windows_req_LEGO® Marvel Super Heroes 2 - Marvel's Avengers: Infinity War Movie Level Pack
операционная система,macos 10.13.5,операционная система,—
процессор,1.8ghz intel core i3,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,—
,,,
windows_min_Dishonored Soundtrack,windows_min_Dishonored Soundtrack
,
windows_min_No Way Out,windows_min_No Way Out
операционная система,windows 7
процессор,intel core i5-4460 ou amd fx 4300 or higher
оперативная память,6 gb
видео карта,nvidia geforce gtx 660 / amd radeon hd 7800 series with 2 gb vram
directx,version 11
,
windows_min_DRAGON BALL FIGHTERZ - Vegito (SSGSS),windows_min_DRAGON BALL FIGHTERZ - Vegito (SSGSS),windows_req_DRAGON BALL FIGHTERZ - Vegito (SSGSS),windows_req_DRAGON BALL FIGHTERZ - Vegito (SSGSS)
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,"amd fx-4350, 4.2 ghz / intel core i5-3470, 3.20 ghz",процессор,"amd ryzen 5 1400, 3.2 ghz / intel core i7-3770, 3.40 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,"radeon hd 7870, 2 gb / geforce gtx 660, 2 gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
