windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
процессор,intel core solo,процессор,intel core duo 2.0 ghz and above,процессор,"intel only, power pc not supported",процессор,intel core duo 2.0 ghz and above,процессор,intel core solo,процессор,intel core duo 2.0 ghz and above
оперативная память,128 mb,оперативная память,512 mb,оперативная память,128 mb,оперативная память,512 mb,оперативная память,128 mb,оперативная память,512 mb
видео карта,64mb,видео карта,"256mb, non-integrated",видео карта,64mb,видео карта,256mb,видео карта,64mb,видео карта,"256mb, non-integrated"
,,,,,,,,,,,
windows_min_Tomb Raider: Underworld,windows_min_Tomb Raider: Underworld,windows_req_Tomb Raider: Underworld,windows_req_Tomb Raider: Underworld
операционная система,microsoft windows xp (admin rights required)/microsoft windows vista (admin rights required),операционная система,microsoft windows xp (admin rights required)/microsoft windows vista (admin rights required)
процессор,intel pentium 4 3+ghz or amd athlon 2.5+ghz,процессор,intel core 2 duo 2.2 ghz or athlon 64 x2 4400+
оперативная память,1gb (windows xp) / 2gb (windows vista) system memory,оперативная память,2 gb system memory
видео карта,nvidia geforce 6 series 6800gt () / ati 1800xt (),видео карта,nvidia geforce 9800 gtx or ati hd4800
звуковая карта,direct x 9.0c compatible sound card and drivers,звуковая карта,direct x 9.0c compatible sound card and drivers
storage space,8 gb free space,storage space,8 gb free space
,,,
windows_min_Murder Miners,windows_min_Murder Miners,windows_req_Murder Miners,windows_req_Murder Miners,macos_min_Murder Miners,macos_min_Murder Miners,macos_req_Murder Miners,macos_req_Murder Miners,linux_min_Murder Miners,linux_min_Murder Miners,linux_req_Murder Miners,linux_req_Murder Miners
операционная система,windows,операционная система,windows,операционная система,mavericks 10.9,операционная система,mojave 10.14,операционная система,glibc 2.17+ only. s3tc support is not required.,операционная система,—
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
directx,version 9.0c,directx,version 10,видео карта,opengl 3.0+ (2.1 with arb extensions acceptable),видео карта,metal graphics support,видео карта,opengl 3.0+ (2.1 with arb extensions acceptable),видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,—
диск,250 mb,диск,250 mb,диск,250 mb,диск,250 mb,диск,250 mb,диск,—
,,,,,,,,,,,
windows_min_Shieldwall,windows_min_Shieldwall,windows_req_Shieldwall,windows_req_Shieldwall
операционная система,windows 10,операционная система,windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 3770 3.4 ghz / amd cpu amd fx-8350 4 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 670 or amd r9 270,видео карта,nvidia geforce gtx 970 or amd r9 290x
directx,version 11,directx,version 11
,,,
windows_min_Monaco: What's Yours Is Mine,windows_min_Monaco: What's Yours Is Mine,windows_req_Monaco: What's Yours Is Mine,windows_req_Monaco: What's Yours Is Mine,macos_min_Monaco: What's Yours Is Mine,macos_min_Monaco: What's Yours Is Mine,macos_req_Monaco: What's Yours Is Mine,macos_req_Monaco: What's Yours Is Mine,linux_min_Monaco: What's Yours Is Mine,linux_min_Monaco: What's Yours Is Mine,linux_req_Monaco: What's Yours Is Mine,linux_req_Monaco: What's Yours Is Mine
операционная система,windows xp,операционная система,windows xp,операционная система,"os x version snow leopard 10.6.3, .",операционная система,—,операционная система,major linux distributions from 2010,операционная система,—
процессор,1.2ghz,процессор,1.4ghz,процессор,2.0+ ghz,процессор,—,процессор,2.0+ghz,процессор,—
видео карта,graphics card that supports pixel shader 2.0 and vertex shader 2.0(vertex shader support can be supported with software emulation),видео карта,graphics card that supports pixel shader 3.0 and vertex shader 2.0(vertex shader support can be supported with software emulation),оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
directx,9.0,directx,9.0,видео карта,opengl 2.1 and shader model 3 with 512 mb of memory.,видео карта,—,видео карта,opengl 2.1+,видео карта,—
диск,500 mb hd space,диск,500 mb hd space,диск,500 mb hd space,диск,—,диск,500 mb hd space,диск,—
,,,,additional,"not recommended for intel integrated graphics, mac mini's, or early generation macbooks",additional,—,online,"steamworks required for online play, lan not supported on linux",online,—
,,,,,,,,,,,
windows_min_Rain World,windows_min_Rain World
операционная система,mac os x 10.7
процессор,dual core 2.4 ghz
,
windows_min_Pikuniku,windows_min_Pikuniku,macos_min_Pikuniku,macos_min_Pikuniku,linux_min_Pikuniku,linux_min_Pikuniku,linux_req_Pikuniku,linux_req_Pikuniku
операционная система,"windows 7, 8.1, 10 x86/x64",операционная система,mac os x 10.8,операционная система,"ubuntu 16.04, 18.04, 18.10, mint 19 x86/x64",операционная система,ubuntu 18.10 x64
процессор,intel core2 duo e4500 (2 * 2200),процессор,intel i5-2520m,процессор,intel core2 duo e4300 (2 * 1800),процессор,intel i7 – 4771 (4 * 3500)
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,8 gb
видео карта,geforce 9600 gt (512 mb) / intel hd graphics 2500,видео карта,radeon hd 6630 (256 mb),видео карта,geforce 9600 gt (512 mb),видео карта,geforce gtx 970
directx,version 10,диск,300 mb,диск,300 mb,диск,—
диск,300 mb,дополнительно,controller recommended,дополнительно,controller recommended,дополнительно,—
,,,,,,,
windows_min_Tom Clancy's Rainbow Six® Vegas 2,windows_min_Tom Clancy's Rainbow Six® Vegas 2
операционная система,windows xp/vista (only)
процессор,3 ghz pentium 4 or amd athlon 3000 (3.5 ghz pentium 4 or amd athlon 3500 recommended)
оперативная память,1 gb of
видео карта,"128 mb directx 9.0c-compliant, shader 3.0-enabled video card (256 mb recommended) (see supported list*)"
звуковая карта,directx 9.0c-compliant sound card (nvidia nforce or other motherboards/soundcards containing the dolby digital interactive content encoder required for dolby digital audio.)
directx,directx 9.0c
диск,7 gb free
peripherals supported,"windows-compliant keyboard and mouse, xbox 360 controller for windows"
мультиплеер,broadband internet connection with 128 kbps kbps upstream or faster.
,
windows_min_VTOL VR,windows_min_VTOL VR,windows_req_VTOL VR,windows_req_VTOL VR
операционная система,microsoft windows 7,операционная система,microsoft windows 10
процессор,intel core i5-3570k,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_LEGO® Harry Potter: Years 1-4,windows_min_LEGO® Harry Potter: Years 1-4,windows_req_LEGO® Harry Potter: Years 1-4,windows_req_LEGO® Harry Potter: Years 1-4
операционная система,windows xp/vista,операционная система,windows xp/vista
