windows_min_BIT.TRIP RUNNER,windows_min_BIT.TRIP RUNNER
windows_min_Divinity: Dragon Commander,windows_min_Divinity: Dragon Commander,windows_req_Divinity: Dragon Commander,windows_req_Divinity: Dragon Commander
операционная система,windows xp sp3,операционная система,windows 7 sp1
процессор,intel core2 duo e6600,процессор,intel i5 2400
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800 gt (512 mb) or ati™ radeon™ hd 4850,видео карта,nvidia geforce gtx 550 ti 1gb or or ati™ radeon™ hd 6xxx
directx,9.0c,directx,9.0c
диск,15 gb hd space,диск,30 gb hd space
звуковая карта,directx9c compliant,звуковая карта,"directx9c compliant, 5.1 surround sound"
,,,
windows_min_ScourgeBringer,windows_min_ScourgeBringer,windows_req_ScourgeBringer,windows_req_ScourgeBringer,macos_min_ScourgeBringer,macos_min_ScourgeBringer,macos_req_ScourgeBringer,macos_req_ScourgeBringer,linux_min_ScourgeBringer,linux_min_ScourgeBringer,linux_req_ScourgeBringer,linux_req_ScourgeBringer
операционная система,"64bit microsoft windows 7 sp1, 8.1, 10 (version 1607 )",операционная система,64bit microsoft windows 10 (version 1607 ),операционная система,mac os x 10.13 high sierra (),операционная система,mac os x 10.13 high sierra (),операционная система,"ubuntu 18.04+ 64bit, debian 9+ 64bit",операционная система,"ubuntu 18.04+ 64bit, debian 9+ 64bit"
процессор,64bit 1.5 ghz cpu,процессор,64bit multi-core 2ghz cpu,процессор,any intel cpu or apple m1,процессор,any intel cpu or apple m1,процессор,64bit 1.5 ghz cpu,процессор,64bit multi-core 2ghz cpu
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,opengl 3.0 (directx 10) compliant graphics card and driver,видео карта,opengl 3.0 (directx 10) compliant graphics card and driver,видео карта,any,видео карта,any,видео карта,opengl 3.0 compliant graphics card and driver,видео карта,opengl 3.0 compliant graphics card and driver
directx,version 10,directx,version 10,диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb
диск,500 mb,диск,500 mb,дополнительно,—,дополнительно,game controller recommended,дополнительно,64bit only,дополнительно,64bit only - game controller recommended
,,,,,,,,,,,
windows_min_EDGE,windows_min_EDGE,windows_req_EDGE,windows_req_EDGE
операционная система,os x 10.5 (leopard),операционная система,—
процессор,intel,процессор,—
оперативная память,512 mb,оперативная память,1 gb
видео карта,"directx 9 compatible, 64mb vram",видео карта,—
directx,dx90c,directx,dx90c
,,,
windows_min_Kingdom Under Fire 2,windows_min_Kingdom Under Fire 2,windows_req_Kingdom Under Fire 2,windows_req_Kingdom Under Fire 2
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-2120 @ 3300 mhz,процессор,intel core i5-4690k @ 3500 mhz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti 2gb,видео карта,nvidia geforce gtx 960 4gb
,,,
windows_min_Sky Force Anniversary,windows_min_Sky Force Anniversary,macos_min_Sky Force Anniversary,macos_min_Sky Force Anniversary,linux_min_Sky Force Anniversary,linux_min_Sky Force Anniversary
операционная система,windows 8/7/vista/xp,операционная система,mac os x 10.7+,операционная система,ubuntu 12.04+ 32/64 - bit / steamos+
процессор,core 2 duo - 2.4 ghz or amd equivalent,процессор,core 2 duo - 2.4 ghz,процессор,core 2 duo - 2.4 ghz or amd equivalent
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 9.0 compatible graphics card,видео карта,opengl 2.1+ compatible graphics card,видео карта,opengl 2.1+ compatible graphics card
directx,version 9.0,диск,400 mb,диск,400 mb
диск,450 mb,дополнительно,at least one game controller to play local co-op mode.,дополнительно,at least one game controller to play local co-op mode.
,,,,,
windows_min_Battle Realms: Zen Edition,windows_min_Battle Realms: Zen Edition,windows_req_Battle Realms: Zen Edition,windows_req_Battle Realms: Zen Edition
операционная система,windows vista,операционная система,windows vista
процессор,celeron 400mhz,процессор,pentium iii 750mhz
оперативная память,64 mb,оперативная память,128 mb
видео карта,directx 8 compliant 16mb vram 3d agp accelerated video card,видео карта,directx 8 compliant 32mb vram 3d agp accelerated video card
directx,version 8.0,directx,version 8.0
,,,
