windows_min_Trine 3: The Artifacts of Power,windows_min_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power
операционная система,windows 7
процессор,intel core i3-3225 @ 3.30ghz
оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb
directx,version 11
сеть,широкополосное подключение
звуковая карта,directx 11 compatible
,
windows_min_Quake Champions,windows_min_Quake Champions,windows_req_Quake Champions,windows_req_Quake Champions
операционная система,windows 7 and later,операционная система,windows 7 and later
процессор,amd phenom ii x4-810 / core i5-750 / core i3-530,процессор,amd fx-8320 / intel i5-2400
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd r7 240 gb / nvidia gt 730 2gb / intel hd 530,видео карта,amd r9 290 4gb / nvidia gtx 770 4gb
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Out There Somewhere,windows_min_Out There Somewhere,windows_req_Out There Somewhere,windows_req_Out There Somewhere
операционная система,mac os x 10.7 and up,операционная система,mac os x 10.7 and up
процессор,1.2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,128 mb,видео карта,256 mb
directx,version 9.0,directx,version 9.0
,,,
windows_min_BPM: BULLETS PER MINUTE,windows_min_BPM: BULLETS PER MINUTE,windows_req_BPM: BULLETS PER MINUTE,windows_req_BPM: BULLETS PER MINUTE
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i5-4590,процессор,intel i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 960 2gb .,видео карта,rtx 2060 3gb .
directx,version 11,directx,version 12
,,,
windows_min_POSTAL 4: No Regerts,windows_min_POSTAL 4: No Regerts,windows_req_POSTAL 4: No Regerts,windows_req_POSTAL 4: No Regerts
операционная система,windows 8 and 10,операционная система,windows 8 and 10
процессор,2.5 ghz quad core,процессор,4.0 ghz quad core
оперативная память,8 gb,оперативная память,8 gb
