windows_min_Jump Challenge!,windows_min_Jump Challenge!,macos_min_Jump Challenge!,macos_min_Jump Challenge!,linux_min_Jump Challenge!,linux_min_Jump Challenge!
операционная система,windows 10 64bit,операционная система,indows 10 64bit
процессор,intel core i5-4590 / amd ryzen 5 2600,процессор,intel core i5-10600 / amd ryzen 5 3600
оперативная память,8 gb mb,оперативная память,8 gb mb
видео карта,nvidia gtx 970 / amd radeon r9 390,видео карта,nvidia rtx 2060 / amd radeon rx 5700
directx,version 11,directx,version 11
диск,2gb gb,диск,2gb gb
звуковая карта,dx11 compatible,звуковая карта,dx11 compatible
дополнительно,is recommended that the game is played on low quality settings.,дополнительно,is recommended that the game is played on medium quality settings.
,,,
windows_min_Immersion,windows_min_Immersion,windows_req_Immersion,windows_req_Immersion
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-8100,процессор,intel core i3-8100
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx 1050ti,видео карта,gtx 1050ti
directx,version 11,directx,version 11
,,,
windows_min_UNSTABLE,windows_min_UNSTABLE
операционная система,most recent version of ubuntu lts
процессор,2.0 ghz intel
оперативная память,1 gb
видео карта,intel hd graphics 5000 (amd or nvidia equivalent)
,
windows_min_Winging It,windows_min_Winging It,windows_req_Winging It,windows_req_Winging It
операционная система,windows 7/8/10 (),операционная система,windows 7/8/10 ()
процессор,intel i5-750,процессор,intel i5-2400
оперативная память,4 gb,оперативная память,—
видео карта,gtx 650,видео карта,gtx 970
directx,version 10,directx,version 10
,,,
windows_min_Kalyzmyr,windows_min_Kalyzmyr
операционная система,win 10
процессор,intel i7 870
оперативная память,1 gb
видео карта,onboard
,
"windows_min_Gunner, HEAT, PC!","windows_min_Gunner, HEAT, PC!","windows_req_Gunner, HEAT, PC!","windows_req_Gunner, HEAT, PC!"
операционная система,windows 7,операционная система,windows 7
оперативная память,8 gb,оперативная память,16 gb
видео карта,dedicated gpu,видео карта,"dedicated desktop gpu, gtx 1060"
directx,version 11,directx,version 11
,,,
windows_min_Nara: Contos de Resistncia,windows_min_Nara: Contos de Resistncia,windows_req_Nara: Contos de Resistncia,windows_req_Nara: Contos de Resistncia
операционная система,—,операционная система,—
процессор,—,процессор,—
оперативная память,4 gb,оперативная память,8 gb
