видео карта,gtx 460,видео карта,"gtx 750 or higher, ideally gtx 970"
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Endless Knight,windows_min_Endless Knight,windows_req_Endless Knight,windows_req_Endless Knight
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3 / amd athlon ii 2.4 ghz or above,процессор,intel core i7 3.4 ghz or above
оперативная память,2 gb,оперативная память,4 gb
видео карта,direct x 11 compliant graphics card,видео карта,nvidia geforce gtx 780
directx,version 11,directx,version 11
диск,400 mb,диск,400 mb
,,,
windows_min_BATTLE X Arcade,windows_min_BATTLE X Arcade,windows_req_BATTLE X Arcade,windows_req_BATTLE X Arcade
операционная система,windows 7 64bit,операционная система,windows 7/8/10 64bit
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 970,видео карта,geforce gtx 1070
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звуковая карта,-,звуковая карта,-
,,,
windows_min_BOMB: Who let the dogfight?,windows_min_BOMB: Who let the dogfight?,windows_req_BOMB: Who let the dogfight?,windows_req_BOMB: Who let the dogfight?,macos_min_BOMB: Who let the dogfight?,macos_min_BOMB: Who let the dogfight?,macos_req_BOMB: Who let the dogfight?,macos_req_BOMB: Who let the dogfight?,linux_min_BOMB: Who let the dogfight?,linux_min_BOMB: Who let the dogfight?,linux_req_BOMB: Who let the dogfight?,linux_req_BOMB: Who let the dogfight?
операционная система,windows vista,операционная система,windows 7,операционная система,10.7,операционная система,10.10,операционная система,"steamos, ubuntu 14.04 (64bit)",операционная система,"steamos, ubuntu 14.04 (64bit)"
процессор,intel core 2 duo 6800 or amd equivalent,процессор,intel core i3 or amd equivalent,процессор,intel core 2 duo,процессор,intel core i3,процессор,intel core 2 duo 6800,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 300 series/radeon hd 5800 / intel hd 4xxx and superior,видео карта,geforce 500 series/radeon hd 7800,видео карта,ati radeon hd 4870 / intel hd 4xxx and superior,видео карта,amd firepro,видео карта,geforce 300 series,видео карта,geforce 500 series
directx,version 11,directx,version 11,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,дополнительно,—,дополнительно,a joystick is recommended for the full game experience,дополнительно,—,дополнительно,a joystick is recommended for the full game experience
,,,,,,,,,,,
windows_min_Kung Fu Jesus,windows_min_Kung Fu Jesus,windows_req_Kung Fu Jesus,windows_req_Kung Fu Jesus,macos_min_Kung Fu Jesus,macos_min_Kung Fu Jesus,macos_req_Kung Fu Jesus,macos_req_Kung Fu Jesus,linux_min_Kung Fu Jesus,linux_min_Kung Fu Jesus,linux_req_Kung Fu Jesus,linux_req_Kung Fu Jesus
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10,операционная система,sierra/high sierra/mojave,операционная система,sierra/high sierra/mojave,операционная система,redhat/ubuntu/linuxmint,операционная система,redhat/ubuntu/linuxmint
процессор,i3,процессор,3.5ghz,процессор,3.5ghz,процессор,3.5ghz,процессор,3.5ghz,процессор,3.5ghz
оперативная память,8 gb,оперативная память,16 gb,оперативная память,16 gb,оперативная память,16 gb,оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1050ti,видео карта,m1 chip,видео карта,m1 chip,видео карта,nvidia 1050ti,видео карта,nvidia 1050ti
диск,37 gb,диск,37 gb,диск,37 gb,диск,37 gb,диск,39 gb,диск,39 gb
звуковая карта,any,звуковая карта,focusrite,звуковая карта,any,звуковая карта,focusrite,звуковая карта,any,звуковая карта,focusrite
,,,,,,,,,,,
windows_min_Depth Of Consciousness,windows_min_Depth Of Consciousness
операционная система,windows 7 : 32bit / 64bit
процессор,core 2 duo or higher
оперативная память,2 gb
видео карта,directx11 compatible gpu with 512 mb video
диск,500 mb
,
