процессор,1.6 ghz,процессор,1.6 ghz,процессор,1.6 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,a reasonably modern graphics card,видео карта,a reasonably modern graphics card,видео карта,a reasonably modern graphics card
directx,version 9.0c,диск,114 mb,диск,148 mb
диск,99 mb,дополнительно,supports most input devices,дополнительно,supports most input devices
,,,,,
windows_min_PANZER BALL,windows_min_PANZER BALL,windows_req_PANZER BALL,windows_req_PANZER BALL
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,core i3 2.4 ghz,процессор,core i5 2.8 ghz
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_Lux Ex - Legacy,windows_min_Lux Ex - Legacy
операционная система,windows 7 and above
процессор,1.2 ghz
оперативная память,2 gb
видео карта,4 gb
directx,version 10
,
windows_min_Super Magbot,windows_min_Super Magbot,windows_req_Super Magbot,windows_req_Super Magbot
операционная система,windows 7,операционная система,windows 10
процессор,intel core 2 duo e6750 or amd athlon ii x2 6400+,процессор,intel core i5-650 oramd phenom ii x4 965
оперативная память,2 gb,оперативная память,4 gb
,,,
windows_min_Dead Motherland: Zombie Co-op,windows_min_Dead Motherland: Zombie Co-op,windows_req_Dead Motherland: Zombie Co-op,windows_req_Dead Motherland: Zombie Co-op
операционная система,windows 7 / windows 8 / windows 10,операционная система,windows 10
процессор,intel core™ i3-2500 @3.3 ghz / amd amd phenom ii x6 1055t,процессор,intel core™ i5
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 / amd radeon™ hd 7850 ( 2gb vram),видео карта,geforce gtx 1050ti (4 гб) / radeon rx 570 (4 гб)
,,,
windows_min_AeternoBlade II: Director's Rewind,windows_min_AeternoBlade II: Director's Rewind,windows_req_AeternoBlade II: Director's Rewind,windows_req_AeternoBlade II: Director's Rewind
операционная система,"windows 8.1, 10",операционная система,"windows 8.1, 10"
процессор,"intel core™ i5-4460, amd fx™-6300,",процессор,intel core™ i5-6700
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx750ti,видео карта,gtx1060
directx,version 11,directx,version 11
,,,
windows_min_Mighty Switch Force! Collection,windows_min_Mighty Switch Force! Collection,windows_req_Mighty Switch Force! Collection,windows_req_Mighty Switch Force! Collection
операционная система,windows 7 ( os required),операционная система,windows 10
процессор,intel(r) core 2 duo e7500,процессор,amd phenom(tm) ii x6 1035t @3100 mhz / intel(r) core(tm) i7 3770 @3400 mhz or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750,видео карта,amd radeon hd 7800 series / nvidia gtx 950 or higher
directx,version 11,directx,version 11
,,,
windows_min_King of Crabs,windows_min_King of Crabs
операционная система,osx 10.6
процессор,"intel core 2 duo, running at 2.2 ghz."
оперативная память,120 mb
видео карта,geforce 8800 .
directx,version 9.0c
сеть,широкополосное подключение
диск,120 mb
,
windows_min_Surgeon Simulator VR: Meet The Medic,windows_min_Surgeon Simulator VR: Meet The Medic,windows_req_Surgeon Simulator VR: Meet The Medic,windows_req_Surgeon Simulator VR: Meet The Medic
операционная система,"windows 7 sp1, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel i5-4590 / amd fx 8350 equivalent,процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb,оперативная память,4 gb
видео карта,"nvidia geforce gtx 970, amd radeon™ r9 290 equivalent",видео карта,"nvidia geforce gtx 970, amd radeon™ r9 290 equivalent"
диск,250 mb,диск,250 mb
,,,
windows_min_Space Hamster in Turmoil,windows_min_Space Hamster in Turmoil,macos_min_Space Hamster in Turmoil,macos_min_Space Hamster in Turmoil,linux_min_Space Hamster in Turmoil,linux_min_Space Hamster in Turmoil
операционная система,windows xp+,операционная система,mac os x snow leopard 10.6,операционная система,any distribution built for x86 or x64 s
процессор,1 ghz intel or amd,процессор,core 2 duo,процессор,1 ghz intel or amd
оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb
видео карта,intel hd 3000,видео карта,2006 graphics card,видео карта,opengl compatible graphics card
directx,version 9.0c,диск,200 mb,диск,200 mb
,,,,,
windows_min_Expanse,windows_min_Expanse
операционная система,"64bit windows xp, vista, 7, 8, 10"
процессор,core 2 duo
оперативная память,2 gb
видео карта,intel hd 4000
directx,version 9.0c
диск,400 mb
,
windows_min_Toxic Terror,windows_min_Toxic Terror
операционная система,windows xp sp3
процессор,intel celeron / athlon sempron
оперативная память,128 mb
видео карта,"open gl 2.0 compatible, directx 9.0c"
,
windows_min_GAMECINE VR,windows_min_GAMECINE VR
операционная система,windows 10 or compatible
процессор,4.00 ghz
оперативная память,16 gb
видео карта,nvidia geforce gtx 1060
,
windows_min_Color Circle,windows_min_Color Circle,macos_min_Color Circle,macos_min_Color Circle,linux_min_Color Circle,linux_min_Color Circle
операционная система,windows xp / windows vista / windows 7 / windows 8 / windows 10,операционная система,os x 10.6,операционная система,most modern 64bit linux distributions
процессор,any 64 or 32 bit,процессор,any 64,процессор,any 64 or 32 bit
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,directx or opengl compatible video card,видео карта,directx or opengl compatible video card,видео карта,directx or opengl compatible video card
,,,,,
windows_min_VR Hybrid War 2117 - VR  2117,windows_min_VR Hybrid War 2117 - VR  2117,windows_req_VR Hybrid War 2117 - VR  2117,windows_req_VR Hybrid War 2117 - VR  2117
операционная система,7,операционная система,10
процессор,intel i5-4590 3.3 ghz,процессор,intel i5-4590 3.3 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 970
,,,
windows_min_Dragons and Titans,windows_min_Dragons and Titans,windows_req_Dragons and Titans,windows_req_Dragons and Titans,macos_min_Dragons and Titans,macos_min_Dragons and Titans,macos_req_Dragons and Titans,macos_req_Dragons and Titans,linux_min_Dragons and Titans,linux_min_Dragons and Titans,linux_req_Dragons and Titans,linux_req_Dragons and Titans
операционная система,windows xp/windows vista/windows 7/windows 8 (latest service pack),операционная система,windows 7/windows 8 (latest service pack),операционная система,mac os x 10.7.x (latest version),операционная система,mac os x 10.8,операционная система,ubuntu 12.04 (32-bit version),операционная система,—
процессор,intel pentium d or amd athlon™ 64 x2,процессор,intel core™ 2 duo e6600 or amd athlon™ 64 x2 5000+,процессор,intel core™ 2 duo,процессор,intel core™ i3,процессор,intel pentium d or amd athlon™ 64 x2,процессор,—
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,—
