процессор,intel core i3-8100,процессор,intel core i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia 600 series or higher,видео карта,nvidia 700 series or higher
directx,version 10,directx,version 10
,,,
windows_min_Firebase Defence,windows_min_Firebase Defence
операционная система,windows 7
процессор,2 ghz
оперативная память,4 gb
видео карта,directx 9.0 compatible card
directx,version 9.0
,
windows_min_Galactic Arms Race,windows_min_Galactic Arms Race
операционная система,windows xp
процессор,core 2 duo
оперативная память,256 mb
видео карта,direct x 9 compatible graphics card
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_900,windows_min_900,windows_req_900,windows_req_900,macos_min_900,macos_min_900,macos_req_900,macos_req_900,linux_min_900,linux_min_900,linux_req_900,linux_req_900
операционная система,windows 7 and up,операционная система,windows 7 and up,операционная система,mac os 10.9 (maverick) (approximately),операционная система,mac os 10.9 (maverick) (approximately),операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,intel core 2 duo (2.8 mghz),процессор,intel i5 (2.8 mghz),процессор,intel core 2 duo (2.8 mghz),процессор,intel i5 (2.8 mghz),процессор,intel core 2 duo (2.8 mghz),процессор,intel i5 (2.8 mghz)
оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb
видео карта,geforce gt 130,видео карта,geforce gt 230,видео карта,geforce gt 130,видео карта,geforce gt 230,видео карта,geforce gt 130,видео карта,geforce gt 230
диск,40 mb,диск,40 mb,диск,50 mb,диск,50 mb,диск,50 mb,диск,50 mb
,,,,,,,,,,,
windows_min_Clash of Castle,windows_min_Clash of Castle
операционная система,windows 7/8/10 - 64bits
процессор,2 ghz intel pentium 4 or amd athlon
оперативная память,2 gb
видео карта,intel hd graphique
диск,300 mb
,
windows_min_Empress of Gold,windows_min_Empress of Gold,macos_min_Empress of Gold,macos_min_Empress of Gold,linux_min_Empress of Gold,linux_min_Empress of Gold
операционная система,windows 8/7/vista/xp pc (32 or ),операционная система,mac os x v10.6.6,операционная система,ubuntu
процессор,intel or amd new generation dual core 2.0ghz cpu,процессор,2.0ghz cpu,процессор,intel or amd capable
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia 8800 or ati 3850,видео карта,ati radeon hd 4870,видео карта,nvidia 8800 or ati 3850
directx,version 9.0,диск,276 mb,диск,278 mb
,,,,,
windows_min_Galacatraz: Eject Equip Escape,windows_min_Galacatraz: Eject Equip Escape,windows_req_Galacatraz: Eject Equip Escape,windows_req_Galacatraz: Eject Equip Escape
операционная система,windows xp,операционная система,windows 7 or higher
процессор,dual core,процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4600,видео карта,—
directx,version 10,directx,—
диск,2 gb,диск,—
,,,
windows_min_ManaCollect,windows_min_ManaCollect
операционная система,"windows xp, vista, 7 and 8"
процессор,"intel pentium 4, 3.0 ghz or higher"
оперативная память,1 gb
видео карта,directx 9.0c compatible video card with 256mb memory
directx,version 9.0c
диск,1 gb
,
windows_min_Mactabilis,windows_min_Mactabilis
операционная система,windows xp
процессор,intel pentium 4 2.0ghz
оперативная память,1 gb
видео карта,128 mb video card
,
windows_min_Dawn of Warriors,windows_min_Dawn of Warriors
операционная система,winxp
оперативная память,256 mb
,
windows_min_Blood Island,windows_min_Blood Island
операционная система,windows 7 : 32bit / 64bit
процессор,core 2 duo or higher
оперативная память,2 gb
видео карта,directx11 compatible gpu with 512 mb video
диск,50 mb
,
windows_min_War Of Spells,windows_min_War Of Spells,windows_req_War Of Spells,windows_req_War Of Spells
операционная система,os x 10.7 lion,операционная система,macos 10.10 (only )
процессор,2.5 ghz intel core™2 duo,процессор,1ghz cpu
оперативная память,1 gb,оперативная память,—
видео карта,512 mb,видео карта,—
directx,version 9.0,directx,—
,,,
windows_min_VR Racing,windows_min_VR Racing,windows_req_VR Racing,windows_req_VR Racing
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7 6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1080
directx,version 11,directx,—
диск,2 gb,диск,2 gb
,,,
windows_min_KANNA,windows_min_KANNA,windows_req_KANNA,windows_req_KANNA
операционная система,7,операционная система,10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / 1060,видео карта,nvidia gtx 1070
directx,version 10,directx,version 11
,,,
windows_min_AstroShift,windows_min_AstroShift,windows_req_AstroShift,windows_req_AstroShift
операционная система,windows 7,операционная система,windows 10
процессор,2 ghz,процессор,2.6 ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,1gb graphics card,видео карта,2gb graphics card
диск,200 mb,диск,200 mb
,,,
windows_min_Tiger Fighter 1931 Tora!Tora!,windows_min_Tiger Fighter 1931 Tora!Tora!
операционная система,windows 10
процессор,intel(r) core (tm)2 cpu -t7200 @ 2.50 ghz
оперативная память,4 gb
видео карта,ati mobility raedon x1600 / nvidia geforce 8600m gt
directx,version 12
диск,100 mb
,
windows_min_Badland Bandits,windows_min_Badland Bandits,windows_req_Badland Bandits,windows_req_Badland Bandits,macos_min_Badland Bandits,macos_min_Badland Bandits,macos_req_Badland Bandits,macos_req_Badland Bandits,linux_min_Badland Bandits,linux_min_Badland Bandits,linux_req_Badland Bandits,linux_req_Badland Bandits
операционная система,windows 7 x64,операционная система,windows 7 x64,операционная система,os x 10.7,операционная система,os x 10.10,операционная система,ubuntu 12.04,операционная система,ubuntu 14.04
процессор,"1,8 ghz",процессор,"2,4 ghz",процессор,"1,8 ghz",процессор,"2,4 ghz",процессор,"1,8 ghz",процессор,"2,4 ghz"
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb
диск,5 gb,диск,5 gb,дополнительно,screen resolution 1280x720,дополнительно,screen resolution 1920x1080,дополнительно,screen resolution 1280x720,дополнительно,screen resolution 1920x1080
,,,,,,,,,,,
