directx version,directx 9.0c
звуковая карта,on-board
,
windows_min_Life is Strange: Before the Storm,windows_min_Life is Strange: Before the Storm,windows_req_Life is Strange: Before the Storm,windows_req_Life is Strange: Before the Storm,macos_min_Life is Strange: Before the Storm,macos_min_Life is Strange: Before the Storm,macos_req_Life is Strange: Before the Storm,macos_req_Life is Strange: Before the Storm,linux_min_Life is Strange: Before the Storm,linux_min_Life is Strange: Before the Storm,linux_req_Life is Strange: Before the Storm,linux_req_Life is Strange: Before the Storm
операционная система,windows 7 or above ( operating system required),операционная система,windows 10,операционная система,macos 10.13.5,операционная система,—,операционная система,ubuntu 18.04,операционная система,ubuntu 18.04
процессор,intel core i3-2100 (3.1ghz) or amd phenom x4 945 (3.0ghz),процессор,intel core i3-6100 (3.7ghz) or amd athlon x4 845 (3.5ghz),процессор,2.0ghz intel core i5,процессор,—,процессор,intel core i3-4130t @ 2.90ghz,процессор,intel core i5-6500 @ 3.2ghz
оперативная память,3 gb,оперативная память,6 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon r7 250 or nvidia geforce gtx 650,видео карта,amd radeon rx 460 or nvidia geforce 1050,видео карта,"1gb nvidia 650m, 2gb amd radeon r9 m290, intel iris 5100 (see notes for more details).",видео карта,—,видео карта,"2gb nvidia gtx 680, 2gb amd r9 27",видео карта,"4gb nvidia gtx 970, 4gb amd rx 470"
directx,version 11,directx,version 11,диск,28 gb,диск,—,диск,28 gb,диск,28 gb
диск,14 gb,диск,14 gb,дополнительно,"the game is supported on the following macs. to check your mac model and when it was released, select about this mac from the apple menu on your menu bar. * all mac minis since ...  late 2014 * all 13” macbook pros released since 2013 * all 15"" macbook pros released since mid 2012 with a 1gb graphics card (1) * all 21.5” imacs released since late 2013 * all 27” imacs released since late 2013 (2) * all 27"" imac pro's * all mac pros released since late 2013 1. mid 2015 models with an amd radeon r9 m370x are not supported. 2. late 2012 models with nvidia 675 or nvidia 680 graphics are also supported. ——— the following macs are capable of running the game but do not consistently meet the standards required for official support. * all mac mini's since late 2012 * all macbooks released since early 2015 * all macbook airs released since mid 2012 * all 13"" macbook pros released since mid 2012 * all 21.5” imacs released since early 2013 ——— please note for your computer to meet the minimum requirements it must match all elements of the listed system requirements. for more detailed specifications check the feral website.  еще",дополнительно,—,дополнительно,"* amd gpus require mesa driver 18.1.6, nvidia cards require driver 396.54 . * intel gpus are not supported at time of release.",дополнительно,"* amd gpus require mesa driver 18.1.6, nvidia cards require driver 396.54 . * intel gpus are not supported at time of release."
,,,,,,,,,,,
windows_min_Wolfenstein: The New Order,windows_min_Wolfenstein: The New Order,windows_req_Wolfenstein: The New Order,windows_req_Wolfenstein: The New Order
операционная система,windows 7/windows 8,операционная система,—
процессор,intel core i7 amd,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,"geforce 460, ati radeon hd 6850",видео карта,—
диск,50 gb,диск,—
,,,
windows_min_Battlefield: Bad Company™ 2,windows_min_Battlefield: Bad Company™ 2,windows_req_Battlefield: Bad Company™ 2,windows_req_Battlefield: Bad Company™ 2
операционная система,windows xp,операционная система,windows vista or windows 7
процессор,core 2 duo @ 2.0ghz,процессор,intel core 2 quad or higher
оперативная память,2gb,оперативная память,2gb
видео карта,256 mb video card (geforce 7800 gt / ati x1900),видео карта,512 mb video card (geforce gtx 260/ ati radeon 4870)
directx,"directx 9, 10, and 11 support",directx,—
диск,15 gb,диск,—
,,,
windows_min_INSIDE,windows_min_INSIDE,windows_req_INSIDE,windows_req_INSIDE
операционная система,mac os x 10.13 (high sierra),операционная система,mac os x 10.15.7 (catalina)
процессор,2.0 ghz dual i5,процессор,3.1 ghz 4core intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris pro 5200 1536 mb or amd radeon r9 m370x 2gb or metal-capable equivalent,видео карта,radeon pro 560 4 gb or metal-capable equivalent
directx,version 9.0c,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Assassin's Creed 2 Deluxe Edition,windows_min_Assassin's Creed 2 Deluxe Edition,windows_req_Assassin's Creed 2 Deluxe Edition,windows_req_Assassin's Creed 2 Deluxe Edition
операционная система,"only os x version leopard 10.5.8, snow leopard 10.6.3.",операционная система,—
процессор,intel core 2 duo 3.06 ghz,процессор,intel core i5 2.66ghz
оперативная память,3gb,оперативная память,4gb
видео карта,256 mb dedicated shader model 3.0 or higher (see supported list),видео карта,"512 mb dedicated - ati radeon hd 4850, nvidia geforce gt120"
directx,directx 9.0,directx,directx 9.0
диск,9gb,диск,—
звуковая карта,directx 9.0 –compliant sound card,звуковая карта,5.1 sound card
supported peripherals,"keyboard, mouse, optional controller",supported peripherals,"keyboard, mouse, joystick optional (xbox 360 controller for windows recommended)"
периферия,"mouse, keyboard",периферия,—
,,,
windows_min_Total War: WARHAMMER,windows_min_Total War: WARHAMMER,windows_req_Total War: WARHAMMER,windows_req_Total War: WARHAMMER,macos_min_Total War: WARHAMMER,macos_min_Total War: WARHAMMER,macos_req_Total War: WARHAMMER,macos_req_Total War: WARHAMMER,linux_min_Total War: WARHAMMER,linux_min_Total War: WARHAMMER,linux_req_Total War: WARHAMMER,linux_req_Total War: WARHAMMER
операционная система,windows 7 64bit,операционная система,windows 7/8.1/10 64bit,операционная система,macos 10.12.4 (10.13.6 recommended),операционная система,—,операционная система,"ubuntu 16.10, steamos 2.0",операционная система,ubuntu 18.04
процессор,intel core™ 2 duo 3.0ghz,процессор,intel core™ i5-4570 3.20ghz,процессор,2.0ghz intel core i5,процессор,—,процессор,"3.4ghz intel core i3-4130, 3.5ghz amd fx6300",процессор,3.4 ghz intel core i7-4770
оперативная память,3 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,(directx 11) amd radeon hd 5770 1024mb |; nvidia gts 450 1024mb |; intel hd4000 @720p,видео карта,(directx 11) amd radeon r9 270x 2048mb |; nvidia geforce gtx 760 2048mb @1080p,видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris graphics 540 (see notes for more details)",видео карта,—,видео карта,"1gb nvidia 650ti (driver version 367.28), 2gb amd r9 270 (mesa 13.0.1 driver compiled using llvm 3.9)",видео карта,"4gb nvidia 970 (driver version 396.24), 4gb amd rx 480 (mesa 18.1.5)"
directx,version 11,directx,version 11,диск,37 gb,диск,—,диск,29 gb,диск,35 gb
диск,35 gb,диск,35 gb,дополнительно,"the game is officially supported on the following macs. to check your mac model and when it was released, select about this mac from the apple menu on your menu bar. * all 13"" macbook ...  pros released since 2016 * all 15"" macbook pros released since late 2013 with a 2.3ghz * all 21.5"" imacs released since late 2017 * all 27"" imacs released since late 2013 (1) * models with a nvidia gt 755m graphics card are not officially supported) * all 27"" imac pros released since late 2017 * all mac pros released since late 2013 1. late 2012 models with a 2gb nvidia 680mx graphics card are also supported. please note for your computer to meet the minimum requirements it must match all elements of the listed spec. for more detailed specifications check the feral website. ——— the following macs are capable of running the game but do not consistently meet the standards required for official support. * all 13"" macbook pros released since late 2013 * all 15"" macbook pros released since late 2012 with at least 1gb vram * all 21.5"" imacs released since late 2013 with a 2.3ghz . ———  еще",дополнительно,—,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.
,,,,,,,,,,,
windows_min_World War 3,windows_min_World War 3,windows_req_World War 3,windows_req_World War 3
операционная система,windows 10 (x64),операционная система,windows 10 (x64)
процессор,intel core i3-4340k / amd fx-6300,процессор,intel core i5 2500k / amd ryzen r5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 670/ gtx 1650 or amd radeon hd 7950,видео карта,geforce gtx 1060 or amd radeon r9 390 / amd rx 580
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Red Dead Online,windows_min_Red Dead Online,windows_req_Red Dead Online,windows_req_Red Dead Online
операционная система,windows 7 - service pack 1 (6.1.7601),операционная система,windows 10 - april 2018 update (v1803)
процессор,intel core™ i5-2500k / amd fx-6300,процессор,intel core™ i7-4770k / amd ryzen 5 1500x
видео карта,nvidia geforce gtx 770 2gb / amd radeon r9 280 3gb,видео карта,nvidia geforce gtx 1060 6gb / amd radeon rx 480 4gb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,150 gb,диск,150 gb
,,,
windows_min_Torchlight II,windows_min_Torchlight II,macos_min_Torchlight II,macos_min_Torchlight II,linux_min_Torchlight II,linux_min_Torchlight II
операционная система,windows xp sp3/vista/windows 7,операционная система,"mac os x 10.8, 10.9, 10.10",операционная система,"ubuntu 12.04 lts (or similar, debian-based distro)"
процессор,x86-compatible 1.4ghz or faster,процессор,"intel core 2 duo, 2.0ghz or faster",процессор,"x86 / x86_64-compatible, 2.0ghz"
оперативная память,1gb system,оперативная память,2gb system,оперативная память,2gb system
диск,1.7gb free space (subject to change),диск,1.7gb free space (subject to change) on a case-insensitive volume,диск,1.7gb free space (subject to change)
видео карта,directx compatible 3d graphics card with at least 256mb of addressable memory.,видео карта,opengl 2.0 compatible 3d graphics card with at least 256mb of addressable memory (ati radeon x1600 or nvidia equivalent),видео карта,opengl 2.0 compatible 3d graphics card* with at least 256 mb of addressable memory (ati radeon x1600 or nvidia equivalent)
directx,9.0c,интернет,a broadband internet connection (for steam download and online multiplayer) - online multiplayer requires a free runic account,интернет,a broadband internet connection (for steam download and online multiplayer) - online multiplayer requires a free runic account
,,,,,
windows_min_Barotrauma,windows_min_Barotrauma,windows_req_Barotrauma,windows_req_Barotrauma,macos_min_Barotrauma,macos_min_Barotrauma,macos_req_Barotrauma,macos_req_Barotrauma,linux_min_Barotrauma,linux_min_Barotrauma,linux_req_Barotrauma,linux_req_Barotrauma
операционная система,windows 7/8.1/10 ( versions),операционная система,windows 7/8.1/10 ( versions),операционная система,osx 10.15,операционная система,osx 10.15,операционная система,ubuntu 18.04 lts,операционная система,ubuntu 18.04 lts
процессор,dual core 2.4 ghz,процессор,quad core 3.0 ghz,процессор,dual core 2.4 ghz,процессор,quad core 3.0 ghz,процессор,dual core 2.4 ghz,процессор,quad core 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,"2 gb memory (dedicated vram or shared), shader model 2.0+",видео карта,geforce gtx 950 or radeon r9 370 with at least 2 gb vram,видео карта,"2 gb memory (dedicated vram or shared), opengl 3.0+ support",видео карта,geforce gtx 950 or radeon r9 370 with at least 2 gb vram,видео карта,"2 gb memory (dedicated vram or shared), opengl 3.0+ support",видео карта,geforce gtx 950 or radeon r9 370 with at least 2 gb vram
directx,version 11,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,дополнительно,operating system is required,дополнительно,operating system is required,дополнительно,operating system is required,дополнительно,operating system is required
дополнительно,operating system is required,дополнительно,operating system is required,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_Watch_Dogs™,windows_min_Watch_Dogs™,windows_req_Watch_Dogs™,windows_req_Watch_Dogs™
операционная система,"windows vista (sp2), windows 7 (sp1) or windows 8 (please note that we only support oss.)",операционная система,"windows vista (sp2), windows 7 (sp1) or windows 8 (please note that we only support oss.)"
процессор,intel core 2 quad q8400 @ 2.66ghz or amd phenom ii x4 940 @ 3.0ghz,процессор,eight core - intel core i7-3770 @3.5 ghz or amd fx-8350 x8 @ 4 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,directx 11 graphics card with 1 gb video - nvidia geforce gtx 460 or amd radeon hd 5770,видео карта,directx 11 graphics card with 2 gb video - nvidia geforce gtx 560 ti or amd radeon hd 7850
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
звуковая карта,directx 9.0c compatible sound card with latest drivers,звуковая карта,directx 9.0c compatible sound card with latest drivers
,,,
windows_min_Green Hell,windows_min_Green Hell,windows_req_Green Hell,windows_req_Green Hell
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,3.2 ghz dual core,процессор,3.2 ghz dual core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 660, radeon rx 460 with 2 gb of video",видео карта,"geforce 970, radeon rx 580 with 4gb of video"
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
,,,
windows_min_Sniper Elite 4,windows_min_Sniper Elite 4,windows_req_Sniper Elite 4,windows_req_Sniper Elite 4
операционная система,windows 7 windows 8.1 or windows 10,операционная система,windows 7 windows 8.1 or windows 10
процессор,intel cpu core i3-2100 or amd equivalent,процессор,intel cpu core i7-3770 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_Left 4 Dead,windows_min_Left 4 Dead,windows_req_Left 4 Dead,windows_req_Left 4 Dead
операционная система,macos x 10.6.4 or higher (snow leopard graphics update required),операционная система,—
процессор,"dual core intel, 2ghz",процессор,—
оперативная память,1 gb,оперативная память,1 gb
видео карта,ati radeon 2400 or higher / nvidia 8600m or higher / intel hd graphics 3000,видео карта,—
диск,at least 7.5 gb of free space,диск,—
звуковая карта,directx 9.0c compatible sound card,звуковая карта,—
,,,
windows_min_Resident Evil 4,windows_min_Resident Evil 4,windows_req_Resident Evil 4,windows_req_Resident Evil 4
операционная система,"windows xp/ vista, windows 7, windows 8",операционная система,"windows vista, windows 7, windows 8"
процессор,"intel core™ 2 duo 2.4 ghz, amd athlon™ x2 2.8 ghz",процессор,"intel core™ 2 quad 2.7 ghz, amd phenom™ ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 8800gts, ati radeon™ hd 4850",видео карта,nvidia geforce gtx 560
directx,version 9.0c,directx,version 9.0c
диск,15 gb,диск,15 gb
,,,
