windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law
windows_min_Modern Combat,windows_min_Modern Combat,windows_req_Modern Combat,windows_req_Modern Combat
операционна€ система,"windows xp, vista, 7 or 8",операционна€ система,"windows xp, vista, 7 or 8"
процессор,2.0 ghz intel pentium iv or amd athlon xp,процессор,3.0 ghz intel pentium iv
видео карта,directx 9.0c compatible 64mb video card with pixel shader 1.1 support and latest manufacturer drivers,видео карта,256 mb nvidia geforce 6800 series
диск,2 gb,диск,Ч
звукова€ карта,directx 9.0c compatible 16-bit sound card,звукова€ карта,Ч
,,,
windows_min_Line of Sight: Vietnam,windows_min_Line of Sight: Vietnam,windows_req_Line of Sight: Vietnam,windows_req_Line of Sight: Vietnam
операционна€ система,windows xp / vista / 7 / 8 / 10,операционна€ система,windows xp / vista / 7 / 8 / 10
процессор,1.0 ghz,процессор,1.5 ghz
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb
видео карта,100% directx compatible graphics,видео карта,100% directx compatible graphics
диск,600 mb,диск,600 mb
,,,
windows_min_Galaxy in Turmoil,windows_min_Galaxy in Turmoil
операционна€ система,windows 7 or mac os x 10.9.2
процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 11
сеть,широкополосное подключение
диск,30 gb
,
windows_min_The Evil Within - Soundtrack,windows_min_The Evil Within - Soundtrack
,
windows_min_Loadout: Badass Duck Float,windows_min_Loadout: Badass Duck Float
операционна€ система,"windows xp sp3, windows vista, windows 7, windows 8"
процессор,intel core 2 duo or amd equivalent
оперативна€ пам€ть,2 gb
видео карта,ati radeon hd 4350 / nvidia geforce 6800 / intel hd 3000
directx,9.0c
диск,4gb hd space
звукова€ карта,directx compatible sound card
,
windows_min_Furi - One More Fight,windows_min_Furi - One More Fight
операционна€ система,"windows 7, windows 8, windows 10"
процессор,intel core i3 / amd phenom ii x4
оперативна€ пам€ть,4 gb
видео карта,geforce gtx 650 / amd r7 250 (1gb vram min)
,
windows_min_SENRAN KAGURA Peach Beach Splash - VALKYRIE DRIVE -BHIKKHUNI- Collaboration Pack,windows_min_SENRAN KAGURA Peach Beach Splash - VALKYRIE DRIVE -BHIKKHUNI- Collaboration Pack
операционна€ система,windows 7+ os
процессор,intel core i3-550 @ 3.2 ghz (2-core)
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450
directx,version 11
диск,22 gb
,
windows_min_BrainBread 2,windows_min_BrainBread 2,windows_req_BrainBread 2,windows_req_BrainBread 2,macos_min_BrainBread 2,macos_min_BrainBread 2,macos_req_BrainBread 2,macos_req_BrainBread 2,linux_min_BrainBread 2,linux_min_BrainBread 2,linux_req_BrainBread 2,linux_req_BrainBread 2
операционна€ система,windows xp/vista/7/8/10,операционна€ система,windows xp/vista/7/8/10,операционна€ система,"mac os x leopard 10.5.8, snow leopard 10.6.3",операционна€ система,mac os x lion 10.7 or higher,операционна€ система,"ubuntu 14.x, centos 7.x",операционна€ система,"ubuntu 14.x, centos 7.x"
процессор,1.7 ghz,процессор,pentium 4 3.0 ghz,процессор,1.7 ghz,процессор,pentium 4 3.0 ghz,процессор,1.7 ghz,процессор,pentium 4 3.0 ghz
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb,оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb,оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb
видео карта,ati radeon 9600 or nvidia geforce 500 series,видео карта,"ati x1600, nvidia geforce 600 series or higher",видео карта,ati radeon 9600 or nvidia geforce 9400m,видео карта,"ati x1600, nvidia geforce 9 or higher",видео карта,ati radeon 9600 or nvidia geforce 500 series,видео карта,"amd, nvidia geforce 600 series or higher"
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb
диск,6 gb,диск,6 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Shadow of the Tomb Raider - The Serpent's Heart,windows_min_Shadow of the Tomb Raider - The Serpent's Heart,windows_req_Shadow of the Tomb Raider - The Serpent's Heart,windows_req_Shadow of the Tomb Raider - The Serpent's Heart
операционна€ система,windows 7,операционна€ система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_Andoran Skye 1.5,windows_min_Andoran Skye 1.5,windows_req_Andoran Skye 1.5,windows_req_Andoran Skye 1.5
операционна€ система,mountain lion 10.8.5,операционна€ система,Ч
процессор,2.0 ghz,процессор,Ч
оперативна€ пам€ть,256 mb,оперативна€ пам€ть,Ч
видео карта,geforce 7900 gtx,видео карта,geforce 740 gtx
directx,version 11,directx,version 11
диск,1 gb,диск,Ч
,,,
windows_min_Liberty Prime,windows_min_Liberty Prime,windows_req_Liberty Prime,windows_req_Liberty Prime
операционна€ система,windows 7,операционна€ система,windows 7
процессор,2.0 ghz dual core or similar,процессор,intel core i5 2.6ghz or similar
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 650 or similar,видео карта,geforce gtx 760 or similar
directx,version 10,directx,version 11
,,,
windows_min_Jet Set Knights,windows_min_Jet Set Knights,windows_req_Jet Set Knights,windows_req_Jet Set Knights
операционна€ система,mac osx 10.10.2,операционна€ система,mac osx 10.10.2
процессор,2.0 ghz intel,процессор,2.0 ghz intel
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb
видео карта,nvidia gt/s 4xx,видео карта,nvidia geforce 600 series or higher
directx,version 9.0c,directx,version 9.0c
,,,
"windows_min_Resident Evil: Revelations Jessica's G18 + Custom Part: ""BSAA""","windows_min_Resident Evil: Revelations Jessica's G18 + Custom Part: ""BSAA""","windows_req_Resident Evil: Revelations Jessica's G18 + Custom Part: ""BSAA""","windows_req_Resident Evil: Revelations Jessica's G18 + Custom Part: ""BSAA"""
операционна€ система,windows xp,операционна€ система,windows vista
процессор,"intel coreЩ 2 duo 2.4ghz, amd athlonЩ x2 2.8 ghz",процессор,"intel coreЩ 2 quad 2.7 ghz, amd phenomЩ ii x4 3 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia geforce 8800gts, ati radeonЩ hd3850",видео карта,"nvidia geforce gtx 560, ati radeonЩ hd6950"
directxЃ,9.0c,directxЃ,9.0c
диск,8 gb hd space,диск,8 gb hd space
звукова€ карта,directsound supported with directx9.0c,звукова€ карта,directsound supported with directx9.0c
,,,
windows_min_DARK SOULSЩ II - Season Pass,windows_min_DARK SOULSЩ II - Season Pass,windows_req_DARK SOULSЩ II - Season Pass,windows_req_DARK SOULSЩ II - Season Pass
операционна€ система,"windows vista sp2, windows 7 sp1, windows 8",операционна€ система,"windows 7 sp1, windows 8"
процессор,amd phenom iiЩ x2 555 3.2ghz or intel pentium core Щ 2 duo e8500 3.17ghz,процессор,intel coretm i3 2100 3.10ghz or amd a8 3870k 3.0ghz
видео карта,"nvidia geforce 9600gt, ati radeonЩ hd 5870",видео карта,Ч
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
дополнительно,controller support: microsoft xbox 360 controller for windows () recommended,дополнительно,controller support: microsoft xbox 360 controller for windows () recommended
оперативна€ пам€ть,Ч,оперативна€ пам€ть,4 gb
диск,Ч,диск,15 gb
,,,
windows_min_Drunk or Dead - On the Road,windows_min_Drunk or Dead - On the Road
операционна€ система,windows 10
