windows_min_Monster Hunter: World - Hairstyle: Field Team Leader,windows_min_Monster Hunter: World - Hairstyle: Field Team Leader,windows_req_Monster Hunter: World - Hairstyle: Field Team Leader,windows_req_Monster Hunter: World - Hairstyle: Field Team Leader
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intel core™ i5-4460, 3.20ghz or amd fx™-6300",процессор,intel core™ i7 3770 3.4ghz or intel core™ i3 8350 4ghz or amd ryzen™ 5 1500x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x (vram 2gb),видео карта,nvidia geforce gtx 1060 (vram 3gb) or amd radeon™ rx 570 (vram 4gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_World of Warships — Monaghan Pack,windows_min_World of Warships — Monaghan Pack,windows_req_World of Warships — Monaghan Pack,windows_req_World of Warships — Monaghan Pack
операционная система,macos 10.7.5,операционная система,macos 10.10
процессор,intel core i5 4570r,процессор,intel core i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,"intel hd 5000, intel iris 5100",видео карта,nvidia geforce gt 750m
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,43 gb,диск,45 gb
звуковая карта,directx 10.1,звуковая карта,directx 11
,,,
windows_min_Tomb Raider: 1939 Multiplayer Map Pack,windows_min_Tomb Raider: 1939 Multiplayer Map Pack,windows_req_Tomb Raider: 1939 Multiplayer Map Pack,windows_req_Tomb Raider: 1939 Multiplayer Map Pack,macos_min_Tomb Raider: 1939 Multiplayer Map Pack,macos_min_Tomb Raider: 1939 Multiplayer Map Pack,macos_req_Tomb Raider: 1939 Multiplayer Map Pack,macos_req_Tomb Raider: 1939 Multiplayer Map Pack,linux_min_Tomb Raider: 1939 Multiplayer Map Pack,linux_min_Tomb Raider: 1939 Multiplayer Map Pack,linux_req_Tomb Raider: 1939 Multiplayer Map Pack,linux_req_Tomb Raider: 1939 Multiplayer Map Pack
операционная система,"windows xp service pack 3, windows vista,7,8 (32bit/64bit)",операционная система,"windows vista, windows 7 or windows 8",операционная система,macos 10.9.1,операционная система,—,операционная система,ubuntu 14.04 or steam os 2.0 (),операционная система,ubuntu 14.04 or steam os 2.0 ()
процессор,"dual core cpu: amd athlon64 x2 2.1 ghz (4050+), intel core2 duo 1.86 ghz (e6300)",процессор,"quad core cpu: amd phenom ii x4 955, intel core i5-750",процессор,2.0ghz intel,процессор,—,процессор,intel i3 or amd fx-6300,процессор,intel i5
оперативная память,2 gb,оперативная память,4 gb,оперативная память,4gb,оперативная память,—,оперативная память,4gb memory,оперативная память,8gb memory
видео карта,"directx 9 graphics card with 512mb video: amd radeon hd 2600 xt, nvidia 8600",видео карта,"directx 11 graphics card with 1gb video: amd radeon hd 5870, nvidia gtx 480",видео карта,"512mb amd 4850, 512mb nvidia 650m, intel hd4000* (see notes for more details)",видео карта,—,диск,15 gb hd space,диск,15 gb hd space
