видео карта,intel hd 4000
,
windows_min_The Legend of Tianding,windows_min_The Legend of Tianding,windows_req_The Legend of Tianding,windows_req_The Legend of Tianding
операционная система,windows 10 version 18362.0 or higher,операционная система,windows 10 version 18362.0 or higher
процессор,amd athlon x4 | intel core i5 4460,процессор,amd ryzen 3 | intel i5 skylake
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 950 |; amd r7 370,видео карта,nvidia gtx 970 |; amd rx 570
directx,version 11,directx,version 11
,,,
windows_min_Until Last Breath,windows_min_Until Last Breath,windows_req_Until Last Breath,windows_req_Until Last Breath
операционная система,windows 10 - 64bit,операционная система,windows 10 - 64bit
процессор,intel core™ i5-6600 / amd ryzen™ 5 2500x,процессор,intel core™ i5-9600 / amd ryzen™ 7 3700x
оперативная память,8 gb,оперативная память,16 gb
видео карта,@1080p nvidia geforce gtx 1650 super or gtx 1060 / radeon™ r9 390x,видео карта,@1080p nvidia geforce gtx 1660 super / radeon™ rx 5600xt |; @4k nvidia geforce rtx 2080 or rtx 3060 ti / radeon™ rx 6800
directx,version 11,directx,version 11
диск,12 gb,диск,12 gb
,,,
windows_min_Animal Rescuer: Prologue,windows_min_Animal Rescuer: Prologue,windows_req_Animal Rescuer: Prologue,windows_req_Animal Rescuer: Prologue
операционная система,windows 7 | windows 8 | windows 10,операционная система,windows 7 | windows 8 | windows 10
процессор,intel core i3-6100t | amd fx-6100,процессор,intel core i5-4460 | amd fx-6350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 |; amd radeon r7-250x,видео карта,nvidia geforce gtx 750 |; amd radeon r7-265x
,,,
windows_min_Animal Rescuer,windows_min_Animal Rescuer,windows_req_Animal Rescuer,windows_req_Animal Rescuer
операционная система,windows 7 | windows 8 | windows 10,операционная система,windows 10
процессор,intel core i3-6100t | amd fx-6100,процессор,intel core i5-4460 | amd fx-6350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 |; amd radeon r7-250x,видео карта,nvidia geforce gtx 750 |; amd radeon r7-265x
,,,
windows_min_Last Hope on Earth,windows_min_Last Hope on Earth,windows_req_Last Hope on Earth,windows_req_Last Hope on Earth
операционная система,windows 10 - s,операционная система,windows 10 - s
процессор,quad core intel / amd - 2.5 ghz,процессор,intel core i5-9600k coffee lake - 3.7ghz / amd ryzen 5 3600x - 3.8ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750/ amd radeon r9 270,видео карта,nvidia geforce gtx 1660 6gb / amd radeon rx 590 8gb
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,10 gb
,,,
windows_min_Winter Ember,windows_min_Winter Ember,windows_req_Winter Ember,windows_req_Winter Ember
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-6400,процессор,intel core™ i5-7400
оперативная память,8 gb,оперативная память,8 mb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1060
directx,version 12,directx,version 12
,,,
windows_min_Cybernetica: fallen city,windows_min_Cybernetica: fallen city
операционная система,windows 7/8/10
процессор,core i3-7100
оперативная память,4 mb
видео карта,gtx 960
диск,2 gb
,
windows_min_Anime - Space Sniper,windows_min_Anime - Space Sniper
операционная система,windows 7/8/10
процессор,2.0 ghz dual core
оперативная память,2 gb
видео карта,directx compatible 1024 vram
диск,950 mb
,
windows_min_Raji: Prologue,windows_min_Raji: Prologue,windows_req_Raji: Prologue,windows_req_Raji: Prologue
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-4400 (3.1 ghz) / amd fx-6300 (3.5 ghz),процессор,intel core i5-7400 (3.50 ghz) / amd fx-8100 (2.8 ghz)
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 760 / amd radeon r9 270,видео карта,geforce gtx 1060 / amd rx 480
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Struggle Offensive,windows_min_Struggle Offensive,windows_req_Struggle Offensive,windows_req_Struggle Offensive
операционная система,windows 7 / 10 (32/64bit),операционная система,windows 7 / 10 (32/64bit)
процессор,intel core™ 2 duo e6600 or amd phenom™ x3 8750,процессор,intel core i5-4460
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel uhd 600 graphics,видео карта,nvidia geforce gtx 550 ti
,,,
windows_min_RagDoll MadDoll,windows_min_RagDoll MadDoll
операционная система,"windows 7,8 or 10 (64bit)"
процессор,—
оперативная память,2 gb
видео карта,3d capable gpu
,
windows_min_NEON STRUCT: Carrion Carrier,windows_min_NEON STRUCT: Carrion Carrier,windows_req_NEON STRUCT: Carrion Carrier,windows_req_NEON STRUCT: Carrion Carrier
,,,
windows_min_Self gunsbase,windows_min_Self gunsbase,macos_min_Self gunsbase,macos_min_Self gunsbase,linux_min_Self gunsbase,linux_min_Self gunsbase
операционная система,windows 10,операционная система,macos 10+,операционная система,ubuntu 14.04
процессор,"intel core2 duo e8400, 3.0ghz or amd athlon 64 x2 6000+, 3.0ghz or higher",процессор,apple silicon m1+,процессор,"quad-core intel or amd, 2 ghz"
оперативная память,4 gb,оперативная память,16 gb,оперативная память,4 gb
,,,,,
