видео карта,geforce 840m,видео карта,geforce gtx 1050
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Zombie Nightmare,windows_min_Zombie Nightmare
операционная система,windows 7
процессор,dual-core intel or amd
оперативная память,4 gb
видео карта,direct x 10 compatible video card
directx,version 10
,
windows_min_Bomb Bots Arena,windows_min_Bomb Bots Arena,windows_req_Bomb Bots Arena,windows_req_Bomb Bots Arena
операционная система,snow leopard,операционная система,—
процессор,"2nd generation core i3, amd a6, or higher",процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"nvidia 8800 gt, amd 5670, intel hd 3000",видео карта,—
directx,version 9.0,directx,—
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Kissing Simulator,windows_min_Kissing Simulator,windows_req_Kissing Simulator,windows_req_Kissing Simulator
операционная система,windows 7,операционная система,windows 10
процессор,i7,процессор,i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 780,видео карта,gtx 960
directx,version 11,directx,version 11
,,,
windows_min_9th Dawn Classic - Clunky controls edition,windows_min_9th Dawn Classic - Clunky controls edition,windows_req_9th Dawn Classic - Clunky controls edition,windows_req_9th Dawn Classic - Clunky controls edition
операционная система,windows xp,операционная система,windows 7/8/10
процессор,pentium 4 or athlon xp,процессор,intel i3
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,nvidia geforce fx 5700+ / ati radeon 9500+,видео карта,nvidia geforce 6800+ / ati radeon x800
directx,version 9.0,directx,version 9.0
,,,
windows_min_Aces of the Luftwaffe - Squadron,windows_min_Aces of the Luftwaffe - Squadron,windows_req_Aces of the Luftwaffe - Squadron,windows_req_Aces of the Luftwaffe - Squadron
операционная система,windows 7,операционная система,windows 7
процессор,3.0 ghz,процессор,3.6 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,dedicated graphics card needed,видео карта,gtx 660
directx,version 11,directx,version 11
,,,
windows_min_Abyss Raiders: Uncharted,windows_min_Abyss Raiders: Uncharted,windows_req_Abyss Raiders: Uncharted,windows_req_Abyss Raiders: Uncharted
операционная система,windows vista/windows 7/windows 8,операционная система,windows vista/windows 7/windows 8
процессор,amd/intel dual-core 2.4 ghz,процессор,intel core i5-2500k or amd fx-8350
оперативная память,3 gb,оперативная память,4 gb
видео карта,1024 mb directx 9.0c compatible amd radeon hd 5850 / nvidia geforce gtx 460 or higher,видео карта,2048 mb directx 9.0c compatible amd radeon r9 270 / nvidia geforce gtx 670 or higher
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_CSI VR: Crime Scene Investigation,windows_min_CSI VR: Crime Scene Investigation,windows_req_CSI VR: Crime Scene Investigation,windows_req_CSI VR: Crime Scene Investigation
операционная система,"windows™ 7 sp1, windows™ 8.1 or windows™ 10",операционная система,"windows 8.1, windows 10"
процессор,intel core i5 4590 or amd fx 8350,процессор,intel core i5 4590 or amd fx 8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970 or amd radeon r9 290,видео карта,"nvidia geforce gtx 1060 or amd radeon rx 480, equivalent"
,,,
windows_min_Virus Z,windows_min_Virus Z
операционная система,windows xp / windows vista / windows 7 / windows 8 / windows 10
процессор,any 64 or 32 bit
оперативная память,1 gb
видео карта,geforce
directx,version 9.0
,
windows_min_Trials of Ascension: Exile,windows_min_Trials of Ascension: Exile
операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320
оперативная память,4 gb
видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb
directx,version 11
диск,8 gb
,
windows_min_Headsnatchers,windows_min_Headsnatchers,windows_req_Headsnatchers,windows_req_Headsnatchers
операционная система,"microsoft windows 7 sp1, windows 8, windows 10",операционная система,"microsoft windows 7 sp1, windows 8, windows 10"
процессор,2.7 ghz intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 560 ti,видео карта,nvidia geforce gtx 960
directx,version 12,directx,version 12
диск,7 gb,диск,7 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
дополнительно,highly recommended to use gamepads,дополнительно,highly recommended to use gamepads
,,,
windows_min_HordeCore,windows_min_HordeCore,windows_req_HordeCore,windows_req_HordeCore
операционная система,windows 7 sp1+,операционная система,windows 10
процессор,dual core 2.4 ghz,процессор,dual core 3.0 ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1060
directx,version 10,directx,version 10
,,,
windows_min_Shadow Warrior Classic (1997),windows_min_Shadow Warrior Classic (1997),windows_req_Shadow Warrior Classic (1997),windows_req_Shadow Warrior Classic (1997)
операционная система,os x 10.6.8,операционная система,os x 10.6.8
процессор,intel core duo 2ghz+,процессор,intel core duo 2ghz+
оперативная память,1 gb,оперативная память,1 gb
видео карта,64mb of video memory,видео карта,64mb of video memory
directx,9.0,directx,9.0
