windows_min_CS:GO,windows_min_CS:GO,macos_min_CS:GO,macos_min_CS:GO,linux_min_CS:GO,linux_min_CS:GO
операционная система,windows 7,операционная система,windows 7,операционная система,os x 10.9 mavericks,операционная система,os x 10.9 mavericks,операционная система,any up to date version,операционная система,any up to date version
процессор,2.6 ghz quad core or similar,процессор,i5 3ghz or ryzen 5 3ghz,процессор,2.6 ghz dual core or similar,процессор,i5 3ghz,процессор,2.6 ghz dual core or similar,процессор,i5 3ghz or ryzen 5 3ghz
оперативная память,8 gb,оперативная память,16 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 950 or radeon hd 7970,видео карта,geforce gtx 1060 or radeon rx 580,видео карта,geforce gtx 500 series or similar,видео карта,geforce gtx 970 series or similar,видео карта,geforce gtx 950 or radeon hd 7970,видео карта,geforce gtx 1060 or radeon rx 580
directx,version 11,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
дополнительно,"the following languages have been partially translated by the community: svenska, italiano, romanian, български, македонски, suomi, dansk, slenska, lietuvi kalba, etina, magyar nyelv, portugus europeu,  (), norsk, ,  , abenaki, slovenina",дополнительно,—,,,,,,,,
,,,,,,,,,,,
windows_min_PAYDAY 2,windows_min_PAYDAY 2,windows_req_PAYDAY 2,windows_req_PAYDAY 2
операционная система,steamos,операционная система,steamos
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia & amd (512mb vram),видео карта,nvidia & amd (1gb vram)
directx,9.0c,directx,9.0c
диск,83 gb,диск,83 gb
,,,
windows_min_Fall Guys: Ultimate Knockout,windows_min_Fall Guys: Ultimate Knockout
операционная система,windows 10 64bit only
процессор,intel core i5 or amd equivalent
оперативная память,8 gb
видео карта,nvidia gtx 660 or amd radeon hd 7950
сеть,широкополосное подключение
диск,2 gb
,
windows_min_Phasmophobia,windows_min_Phasmophobia,windows_req_Phasmophobia,windows_req_Phasmophobia
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i5-4590 / amd ryzen 5 2600,процессор,intel core i5-10600 / amd ryzen 5 3600
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 390,видео карта,nvidia rtx 2060 / amd radeon rx 5700
диск,18 gb,диск,18 gb
дополнительно,"minimum specs are for vr, lower specs may work for non-vr.",дополнительно,—
,,,
windows_min_DayZ,windows_min_DayZ,windows_req_DayZ,windows_req_DayZ
операционная система,windows 7/8.1,операционная система,windows 10
процессор,intel core i5-4430,процессор,intel core i5-6600k or amd r5 1600x
оперативная память,8 gb,оперативная память,12 gb
