windows_min_Dead Cells: Rise of the Giant,windows_min_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant
windows_min_Mercenaries VR,windows_min_Mercenaries VR
операционная система,windows 7 x64
процессор,intel core i7 4790k
оперативная память,8 gb
видео карта,nvidia geforce gtx 1060
directx,version 10
,
windows_min_Truck the System,windows_min_Truck the System
операционная система,something recent-ish
процессор,2ghz dual core
оперативная память,2 gb
видео карта,geforce gt 650m or higher
directx,version 10
,
windows_min_The Secrets of The Forest,windows_min_The Secrets of The Forest,windows_req_The Secrets of The Forest,windows_req_The Secrets of The Forest
операционная система,ubuntu,операционная система,ubuntu
процессор,intel core 2 duo,процессор,intel core i3 6100
оперативная память,3 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 710,видео карта,nvidia geforce gtx 1050
directx,version 10,directx,version 11
,,,
windows_min_Super Bernie World,windows_min_Super Bernie World,macos_min_Super Bernie World,macos_min_Super Bernie World,linux_min_Super Bernie World,linux_min_Super Bernie World
операционная система,windows 7,операционная система,10.9 mavericks,операционная система,glibc 2.17+ only
процессор,dual core 2.0 ghz,процессор,dual core 2.0 ghz,процессор,dual core 2.0 ghz
оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb
видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
диск,100 mb,диск,100 mb,диск,100 mb
,,,,,
windows_min_Call of Duty®: Black Ops II - North American Flags of the World Calling Card Pack,windows_min_Call of Duty®: Black Ops II - North American Flags of the World Calling Card Pack
операционная система,windows xp sp3/windows vista/windows 7/ windows 8
процессор,intel core 2 duo e4400 @ 2.00 ghz or amd athlon 64 x2 4000+ @ 2.0 ghz
оперативная память,2 gb
видео карта,amd radeon hd 4670 512mb or nvidia geforce 8800 gt 512mb
directx®,9.0c
диск,9 gb hd space
звуковая карта,directx 9.0c
,
windows_min_Square Heroes,windows_min_Square Heroes,windows_req_Square Heroes,windows_req_Square Heroes,macos_min_Square Heroes,macos_min_Square Heroes,macos_req_Square Heroes,macos_req_Square Heroes,linux_min_Square Heroes,linux_min_Square Heroes,linux_req_Square Heroes,linux_req_Square Heroes
операционная система,"windows: xp (sp3), vista, 7, 8 or 10",операционная система,"windows: xp (sp3), vista, 7, 8 or 10",операционная система,os x 10.6 (snow leopard),операционная система,os x 10.8 (mountain lion),операционная система,"amd64 ubuntu, steamos, linux mint...",операционная система,"amd64 ubuntu, steamos ..."
процессор,any with 2 or more cores,процессор,any with 2 or more cores,процессор,intel core duo,процессор,any with 2 or more cores,процессор,amd64 with 2 or more cores,процессор,amd64 with 2 or more cores
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,"ati or nvidia with at least 256mb, intel gma 950 and above",видео карта,"ati or nvidia with at least 512mb, intel hd 4000 and above",видео карта,opengl 3.0 with at least 256mb,видео карта,opengl 3.0 with at least 512mb,видео карта,opengl 3.0 with at least 256mb,видео карта,opengl 3.0 with at least 512mb
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,256 mb,диск,1 gb,диск,256 mb,диск,1 gb
,,,,,,,,,,,
windows_min_Delta Force: Xtreme,windows_min_Delta Force: Xtreme
операционная система,microsoft windows 2000/xp/vista
процессор,intel pentium ii 1.2 ghz
оперативная память,512 mb
диск,820 mb
видео карта,directx 9.0 agp with 32mb with hw-t&l
звуковая карта,directx-compliant
,
windows_min_Line of Sight - Starters Pack,windows_min_Line of Sight - Starters Pack,windows_req_Line of Sight - Starters Pack,windows_req_Line of Sight - Starters Pack
операционная система,windows 7,операционная система,windows 7 64bit
процессор,dual core 2.0ghz from intel or amd 2.0ghz,процессор,dual core 2.6 from intel or amd 2.6ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600",видео карта,—
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Urban Trial Playground,windows_min_Urban Trial Playground,macos_min_Urban Trial Playground,macos_min_Urban Trial Playground,linux_min_Urban Trial Playground,linux_min_Urban Trial Playground
операционная система,win 7,операционная система,macos mojave,операционная система,ubuntu 18.04 lts
процессор,intel core 2 duo e8400 / amd phenom ii x4 940,процессор,i5 2.9 ghz,процессор,intel core 2 duo e8400
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 630 / radeon hd 7570,видео карта,"iris 550, compatible with metal",видео карта,"geforce gt 630, compatible with vulkan"
directx,version 11,диск,6 mb,диск,6 gb
,,,,,
windows_min_Elemental Combat,windows_min_Elemental Combat,windows_req_Elemental Combat,windows_req_Elemental Combat
операционная система,windows 7 -,операционная система,windows 10
процессор,intel i5-4590 equivalent or greate,процессор,intel core i7 6700k
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd,видео карта,nvidia gtx 1060 / amd
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,4 gb
,,,
windows_min_Cabela's® Dangerous Hunts 2013 Demo,windows_min_Cabela's® Dangerous Hunts 2013 Demo
операционная система,windows xp 32-bit (with service pack 3)
процессор,intel core 2 duo e2180 or amd athlon 64 x2 4000+ socket am2
оперативная память,2 gb
видео карта,nvidia geforce 8800 gt 512mb/ ati x1900xt 512mb
directx®,9.0c
диск,6 gb hd space
звуковая карта,100% directx 9.0c compatible 16-bit sound card
,
windows_min_Dark Days,windows_min_Dark Days
операционная система,windows vista 32 /
процессор,2 ghz
оперативная память,2 gb
directx,version 10
,
windows_min_VR Golf Online,windows_min_VR Golf Online,windows_req_VR Golf Online,windows_req_VR Golf Online
операционная система,"windows 7, 8, 8.1, 10 (32/)",операционная система,"windows 7, 8, 8.1, 10 ()"
процессор,intel i5-4590,процессор,intel i5-4590
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 960 / amd r9 280,видео карта,nvidia gtx 1060 / amd r9 290
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Street Fighter X Tekken: TK Booster Pack 6,windows_min_Street Fighter X Tekken: TK Booster Pack 6,windows_req_Street Fighter X Tekken: TK Booster Pack 6,windows_req_Street Fighter X Tekken: TK Booster Pack 6
,,,
windows_min_Quantum Legend - VR Experience,windows_min_Quantum Legend - VR Experience,windows_req_Quantum Legend - VR Experience,windows_req_Quantum Legend - VR Experience
операционная система,w10,операционная система,w10
процессор,intel(r)core(tm)i7-6700cpu @ 3.40ghz 16gb,процессор,intel core i7 6900k
оперативная память,16 gb,оперативная память,32 gb
видео карта,geforce gtx 1070,видео карта,geforce gtx 1080ti
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
