звуковая карта,sound blaster x-fi™ series
диск,7 gb uncompressed free hard disk space
,
windows_min_American Theft 80s,windows_min_American Theft 80s,windows_req_American Theft 80s,windows_req_American Theft 80s
операционная система,windows 7,операционная система,windows 10
процессор,intel core i7,процессор,intel core i9
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1050,видео карта,nvidia geforce gtx 1060
диск,12 gb,диск,12 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Warplanes: WW1 Fighters,windows_min_Warplanes: WW1 Fighters,windows_req_Warplanes: WW1 Fighters,windows_req_Warplanes: WW1 Fighters
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i5-4590 / amd fx 8350
оперативная память,4 gb,оперативная память,4 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290 equivalent",видео карта,"nvidia geforce gtx 1060, amd radeon rx 480 equivalent"
,,,
windows_min_WAVESHAPER,windows_min_WAVESHAPER
операционная система,ubuntu os version 14.04 lts
процессор,core 2 duo
оперативная память,512 mb
видео карта,opengl-capable graphics card
directx,version 9.0c
,
windows_min_Bastide,windows_min_Bastide,windows_req_Bastide,windows_req_Bastide
операционная система,windows 10 or higher,операционная система,windows 10 or higher
процессор,amd ryzen 3 2200 g,процессор,amd ryzen 5 2600
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce 780 or higher,видео карта,nvidia geforce 970 or higher
directx,version 11,directx,version 12
,,,
windows_min_Withstand: Survival,windows_min_Withstand: Survival,windows_req_Withstand: Survival,windows_req_Withstand: Survival
операционная система,windows 8.1 / ( only),операционная система,windows 10 / ( only)
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350",процессор,intel i5-4590 / amd ryzen 5 1500x
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 960 / amd radeon r9 290,видео карта,nvidia gtx 1060 / amd radeon rx 480
directx,version 11,directx,version 12
диск,20 gb,диск,20 gb
звуковая карта,directx-compatible (5.1 surround sound recommended),звуковая карта,directx-compatible (5.1 surround sound recommended)
,,,
windows_min_Tank Destroyer,windows_min_Tank Destroyer
операционная система,"windows xp, vista, 7, 8/8.1, 10"
процессор,1.8 ghz
оперативная память,2 gb
видео карта,256 mb vram
directx,version 9.0c
,
windows_min_The Dead Sea is changing,windows_min_The Dead Sea is changing,windows_req_The Dead Sea is changing,windows_req_The Dead Sea is changing
операционная система,"windows vista sp1, windows 7, windows 8",операционная система,"windows 7, windows 8"
процессор,"cpu: intel core 2 duo 2ghz, amd athlon 64 x2 2ghz (multi-core is strongly recommended)",процессор,intel core i5-2300 or amd phenom ii x4 940
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia series 400, radeon hd 6000 series (directx 11 minimum)",видео карта,nvidia geforce gtx 560 or amd radeon hd 7750 with 1 gb vram
directx,version 9.0c,directx,version 11
диск,6 gb,диск,15 gb
,,,
