windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3
видео карта,nvidiageforcegtx 760 or gtx1050 or amd radeonЩ r7 260x or rx 560,видео карта,nvidia geforce gtx 1060 (vram 3gb) or gtx 1650 / amd radeonЩ rx 480 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звукова€ карта,directsound (directx 9.0c ),звукова€ карта,directsound (directx 9.0c )
,,,
windows_min_Aliens vs. Predator Demo,windows_min_Aliens vs. Predator Demo
операционна€ система,windows xp/vista
процессор,3.4 ghz intel pentium 4
оперативна€ пам€ть,1 gb system (xp)/ 2 gb system (vista)
видео карта,"directx 9.0c compliant video card with 128 mb (nvidia 7900, ati x1800 )"
диск,16 gb free hard drive space
,
windows_min_Ding Dong VR,windows_min_Ding Dong VR,windows_req_Ding Dong VR,windows_req_Ding Dong VR
операционна€ система,windows 10,операционна€ система,windows 10
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350",процессор,intel i5-4590 / amd ryzen 5 1500x
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia gtx 960 4gb / amd radeon r9 290,видео карта,nvidia gtx 1060 / amd radeon rx 480
диск,500 mb,диск,501 mb
дополнительно,"these were the minimum requirements i found for vr type stuff while googling, not sure if mine could run on lower because my games are so low impact, so, up to you :)",дополнительно,"you are braver than you believe, stronger than you seem, and smarter than you think."
,,,
windows_min_10 Years After,windows_min_10 Years After,windows_req_10 Years After,windows_req_10 Years After
операционна€ система,windows 7,операционна€ система,windows 8.1 x64
процессор,intel i3,процессор,intel i5 2500k
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,radeon hd 5950,видео карта,radeon hd 7970
,,,
windows_min_BRINK: FalloutЃ/SpecOps Combo Pack,windows_min_BRINK: FalloutЃ/SpecOps Combo Pack,windows_req_BRINK: FalloutЃ/SpecOps Combo Pack,windows_req_BRINK: FalloutЃ/SpecOps Combo Pack
операционна€ система,xp(sp3)/vista/windows 7,операционна€ система,xp(sp3)/vista/windows 7
процессор,intel core 2 duo 2.4ghz,процессор,intel quad core i5
оперативна€ пам€ть,2gb,оперативна€ пам€ть,3gb
диск,8gb of free space,диск,8gb of free space
,,,
windows_min_Counter-Strike Nexon: Zombies - Dragon Set + Permanent Character,windows_min_Counter-Strike Nexon: Zombies - Dragon Set + Permanent Character,windows_req_Counter-Strike Nexon: Zombies - Dragon Set + Permanent Character,windows_req_Counter-Strike Nexon: Zombies - Dragon Set + Permanent Character
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel celeron 2.13ghz,процессор,intel pentium4 3ghz
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb
видео карта,geforce4 ti 4200,видео карта,geforce 6600
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Sniper Elite V2 - The Neudorf Outpost Pack,windows_min_Sniper Elite V2 - The Neudorf Outpost Pack
операционна€ система,microsoft windows vista (service pack 2) or windows 7 or windows 8. windows xp is not supported.
процессор,dual-core cpu with sse3 (intel pentium d 3ghz / amd athlonЩ 64 x2 4200)
оперативна€ пам€ть,2gb system memory
диск,10gb of free drive space
видео карта,microsoft directx 10.0 compatible graphics card with 256 mb of memory (nvidia geforce 8800 series / ati radeonЩ hd 3870)
звукова€ карта,microsoft directx 10.0 compatible sound card
,
windows_min_Anime Tanks Arena - Nudity Mode,windows_min_Anime Tanks Arena - Nudity Mode
операционна€ система,windows 7 sp1+
процессор,intel pentium or similar
оперативна€ пам€ть,1024 mb
видео карта,directx10 compatible
диск,300 mb
,
windows_min_Soldiers of Heaven VR,windows_min_Soldiers of Heaven VR
операционна€ система,windows 7 sp1
процессор,intel core i5 4590 or amd fx 8350
оперативна€ пам€ть,4 gb
видео карта,geforce gtx 970 or amd radeon r9 290 .
,
windows_min_The Escapist,windows_min_The Escapist,macos_min_The Escapist,macos_min_The Escapist,linux_min_The Escapist,linux_min_The Escapist
операционна€ система,"windows 8, windows 7, windows xp (32 or )",операционна€ система,snow leopard,операционна€ система,ubuntu 14 (32 or )
процессор,dual core 2.0ghz,оперативна€ пам€ть,512 mb,оперативна€ пам€ть,512 mb
оперативна€ пам€ть,512 mb,видео карта,video card with 3d support,видео карта,video card with 3d support
видео карта,video card with 3d support,диск,154.4 mb,диск,176 mb
,,,,,
