процессор,intel core i5 4590,процессор,intel core i7 6700
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750ti,видео карта,nvidia geforce gtx 1060 6g
,,,
windows_min_Battle of Empires : 1914-1918,windows_min_Battle of Empires : 1914-1918,windows_req_Battle of Empires : 1914-1918,windows_req_Battle of Empires : 1914-1918,macos_min_Battle of Empires : 1914-1918,macos_min_Battle of Empires : 1914-1918,macos_req_Battle of Empires : 1914-1918,macos_req_Battle of Empires : 1914-1918,linux_min_Battle of Empires : 1914-1918,linux_min_Battle of Empires : 1914-1918,linux_req_Battle of Empires : 1914-1918,linux_req_Battle of Empires : 1914-1918
операционная система,windows xp sp3,операционная система,windows 7 or windows 8,операционная система,"intel mac, os x version 10.9 (mavericks)",операционная система,"intel mac, os x version 10.11 (el capitan)",операционная система,ubuntu 12.04,операционная система,ubuntu 15.04
процессор,2 ghz intel dual core,процессор,3 ghz intel quad core,процессор,intel core i5-1.4ghz,процессор,intel core i7-2.2ghz,процессор,2 ghz intel dual core,процессор,intel core i5-2.5ghz
оперативная память,2 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,3d hardware accelerator card required – 100% directx 9.0c compatible 128 mb video memory. ati radeon 9600 or nvidia geforce 5900,видео карта,nvidia geforce gtx 560 or amd radeon hd 7750 with 1 gb vram,видео карта,3d hardware accelerator card required - opengl 3.0 compatible,видео карта,intel iris pro or nvidia geforce gtx 750m,видео карта,3d hardware accelerator card required - opengl 3.0 compatible,видео карта,nvidia geforce gtx 560 or amd radeon hd 7750 with 1 gb vram
directx,version 9.0c,directx,version 9.0c,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb
сеть,широкополосное подключение,сеть,широкополосное подключение,звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card
диск,6 gb,диск,6 gb,дополнительно,cross-platform multiplayer is not supported,дополнительно,cross-platform multiplayer is not supported,дополнительно,cross-platform multiplayer is not supported,дополнительно,cross-platform multiplayer is not supported
звуковая карта,openal compatible sound card,звуковая карта,openal compatible sound card,,,,,,,,
,,,,,,,,,,,
windows_min_Absolute Drift,windows_min_Absolute Drift,macos_min_Absolute Drift,macos_min_Absolute Drift,linux_min_Absolute Drift,linux_min_Absolute Drift
